age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
47.0, Private,93104.6, HS-grad,12.0, Divorced, ?, Husband, White, Male,0.0,0.0,40.0, El-Salvador, >50K
90.0, Private,105203.47, Prof-school,11.495279, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,0.0,0.0,20.0, Columbia, <=50K
26.0, Private,27545.654, Some-college,16.0, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0.0,0.0,12.0, Mexico, >50K
58.1726, Local-gov,13148.588, Bachelors,10.0, Married-spouse-absent, Craft-repair, Husband, White, Female,0.0,0.0,55.0, United-States, <=50K
33.0, Federal-gov,236915.77, HS-grad,10.0, Married-civ-spouse, Protective-serv, Husband, White, Male,0.0,0.0,25.0, United-States, <=50K
39.0, Self-emp-inc,32128.7, HS-grad,9.0, Widowed, Other-service, Not-in-family, White, Male,0.0,0.0,99.0, United-States, <=50K
18.0, ?,405626.12, Some-college,9.0, Divorced, ?, Own-child, White, Male,0.0,0.0,40.0, United-States, >50K
34.0, Private,35278.188, 9th,9.0, Widowed, Other-service, Husband, White, Female,0.0,0.0,55.0, United-States, <=50K
36.0, Self-emp-inc,44552.65, 9th,13.0, Divorced, ?, Wife, White, Male,0.0,0.0,30.0, United-States, >50K
54.666767, Private,654092.2, HS-grad,13.0, Divorced, Exec-managerial, Not-in-family, Black, Female,0.0,0.0,99.0, United-States, <=50K
17.0, Private,24724.414, 10th,8.0, Married-civ-spouse, Other-service, Husband, White, Female,0.0,0.0,72.669945, United-States, <=50K
33.0, Private,162993.17, 7th-8th,7.537109, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,0.0,0.0,99.0, United-States, <=50K
90.0, Private,182314.8, 9th,13.0, Married-AF-spouse, Adm-clerical, Unmarried, White, Female,0.0,0.0,8.624729, United-States, <=50K
25.0, Private,219471.47, 10th,6.0, Married-civ-spouse, Craft-repair, Wife, White, Male,0.0,0.0,50.0, United-States, <=50K
43.0, Self-emp-not-inc,280389.8, 12th,10.0, Married-civ-spouse, ?, Other-relative, White, Male,0.0,0.0,50.0, United-States, <=50K
46.0, Private,15440.765, 5th-6th,11.0, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0.0,0.0,45.0, United-States, >50K
90.0, Self-emp-not-inc,113483.24, Masters,9.0, Widowed, Handlers-cleaners, Husband, White, Female,0.0,0.0,60.0, United-States, <=50K
90.0, Self-emp-not-inc,211853.02, 5th-6th,3.0, Divorced, ?, Unmarried, Black, Male,0.0,0.0,99.0, United-States, >50K
44.0, Private,762859.06, HS-grad,7.0, Married-AF-spouse, ?, Husband, Black, Male,0.0,0.0,4.252403, United-States, <=50K
90.0, Federal-gov,58279.234, Masters,9.0, Married-spouse-absent, Other-service, Husband, White, Male,0.0,0.0,40.0, Mexico, <=50K
25.0, Private,46410.92, Some-college,1.6193714, Married-civ-spouse, Other-service, Not-in-family, White, Male,0.0,0.0,8.0, United-States, <=50K
19.0, Private,841555.06, Some-college,9.0, Married-civ-spouse, Handlers-cleaners, Other-relative, White, Male,0.0,0.0,15.0, United-States, <=50K
68.0, Private,14702.43, Bachelors,9.0, Married-civ-spouse, ?, Own-child, White, Female,0.0,0.0,40.0, United-States, <=50K
19.0, Self-emp-not-inc,328434.97, 7th-8th,10.0, Divorced, Adm-clerical, Wife, White, Male,0.0,0.0,50.52563, ?, <=50K
53.0, Private,139541.58, Masters,4.0, Married-civ-spouse, Other-service, Unmarried, White, Female,0.0,0.0,4.0, United-States, <=50K
90.0, Private,30244.582, Masters,9.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
22.0, ?,105112.98, HS-grad,9.0, Never-married, ?, Other-relative, White, Male,0.0,0.0,99.0, Vietnam, >50K
31.0, Private,64644.434, Some-college,9.0, Never-married, Transport-moving, Not-in-family, White, Male,0.0,0.0,38.0, United-States, <=50K
20.0, Private,28298.105, HS-grad,4.0, Divorced, Priv-house-serv, Husband, White, Female,0.0,0.0,99.0, United-States, <=50K
