Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
F,0.075,0.5811248,0.0,0.013231742,1.4632295,0.11233709,0.009067258,1.5902967
F,0.07669409,0.13818243,0.15,1.5236481,0.7996026,0.32613397,0.0717386,10.0
F,0.7994998,0.4929712,0.09470071,0.0020004786,0.09302853,0.044511367,0.39062938,10.0
M,0.075,0.055,0.0024576096,0.7561301,0.433315,0.65946025,0.0015072338,10.0
I,0.52,0.49116492,5.1451996e-05,0.82957464,0.36356753,0.6977957,0.005124287,6.0
I,0.13122487,0.055,0.0,0.0049813627,0.25112236,0.0011814338,0.06101388,5.0
F,0.7380918,0.055,0.2061705,0.40048647,0.55699015,0.0033619078,0.033318173,10.0
F,0.615,0.6296196,0.067347474,0.06966995,1.4849606,0.7571229,0.0015277007,10.0
M,0.7971201,0.055,0.0064209998,0.0020296942,0.03622048,0.00050047017,0.48354998,28.86665
F,0.07546925,0.525,0.035087388,0.5381978,0.001,0.24592116,0.40122765,28.99585
I,0.74492884,0.335,0.0,0.7687679,0.60624784,0.31850433,1.0049866,1.0277433
F,0.14617153,0.6280253,0.0,0.25468516,0.0010621242,0.00055292825,0.045155764,5.0
M,0.078231566,0.6282439,0.095,0.6523154,0.0018746485,0.75999165,0.00285921,1.0
F,0.076071426,0.055499997,0.0006732735,0.0022502418,0.24928272,0.35809353,0.0021871808,1.0289518
I,0.7634539,0.055,0.15,0.58220994,0.0019885811,0.027815115,0.0015090572,5.0
M,0.7284102,0.61653435,1.20131745e-05,0.94246924,1.4874849,0.76,0.050041404,11.457579
I,0.49183574,0.055,0.1984802,0.0024395445,0.50144345,0.38055152,0.60646147,13.0
F,0.07792427,0.17623344,0.02795691,2.820539,1.4800948,0.76,0.061896354,11.0
I,0.6370508,0.48,0.145,1.5171998,1.4872695,0.757175,0.46332994,4.0
M,0.52012676,0.41151333,0.08,2.8254664,0.7599775,0.014544813,0.0015002382,13.0
F,0.27943763,0.5603024,0.014036586,0.7694631,0.16119671,0.037461303,0.0015,11.0
I,0.7685999,0.465,0.12712778,0.22586697,0.06396805,0.027649898,0.43471265,13.0
F,0.5519531,0.6254418,0.08,2.3796265,1.1373507,0.43966624,0.25957873,1.0055598
M,0.46570894,0.2577065,1.1295896,0.26190314,0.0013397951,0.176696,0.095673434,1.0632069
I,0.575,0.055,0.72953624,0.009028504,0.0010408201,0.00059566763,0.0069093173,13.0
I,0.68052304,0.055,0.15,1.1332734,1.2913985,0.00051682437,0.37163374,28.965155
I,0.075,0.5808402,0.08129865,1.9458268,1.3708981,0.11932607,1.0049822,1.002504
F,0.075010106,0.32051152,1.177596e-06,0.9514548,0.3046553,0.35893854,0.0020613077,1.0
F,0.58,0.61162007,0.94688857,1.4580178,0.35964885,0.0040916847,0.0015006018,1.0255743
F,0.075308636,0.055,1.0867162,0.0022484607,0.032387048,0.38945127,0.11541943,19.87288
F,0.25698072,0.05621993,0.00508129,0.008707831,0.92600226,0.02441653,0.001501975,1.0
I,0.6773063,0.40713298,0.0,0.39285722,0.25590107,0.008954153,0.26185206,19.410685
I,0.513699,0.055,1.1299559,2.740061,0.51348513,0.04349763,0.14103827,8.0
I,0.12471268,0.57229674,0.145,0.28200012,0.15688665,0.4611671,0.0015274698,9.0
F,0.075840265,0.525,2.8208413e-05,1.0854224,0.11071408,0.007001395,0.021087259,28.477156
F,0.48378342,0.41622046,3.3406952e-06,0.031784657,0.060110115,0.7564238,0.074925445,13.070336
I,0.3068595,0.6033364,0.175,0.24747342,0.30980596,0.46832842,0.08210833,11.0
I,0.07678035,0.37849414,0.11993279,0.19187012,0.55269384,0.00051180995,0.30940259,9.0
M,0.27483544,0.5523093,0.185,0.0020023198,0.49377608,0.31311524,0.33785242,10.0
M,0.6516211,0.5812951,1.095368,0.19417694,0.0010063349,0.2199995,0.92310554,15.963901
F,0.49452913,0.25867033,0.0,0.9893099,0.59119046,0.16058207,0.0015073643,1.4909799
F,0.120026395,0.56396234,0.028820219,1.2335943,1.0140308,0.19322424,0.0017046796,1.6933573
F,0.24652675,0.6235593,0.038848236,2.1688614,1.4080629,0.53183097,0.50473535,15.417556
F,0.7730622,0.51716274,2.2550303e-06,0.29285082,0.85990876,0.090068854,0.0015,29.0
F,0.6892227,0.62999874,0.165,0.8666775,0.40753844,0.2502608,1.0004821,24.55251
I,0.26068702,0.094589315,0.07758973,1.7981325,1.4877806,0.66562325,0.0015003617,9.0
I,0.07942088,0.55,0.1,2.8117537,0.1408641,0.75402373,0.34980345,7.0
M,0.6656548,0.15281521,1.1290667,0.09249061,0.001,0.17376779,0.2756649,8.0
F,0.075181134,0.055,1.1298901,0.17636116,0.4062208,0.6224058,0.0015603269,8.0
F,0.49054864,0.425,0.155,0.0020483288,0.014098619,0.043891847,0.5319328,5.0
I,0.106541455,0.13569024,0.0,1.8142432,0.37937993,0.468358,1.0046253,11.0
M,0.44233242,0.62996584,1.0480646,0.34754726,1.4568249,0.26781255,0.6995745,25.471931
F,0.264951,0.62961656,1.1291378,2.818147,0.001,0.2199243,0.41197568,6.0
I,0.07517515,0.54652786,0.2058728,0.29986,0.50846064,0.038774822,0.6973775,28.999567
I,0.4782962,0.124037966,0.185,0.0033926042,1.3266624,0.0090752235,0.01128901,11.0
F,0.575,0.055,7.262686e-06,0.99140733,0.055816043,0.1476186,0.060299344,11.014631
F,0.075,0.17604972,0.21546407,1.3964988,1.4878124,0.08918965,0.973648,11.0
F,0.7331753,0.51,1.0003595,0.46508202,0.7463667,0.69430184,0.0020307524,7.0
F,0.44,0.055,0.0,2.7510374,0.0010019988,0.103532344,0.0018853466,28.999487
F,0.4833508,0.6299679,0.061411,1.8410254,1.2917024,0.4430906,0.19030079,22.08915
F,0.56042445,0.31,0.00061908027,0.8023504,0.74160594,0.35278767,0.050644565,16.0
I,0.3432046,0.5228595,0.19,1.2932663,1.4791499,0.2041323,0.22029065,11.0
