Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
F,0.38500997,0.2980671,0.1,0.28369004,0.11042793,0.06261208,0.08354213,9.0
F,0.73272055,0.57933164,0.052383278,0.8148848,0.6632732,0.18039005,0.27372554,12.0
M,0.6992816,0.55,0.195,1.8051858,0.7704291,0.38007227,0.505744,13.0
F,0.5727054,0.45,0.15,0.915635,0.39351845,0.20347044,0.25852776,10.0
M,0.72215617,0.56272835,0.19881587,2.0194058,0.92752546,0.4320543,0.5047478,11.0
I,0.62604463,0.45,0.14399631,0.5684343,0.23198655,0.1135386,0.23943724,14.0
F,0.31502178,0.3254504,0.13,0.5876154,0.3333224,0.035157435,0.31190288,7.0
M,0.7423694,0.5796981,0.20814475,2.344041,1.1915208,0.47888348,0.5635063,11.0
M,0.50082755,0.39,0.125,0.588724,0.27379614,0.1271264,0.18064931,9.0
I,0.43952653,0.355,0.10402331,0.39866158,0.16083878,0.0758784,0.11862386,9.0
I,0.110135905,0.09001564,6.778893e-05,0.008000322,0.0025094557,0.00050019147,0.0030003,2.022432
I,0.48,0.42,0.07679446,0.072209515,0.0085910205,0.08838183,0.015219426,4.505451
M,0.81285965,0.64486957,1.0352027,2.819743,1.4841602,0.7367342,0.9591924,14.0
F,0.43520218,0.385,0.18,1.1727763,0.18163288,0.19104403,0.21941657,9.0
M,0.55,0.34730303,0.125,0.59590787,0.32639647,0.13788702,0.2008032,8.0
M,0.66,0.525,0.19084169,1.5572983,0.6098883,0.32313028,0.48704314,17.0
I,0.465,0.4,0.1,0.4138886,0.33399856,0.10301399,0.031377926,4.2904463
M,0.6170778,0.485,0.16722551,1.1659876,0.4939934,0.2549302,0.34169444,11.0
F,0.7321242,0.5718953,0.2,2.1014462,0.95010597,0.45701027,0.5334416,11.0
M,0.6073443,0.395,0.13638625,0.7608054,0.42584985,0.11438487,0.20584454,13.651344
F,0.81243414,0.64348394,0.8874476,2.8109868,1.4755671,0.74166834,0.9328774,13.0
F,0.5571034,0.435,0.15,0.8580002,0.3518324,0.18331726,0.25357562,11.0
I,0.47590834,0.36782888,0.115,0.48834375,0.22648343,0.10469094,0.14127351,8.0
M,0.49344438,0.50590974,0.125,1.5231357,0.45493373,0.23096617,0.061806053,7.704576
F,0.462462,0.355,0.11768031,0.4641545,0.20025499,0.10500956,0.137121,9.0
M,0.48,0.37,0.1204575,0.5234613,0.24061672,0.11859344,0.15300855,9.0
I,0.46189696,0.35469723,0.11059386,0.44485402,0.20059739,0.0945823,0.12928905,8.0
F,0.62806654,0.495,0.17,1.2254868,0.5252588,0.2727496,0.35043693,10.0
F,0.4535051,0.38285458,0.13,0.46238655,0.20966892,0.10492377,0.09953858,10.0
F,0.49838412,0.38261914,0.13,0.57697535,0.25818053,0.13196966,0.16849002,9.0
I,0.113016054,0.0914563,0.0019776206,0.008048458,0.0026647442,0.0005455642,0.003065969,2.2284696
F,0.7511593,0.0937312,0.10404822,0.68473005,0.004970962,0.4619908,0.008904538,8.0
M,0.8070133,0.6381466,0.5479824,2.7413406,1.4052328,0.6505325,0.81523424,13.147011
F,0.8084752,0.63548857,0.5389322,2.779224,1.4554023,0.71932334,0.79408354,12.0
F,0.72093815,0.5813639,0.19488162,1.8936963,0.8376535,0.3810225,0.44076413,12.0
M,0.39547187,0.29,0.09132871,0.329234,0.10081683,0.06359597,0.06377429,4.0
F,0.61,0.47526598,0.165,1.1154652,0.47256044,0.24693787,0.31957754,11.0
M,0.27070707,0.47,0.7340846,0.8249792,0.02894232,0.27165896,0.01464919,17.618876
M,0.625,0.485,0.165,1.1847347,0.50845915,0.25277242,0.34204814,10.0
I,0.11049927,0.09009075,0.00027134235,0.008001593,0.0025222683,0.00050139724,0.0030029833,2.0747628
