Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
F,0.37207735,0.40557984,0.07,1.052683,0.47653636,0.16315281,0.21812788,8.0
M,0.12732083,0.2614262,0.08914285,0.5024177,0.03378796,0.17039931,0.27742574,14.0
I,0.4735756,0.36098877,0.115,0.4724826,0.21380556,0.1014369,0.13973722,9.0
F,0.6401841,0.505,0.2,1.4171683,0.5360531,0.3045789,0.5307029,17.600018
F,0.38921663,0.5212323,1.107595,1.8889036,0.0025881114,0.020638091,0.40910575,5.0
F,0.4027538,0.32204232,0.1,0.36465582,0.1752308,0.07491415,0.10443643,7.0
F,0.67012036,0.5721698,0.17416057,1.5964463,0.7669051,0.47689,0.36630252,17.0
I,0.1100193,0.0900013,7.795225e-06,0.008,0.002502261,0.0005,0.003,2.0046499
I,0.45325357,0.34616083,0.11,0.4124867,0.18342705,0.08687472,0.11988398,9.0
M,0.6,0.26299903,0.19710827,0.04215827,0.42305297,0.39066777,0.014685392,10.0
I,0.13567634,0.48,0.20517094,0.292058,0.3973344,0.09015331,0.29331088,2.210665
M,0.8131609,0.6451591,1.0394542,2.8202949,1.4834775,0.7484507,0.9584648,14.0
M,0.2501277,0.55503047,0.1,0.8420695,0.009853601,0.10161018,0.4827346,6.0
M,0.30793372,0.23522091,0.08,0.1435082,0.05851408,0.032837607,0.047176212,7.0
I,0.281058,0.34607944,0.08,0.37637672,0.24820979,0.057809144,0.1452276,7.0
F,0.69603086,0.54753417,0.195,1.7619933,0.65882385,0.386115,0.5286809,16.432121
F,0.80629927,0.6319906,0.3290069,2.7600093,1.44152,0.70538706,0.74326503,12.0
M,0.8139385,0.6463031,1.0708526,2.8236163,1.4868251,0.7542551,0.96771044,13.0
F,0.61,0.475,0.165,1.1085707,0.46981746,0.24562827,0.31479356,10.283517
I,0.2839886,0.18520674,0.059103254,0.08342527,0.02665663,0.015646452,0.030513529,6.0
M,0.615,0.48,0.165,1.1340951,0.4980924,0.24965523,0.31689915,10.0
F,0.50902116,0.39878336,0.14,0.6492997,0.25886083,0.14501505,0.20633136,12.0
M,0.35720795,0.505,1.0820693,0.6631078,0.035866212,0.67646885,0.09531165,11.0
I,0.11018788,0.090023436,9.7965276e-05,0.00800046,0.0025113355,0.0005003047,0.0030005393,2.0292492
I,0.46763554,0.36,0.115,0.4614562,0.20543565,0.098135345,0.13859372,9.0
F,0.6240865,0.49,0.17,1.1932349,0.4977696,0.2633514,0.34836763,11.0
