Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
F,0.108334444,0.6286979,0.010944061,2.8213696,0.054607227,0.0011646156,0.0015141114,4.516164
M,0.19164011,0.055,0.2014708,0.07909155,0.0044649076,0.013469188,0.40744233,2.0806506
M,0.075,0.060738005,0.14,0.6203959,1.0100319,0.74458647,0.16093065,6.0
I,0.37769616,0.055,0.07,2.3502371,0.34465003,0.3337523,0.44739938,28.130943
M,0.076405615,0.055,7.280191e-06,2.4163017,0.07792947,0.05058702,0.0016642652,7.0
I,0.7634781,0.055,0.0038448477,0.2141281,0.0011001253,0.28992918,0.0015002129,10.0
M,0.43192038,0.055,1.13,0.0023249025,0.001,0.04948586,1.0045724,8.0
M,0.515,0.055,1.1095337,0.04648951,0.2517306,0.04698534,0.0036101348,2.1853333
M,0.72060156,0.11569233,0.4988718,0.57111895,0.69935757,0.27475137,0.97230375,7.0
F,0.43729597,0.57404983,0.04676427,2.825399,0.0010018549,0.12058626,0.014985,1.0008417
F,0.075,0.31,0.0016582754,0.0020303298,0.92075545,0.08993314,0.30618796,7.0
F,0.07503659,0.49,0.0010240859,0.7421053,0.0019498023,0.23653403,1.0033915,28.999426
I,0.6746886,0.055,4.1416508e-05,0.0020369845,1.4879144,0.7597852,0.031217016,7.0
I,0.25697985,0.62996536,1.1287425,0.7792363,0.7448886,0.53544337,0.027636899,4.216152
M,0.075,0.525,1.0542074,0.4733066,0.76426625,0.23004264,0.001809658,11.444355
F,0.2954902,0.09866327,0.15642145,0.85142666,1.486734,0.30049205,0.1681175,28.996698
M,0.56,0.060106035,0.006455668,1.3033825,1.4867426,0.18505536,0.0017388333,5.0
F,0.07503074,0.5729835,0.020664109,0.36478668,1.3291132,0.056410786,0.7658149,9.0
M,0.58,0.055259015,0.0,0.993486,1.4867549,0.016509948,0.04794921,24.712004
I,0.6298264,0.62610143,0.068903364,2.8185537,0.090571225,0.2811991,0.47860834,28.976542
I,0.07532499,0.6297079,0.935572,0.013826345,0.0010012822,0.6148449,0.20465058,1.7442915
I,0.07574923,0.055,0.115,0.12388574,1.4838088,0.07919404,1.0011035,8.0
F,0.3469996,0.055,0.20953332,0.0020026544,0.9942785,0.0005026092,0.0018174539,28.997387
I,0.110029675,0.29807478,0.19390713,0.0064887856,0.033544652,0.018491598,0.8569774,8.0
F,0.08226843,0.05507219,0.13423903,2.566135,0.018678637,0.65058744,0.16541737,9.0
F,0.5967288,0.52444875,1.1220311,0.16529964,0.0017717256,0.4833599,0.09730371,14.0
F,0.44936916,0.055,0.0,2.0396297,1.4703624,0.76,0.37400547,1.0293772
I,0.7711193,0.055,0.016584452,0.024255754,0.001,0.0006563471,0.5165643,8.0
I,0.075,0.055,0.16,1.3454609,1.4590126,0.18101144,0.6193883,4.0
I,0.07720076,0.44949028,0.125,1.5144088,1.4710275,0.09279161,0.315,18.110537
F,0.18577446,0.61771864,4.2895565e-05,2.8239722,0.8907482,0.0006253445,0.0016718054,3.9977777
I,0.77884734,0.37355608,0.14,2.8223417,1.4661535,0.7599526,0.4856008,1.0008804
F,0.19630389,0.39789867,3.2511503e-05,0.009944071,0.695868,0.0012065439,0.5919761,1.0912182
F,0.079885945,0.08942691,1.1298639,2.819512,0.052391473,0.10383836,0.20350173,28.862286
I,0.72892314,0.055,1.1299719,0.002323841,1.4413079,0.3068883,0.050115395,11.0
M,0.6183333,0.055,0.18,0.002017872,0.44461164,0.40228963,0.022477867,27.260933
M,0.595,0.49954128,0.17,1.1149356,0.0010040812,0.35427314,0.38560826,9.0
F,0.2421906,0.055,0.02010375,1.1937239,0.6916975,0.33267462,0.011195463,1.0
F,0.7999924,0.18895589,0.04742515,0.4484074,0.33121443,0.11554378,0.015500765,19.674736
M,0.6586879,0.5724933,0.18,2.4780552,0.3485677,0.025883032,0.57521194,1.0
I,0.5915319,0.5372408,1.0183096,0.79081595,0.67327,0.32150963,0.01896617,8.0
F,0.42414844,0.61701447,0.09,0.7535231,1.4259614,0.7599954,0.11536077,1.0005326
I,0.6,0.6298274,0.07483833,1.8589058,0.001,0.14653097,0.09705438,9.0
F,0.625,0.055,1.13,0.0020016127,0.3104477,0.08909141,0.08072264,28.99975
I,0.68405384,0.05518958,0.0,1.9301534,0.0028526622,0.036485497,0.99683684,5.0
F,0.59,0.11299457,0.145,2.5985262,0.0039348304,0.41358635,0.5291343,10.0
M,0.07503111,0.055,0.009535547,0.43931213,0.085793346,0.171236,0.0031776715,11.0
M,0.69664955,0.19582424,0.0011914542,1.076047,1.2762135,0.24777544,0.006818185,18.887005
F,0.75031406,0.055,6.406372e-05,0.0025038673,0.07473684,0.21665314,0.52726793,1.0707966
I,0.07736,0.055,1.13,0.0021072275,0.9119204,0.035283078,0.0101160025,16.0
I,0.13954283,0.15704164,1.2916047e-05,1.3612236,0.19945274,0.7587517,0.032828234,6.0
F,0.07501257,0.5879656,1.1295768,1.0499525,0.23382878,0.0075819325,0.005642542,25.022657
F,0.575,0.055,0.013371842,2.0526943,1.2597091,0.12902586,0.0015,6.0
I,0.5179707,0.6294465,0.21297131,0.9663725,1.3236537,0.7555256,0.12234897,8.0
F,0.60795045,0.055048265,1.1299284,1.1796615,0.22626345,0.021771349,0.030742878,11.0
I,0.37099954,0.525,1.13,2.670469,0.001,0.00063098606,0.0021706908,1.0049461
F,0.075,0.62916315,1.1271269,0.3682453,1.4831443,0.09797475,0.4021777,26.029913
I,0.096150406,0.1625553,0.085,2.8253067,0.5801532,0.33919847,0.0017533902,6.0
F,0.555,0.06269051,3.313277e-06,1.5195286,0.36425388,0.014503618,0.07910245,2.8174784
F,0.645,0.355,0.0007655872,0.5961744,0.856861,0.48474675,0.0016964391,8.0
M,0.16841677,0.5320097,0.05793141,1.474037,0.4430864,0.37024742,0.0026952857,8.0
M,0.76356685,0.4,0.023125378,1.4276445,0.0012411745,0.03598902,0.19799216,16.0
I,0.37573406,0.6296699,0.011083752,2.81535,0.051218428,0.75998926,0.27995175,1.4732159
F,0.21900241,0.055,0.165,2.5342965,0.98121685,0.17656058,0.13396028,1.0
I,0.7980004,0.62999296,0.00012336709,1.4719115,0.47759178,0.056038383,0.2859468,11.0
F,0.31464347,0.6269587,0.0018076897,2.8245213,0.00172842,0.45554462,0.021042423,1.3003047
M,0.075,0.055017088,0.0,2.794498,1.4615177,0.29505026,0.2165398,1.0011417
M,0.65,0.055,1.1285487,0.21381044,0.0010003436,0.026848946,0.30524835,25.249697
F,0.28197747,0.05977548,1.0840939,1.086482,1.443393,0.07091951,0.024598515,29.0
F,0.40519753,0.055005077,0.15,1.3337642,0.8430093,0.26980177,0.09309,11.0
