Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
I,0.525,0.405,0.13,0.64227074,0.30191284,0.14072725,0.18504456,8.0
F,0.558232,0.2789143,0.11,1.1729445,0.8576819,0.12894967,0.22259587,10.0
M,0.79449236,0.6186929,0.44075584,2.6663058,1.2536743,0.6741893,0.7628087,13.425617
I,0.22344263,0.16289645,0.05103057,0.047446806,0.02113371,0.012124515,0.014505223,5.0
I,0.27911884,0.44,0.08,0.19343898,0.23916516,0.10332969,0.055754192,6.0
I,0.11000433,0.09,1.1485222e-06,0.008,0.0025006342,0.0005,0.003,2.0018306
F,0.6,0.62621397,0.1,0.60704607,0.076942675,0.2399397,0.08433424,7.0
M,0.73717064,0.16645628,0.15,0.83428544,0.4776311,0.2099029,0.2032035,9.0
I,0.41672277,0.30708277,0.18818174,0.9952019,0.10818899,0.13066566,0.18417647,7.0
M,0.61,0.47734934,0.165,1.1199244,0.48101735,0.24472938,0.32217294,11.0
F,0.3529647,0.0935578,0.20570128,0.8776599,0.17997973,0.21188624,0.04073276,15.0
I,0.14399152,0.45,0.031205615,2.8145196,0.32989374,0.10580067,0.037297685,19.153591
I,0.515,0.39553937,0.13,0.594858,0.27144474,0.12942377,0.17946866,9.0
F,0.80034274,0.62409025,0.22138761,2.702109,1.3899225,0.6700337,0.67499936,12.0
M,0.66,0.49268427,0.20354281,1.1401548,0.86724454,0.6722028,0.5098365,11.0
M,0.63514537,0.49,0.17271133,1.2847054,0.51190645,0.2846453,0.4055039,11.0
F,0.81364,0.6455034,1.0008361,2.8201218,1.4840149,0.7514279,0.95882094,13.0
F,0.6209315,0.48502126,0.165,1.1792815,0.5078819,0.26281688,0.33141574,10.0
I,0.113642044,0.09114361,0.070283316,0.057541892,0.03760796,0.0039622644,0.026495606,5.0
M,0.24120562,0.17945975,0.065213636,0.06261227,0.017631896,0.016041165,0.024765605,8.0
M,0.55,0.42836466,0.1475133,0.8203113,0.3302713,0.17593932,0.25342524,12.0
M,0.7235044,0.5640536,0.2,2.0599961,0.94750446,0.43773952,0.5168098,11.0
I,0.33450422,0.25285012,0.08,0.18378991,0.079852305,0.037719637,0.05297975,6.0
F,0.6835593,0.5356358,0.19041999,1.6402712,0.6811464,0.34177232,0.48541683,12.0
F,0.5806618,0.106448054,0.20299537,1.0272876,0.0027700712,0.035980962,0.11517073,11.068039
I,0.20956755,0.23221517,0.105,0.13079934,0.2541215,0.08388553,0.0043480177,8.0
I,0.4236368,0.32294995,0.1,0.33383548,0.14657524,0.06917682,0.10000757,9.0
F,0.585,0.1861765,0.0824906,0.2581181,0.5953321,0.17339449,0.52137566,7.0
F,0.61,0.475,0.165,1.1112587,0.47704858,0.24665992,0.31280488,10.0
I,0.1422881,0.10667427,0.019454896,0.013385973,0.0053394623,0.0024009233,0.004928483,4.012346
I,0.6,0.475,0.165,1.0674042,0.43699446,0.22412944,0.3304665,13.0
F,0.57,0.09,0.1541978,0.008280447,0.049544346,0.68646085,0.19021389,25.089235
M,0.57,0.42,0.15,0.8655771,0.3693318,0.19315436,0.2490645,10.0
F,0.6698485,0.5203192,0.18179221,1.6040261,0.70910144,0.36326504,0.42169014,11.0
I,0.7772562,0.09100063,0.07716415,0.9904614,0.015231871,0.18435718,0.009063806,18.934408
F,0.45410505,0.35,0.115,0.44654578,0.18492533,0.10093773,0.1328538,10.0
I,0.52,0.09086489,0.1,0.7154336,0.0050074,0.25051633,0.11897716,10.0
F,0.645,0.49,0.16,1.3326408,0.6150733,0.33072808,0.36523592,10.0
M,0.64,0.5,0.175,1.3004612,0.580992,0.28715447,0.35904813,10.0
I,0.495,0.3844698,0.071315944,0.48371702,0.096728496,0.12095046,0.005455088,9.0
M,0.2935038,0.2678347,0.0824522,0.27915156,0.10298852,0.04571932,0.05194869,6.0
F,0.7243795,0.5648012,0.195,2.0118663,0.9079385,0.43975884,0.5100747,11.0
I,0.35786852,0.27051494,0.085,0.19878179,0.08145881,0.041610762,0.065514386,8.0
M,0.26847306,0.2009684,0.07,0.09390133,0.023927933,0.022570455,0.032656334,9.985542
F,0.27583092,0.3,0.14,0.78186345,0.6519581,0.25705022,0.104715824,10.0
I,0.465,0.33968377,0.09498261,0.26327375,0.13449052,0.030120889,0.030811695,6.0
