Sex,Length,Diameter,Height,Shucked_weight,Viscera_weight,Rings
I,0.525,0.405,0.13,0.30191284,0.14072725,8.0
F,0.558232,0.2789143,0.11,0.8576819,0.12894967,10.0
M,0.79449236,0.6186929,0.44075584,1.2536743,0.6741893,13.425617
I,0.22344263,0.16289645,0.05103057,0.02113371,0.012124515,5.0
I,0.27911884,0.44,0.08,0.23916516,0.10332969,6.0
I,0.11000433,0.09,1.1485222e-06,0.0025006342,0.0005,2.0018306
F,0.6,0.62621397,0.1,0.076942675,0.2399397,7.0
M,0.73717064,0.16645628,0.15,0.4776311,0.2099029,9.0
I,0.41672277,0.30708277,0.18818174,0.10818899,0.13066566,7.0
M,0.61,0.47734934,0.165,0.48101735,0.24472938,11.0
F,0.3529647,0.0935578,0.20570128,0.17997973,0.21188624,15.0
I,0.14399152,0.45,0.031205615,0.32989374,0.10580067,19.153591
I,0.515,0.39553937,0.13,0.27144474,0.12942377,9.0
F,0.80034274,0.62409025,0.22138761,1.3899225,0.6700337,12.0
M,0.66,0.49268427,0.20354281,0.86724454,0.6722028,11.0
M,0.63514537,0.49,0.17271133,0.51190645,0.2846453,11.0
F,0.81364,0.6455034,1.0008361,1.4840149,0.7514279,13.0
F,0.6209315,0.48502126,0.165,0.5078819,0.26281688,10.0
I,0.113642044,0.09114361,0.070283316,0.03760796,0.0039622644,5.0
M,0.24120562,0.17945975,0.065213636,0.017631896,0.016041165,8.0
M,0.55,0.42836466,0.1475133,0.3302713,0.17593932,12.0
M,0.7235044,0.5640536,0.2,0.94750446,0.43773952,11.0
I,0.33450422,0.25285012,0.08,0.079852305,0.037719637,6.0
F,0.6835593,0.5356358,0.19041999,0.6811464,0.34177232,12.0
F,0.5806618,0.106448054,0.20299537,0.0027700712,0.035980962,11.068039
I,0.20956755,0.23221517,0.105,0.2541215,0.08388553,8.0
I,0.4236368,0.32294995,0.1,0.14657524,0.06917682,9.0
F,0.585,0.1861765,0.0824906,0.5953321,0.17339449,7.0
F,0.61,0.475,0.165,0.47704858,0.24665992,10.0
I,0.1422881,0.10667427,0.019454896,0.0053394623,0.0024009233,4.012346
I,0.6,0.475,0.165,0.43699446,0.22412944,13.0
F,0.57,0.09,0.1541978,0.049544346,0.68646085,25.089235
M,0.57,0.42,0.15,0.3693318,0.19315436,10.0
F,0.6698485,0.5203192,0.18179221,0.70910144,0.36326504,11.0
I,0.7772562,0.09100063,0.07716415,0.015231871,0.18435718,18.934408
F,0.45410505,0.35,0.115,0.18492533,0.10093773,10.0
I,0.52,0.09086489,0.1,0.0050074,0.25051633,10.0
F,0.645,0.49,0.16,0.6150733,0.33072808,10.0
M,0.64,0.5,0.175,0.580992,0.28715447,10.0
I,0.495,0.3844698,0.071315944,0.096728496,0.12095046,9.0
M,0.2935038,0.2678347,0.0824522,0.10298852,0.04571932,6.0
F,0.7243795,0.5648012,0.195,0.9079385,0.43975884,11.0
I,0.35786852,0.27051494,0.085,0.08145881,0.041610762,8.0
M,0.26847306,0.2009684,0.07,0.023927933,0.022570455,9.985542
F,0.27583092,0.3,0.14,0.6519581,0.25705022,10.0
I,0.465,0.33968377,0.09498261,0.13449052,0.030120889,6.0
M,0.70551264,0.63032895,0.13905606,0.21319565,0.06262574,11.0
I,0.11246906,0.09110293,0.0015607157,0.002621561,0.0005285499,2.2584887
F,0.4006088,0.28,0.047898877,0.0025335075,0.23675637,9.0
M,0.61,0.475,0.16140962,0.47980312,0.24231823,10.476839
I,0.18720444,0.13317968,0.041384175,0.013049166,0.006714006,3.605297
I,0.43977743,0.35155174,0.12322038,0.26212174,0.10671908,9.0
M,0.29032162,0.22492887,0.08,0.035912246,0.032264363,10.0
F,0.5779709,0.45496565,0.16,0.39437124,0.22413759,14.0
F,0.6745468,0.54067624,0.18297745,0.67523146,0.337487,16.728191
M,0.60432124,0.45,0.115,0.20884751,0.20725729,7.0
M,0.6199738,0.49428803,0.175,0.47393316,0.26046047,17.46489
F,0.61,0.5,0.19399776,0.35985672,0.30571523,10.0
M,0.22852173,0.28803846,0.105,0.2700306,0.016869903,11.0
M,0.63,0.4988816,0.17211969,0.538823,0.27266133,11.0
I,0.11002841,0.09000117,1.2886451e-05,0.0025012095,0.0005,2.0108626
F,0.5234009,0.4,0.135,0.30035728,0.15259293,9.0
I,0.1839079,0.13118164,0.04064282,0.011341046,0.0060729333,4.0
M,0.54,0.44,0.14,0.46065637,0.20807037,10.0
F,0.7962603,0.62048376,0.21151581,1.3547887,0.6111824,11.0
F,0.57,0.09181854,0.125,0.5902985,0.28369033,7.0
F,0.6413573,0.13886508,0.1,0.4239732,0.07315892,8.0
I,0.635,0.090207525,0.13,1.3324413,0.1361811,25.354702
M,0.38064006,0.29,0.09996363,0.09808042,0.061207376,10.0
I,0.11181349,0.090812616,0.0011661425,0.0025937979,0.0005178173,2.1023276
I,0.6975798,0.6496808,0.11,0.47010848,0.10839782,6.0
I,0.326373,0.24773586,0.08,0.08210915,0.036927905,5.0
I,0.46233848,0.4,0.135,0.21985403,0.10430914,9.0
I,0.45207784,0.3451923,0.11,0.18333259,0.08750673,9.0
I,0.4205802,0.4,0.0756476,0.44702953,0.15461352,9.0
M,0.33719775,0.2616246,0.08834368,0.05962178,0.04376061,10.0
F,0.61088693,0.425,0.1805239,0.9055378,0.26456267,10.0
M,0.81295717,0.64396435,1.0224135,1.4846989,0.7478795,13.0
F,0.7219513,0.5629639,0.195,0.8606684,0.42232496,11.0
I,0.55,0.33388346,0.125,0.30019534,0.091978066,11.0
M,0.55,0.10150158,0.165,0.4805532,0.19644815,11.0
I,0.47908404,0.37,0.12,0.22454323,0.105493926,8.418646
I,0.11219819,0.090953104,0.001387976,0.0026092536,0.00052367564,2.2198737
M,0.45486814,0.3506141,0.1176415,0.18762077,0.10198182,10.0
M,0.6456427,0.5584889,0.18971734,0.53630304,0.26483196,14.0
M,0.70640224,0.5604675,0.195,0.81191915,0.4069677,15.348218
M,0.66281843,0.47,0.085,0.31914523,0.090664536,17.0
I,0.35209945,0.25596604,0.069683485,0.060230654,0.044912737,7.0
M,0.61,0.48127034,0.17,0.46570587,0.24685775,13.929842
M,0.548261,0.42435887,0.14,0.34170985,0.17085613,10.0
F,0.28150684,0.22450918,0.079930566,0.030838335,0.032787807,11.0
F,0.615,0.475,0.16,0.50760615,0.2605249,9.0
F,0.80787927,0.6361859,0.59738123,1.4346699,0.71485656,13.0
F,0.63,0.5,0.17496546,0.5089166,0.26941985,10.0
F,0.5580199,0.44,0.155,0.34954244,0.19500512,12.0
I,0.5368761,0.345,0.16,0.08678668,0.10205637,10.0
I,0.11002331,0.090001516,9.472479e-06,0.0025025671,0.0005,2.0056956
M,0.68387824,0.53270984,0.19,0.7516101,0.3670177,11.0
I,0.61708385,0.48961794,0.17,0.47094277,0.246409,15.0
F,0.58,0.355,0.145,0.4908029,0.2683741,8.0
I,0.44758815,0.28,0.105,0.13130817,0.065707,9.0
M,0.81191146,0.6423596,0.94402903,1.4798542,0.7247074,13.0
I,0.45373118,0.34913287,0.11,0.17946778,0.086630724,9.0
M,0.38746664,0.28483385,0.09,0.12431113,0.06407222,7.0
M,0.787637,0.16109599,1.1182994,0.23158488,0.12124226,9.0
