Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
M,0.69844544,0.395,0.07,0.1927779,0.070314765,0.0128954165,0.0017341237,21.00017
F,0.075,0.6499752,2.9968762e-06,1.0242293,0.8775767,0.10985616,0.013839818,15.0
F,0.28347036,0.6499593,0.17,2.8223875,1.4784962,0.76,0.013829651,1.0006183
M,0.27635863,0.6389009,0.10622528,0.017081514,0.6358333,0.16587777,0.00400196,25.621758
I,0.07575984,0.055,1.0765579e-06,0.008147644,0.15632938,0.4425468,0.0018401585,4.0
I,0.66364294,0.055,1.1145089,2.8177743,0.36853814,0.00436384,0.59496564,13.680516
I,0.24446791,0.425,0.12,0.94820297,0.57246566,0.5851087,0.32221875,8.0
I,0.09636301,0.56410575,0.05950564,0.29112324,0.017227989,0.00054915424,0.56903577,29.0
M,0.72919613,0.055001482,6.7383967e-06,1.4143664,1.33177,0.18279397,0.005527885,9.0
I,0.63563085,0.5,1.129981,0.044589624,0.34813836,0.00064664596,0.0015,15.426962
F,0.1082635,0.055,0.15,0.0020102428,0.3725354,0.7594585,0.2658148,9.0
I,0.655,0.64946884,0.165,0.0023881171,1.3862448,0.060157377,0.0015006522,28.998016
F,0.6441513,0.055,0.0729981,0.0020921319,0.4921289,0.46386674,0.24854484,28.924871
M,0.0791094,0.28439665,0.06508554,1.5196291,0.6504725,0.030674873,0.19097869,19.2567
F,0.18849064,0.60151434,1.1291124,0.030950919,0.31015015,0.23370706,0.002040592,9.0
F,0.8031002,0.100684494,0.20875469,0.11501761,0.34497765,0.001817661,0.23033021,3.826061
I,0.71945715,0.6498603,0.195,1.0464404,1.4367688,0.0005,0.06574342,28.999842
M,0.6561896,0.455,0.11,0.0056460425,0.19651866,0.00050172175,0.08001933,7.0
F,0.81341684,0.62906736,1.0682508,0.28663546,0.57571787,0.00082532014,0.0015345934,28.681787
F,0.28477687,0.5562711,7.687176e-06,0.002,0.14440985,0.1676952,0.26653996,13.355903
F,0.42786747,0.425,0.056612372,0.92527145,0.013076572,0.00065199385,0.5787677,17.273659
M,0.09434021,0.51439196,0.17,0.00223242,1.437861,0.40880436,0.3434353,1.0077171
I,0.07700324,0.475,0.19,2.8187582,1.4855461,0.7418388,0.0015,15.0
F,0.78521866,0.64992857,0.02584899,0.0021871536,0.39317083,0.09730822,0.003771709,9.0
I,0.32901222,0.05743104,0.0004269742,0.01983025,0.0034870342,0.05091338,0.010787331,6.0
F,0.091888495,0.485,3.6428494e-06,2.6180959,1.4875244,0.309955,0.012884979,8.0
M,0.15171538,0.62317246,7.874078e-05,0.04177239,1.3711427,0.28359455,0.13461785,29.0
I,0.28306845,0.40974307,0.0,2.505003,0.001,0.22043926,0.110255465,9.0
F,0.29602718,0.055,0.009047135,2.0544548,1.4646974,0.76,0.048156757,4.0
I,0.0818098,0.525,0.06887472,0.43503103,0.001911007,0.35444778,0.5548381,12.0
F,0.7161865,0.20066799,0.17,0.44167534,0.0027208482,0.2727829,0.030059662,28.999311
I,0.6740851,0.6102362,0.0027143767,0.7591915,0.017422434,0.0012032575,0.001579424,17.0
M,0.545,0.61728776,1.1216476,0.5842139,1.4569842,0.7340775,0.80948114,1.4265975
F,0.22893114,0.055,1.1127737,1.4194024,0.019314704,0.7599939,0.5852679,6.0
M,0.5261062,0.21639998,1.0552024,0.0021424063,1.480092,0.048394777,0.54732347,28.967964
