Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
M,0.20055975,0.6256285,1.124598,0.37330848,0.001,0.10013216,0.20877972,1.0
M,0.599069,0.6193351,0.14099722,2.8255,0.031479865,0.14521492,0.36299813,17.405188
M,0.58465755,0.62886775,0.155,1.279566,0.027810605,0.00050234294,0.8992762,10.0
F,0.55,0.055,0.115,0.22840601,0.7351323,0.76,0.06627793,4.0
M,0.089263536,0.6016474,4.2032175e-06,2.8242009,0.28403065,0.15000805,0.074577585,28.998652
I,0.5782375,0.6205044,0.1798636,0.6519229,0.0013008876,0.105826244,0.0019290537,11.0
F,0.4854306,0.58625257,0.0,0.8678891,0.576825,0.403602,0.32241926,1.0014664
F,0.075,0.6039683,0.125,1.1840923,0.49550334,0.34589884,0.17501691,12.0
F,0.07531763,0.5863278,0.15,1.745588,1.2896664,0.76,0.9259028,6.0
I,0.7748784,0.26515976,0.21739958,0.014849868,0.6524614,0.0056896657,0.9070189,19.32186
F,0.44189504,0.6079603,0.003030071,2.825398,0.01091441,0.09466883,0.028041258,1.0422974
I,0.07500145,0.4894598,1.1299001,1.7067724,1.4879866,0.0046129418,0.45842966,5.0
M,0.19434367,0.2701283,0.015037448,2.0760596,0.001,0.0086270925,0.059484184,1.0
M,0.26761842,0.5651617,1.0594816,0.8551545,0.37610838,0.65377265,0.90012854,28.999868
M,0.44221047,0.57831043,0.0063525434,1.1329681,0.0031464004,0.23937367,0.0015002743,9.0
I,0.13232455,0.614396,0.689412,2.7914906,0.0031806014,0.00057837577,0.62460333,29.0
I,0.6505382,0.055,0.011571396,0.10352934,0.43215767,0.7076967,0.6015701,11.0
F,0.07565981,0.52615714,0.2228401,0.04010897,1.0062524,0.32174006,0.001509418,15.0
M,0.3166152,0.055712964,0.068779185,1.7600226,0.001,0.37457967,0.005073217,7.0
M,0.12266041,0.515,0.1328093,1.0503768,1.3122435,0.6287952,0.22220366,15.510186
F,0.603513,0.6239571,1.13,0.008880704,0.8460413,0.7056476,0.3119404,3.595174
F,0.3394561,0.60745925,1.1240075,1.7114178,1.487137,0.0019192632,0.29450855,5.0
I,0.74436074,0.34151712,0.08,0.88517374,0.0010032783,0.0005583363,0.057776522,7.0
I,0.24959439,0.62992084,0.20259507,1.2719822,0.13219304,0.00057378603,1.004374,1.00126
M,0.6413945,0.45,0.11,0.9939228,0.07457518,0.4734454,0.16508771,9.0
F,0.075,0.46432772,0.06493011,0.7831254,0.0010988143,0.47629964,0.026566932,28.98555
F,0.40353236,0.079234675,0.025079846,0.08832643,0.85958606,0.43493092,0.119802535,16.814806
F,0.7718099,0.4568423,0.9307394,1.3011525,0.7438135,0.75802267,0.07488353,1.2823169
M,0.7996154,0.6292782,0.03181698,0.33062696,0.3994658,0.14176077,1.0030911,7.0
M,0.07504308,0.62050754,0.20576331,0.32177246,0.0022632512,0.000665356,0.49414328,1.0112805
F,0.08014511,0.30049124,0.0015409607,0.6045837,0.00547163,0.04217352,1.0049857,23.704378
F,0.075,0.6299927,7.4068455e-05,1.1305876,0.92455596,0.7597668,0.007330395,13.983082
F,0.754369,0.055,0.14218377,0.7527239,1.4677567,0.00050660997,0.22503673,11.0
F,0.075,0.055,0.79212105,0.00227362,0.9631448,0.7599853,0.265,1.5147903
M,0.13380331,0.4453718,0.0019150807,0.09411733,0.001,0.00054932403,0.0015008393,11.0
F,0.07518198,0.6298384,0.1860435,2.813858,0.08023191,0.0006880147,0.9260724,1.0030185
I,0.15220304,0.58471614,0.09,0.0023110535,0.7862915,0.31158906,0.37145066,8.0
M,0.55227387,0.055,0.04160494,2.8061175,0.77128315,0.01680404,0.0729812,28.99985
I,0.23313494,0.10219331,0.8798861,0.4391584,0.15075165,0.11659498,0.19068865,17.80482
I,0.520912,0.55531144,0.00994221,1.4180562,0.040202014,0.7380749,0.8886223,10.0
I,0.075,0.3625338,0.0077937874,2.6904984,0.001,0.26486742,0.29124245,10.0
F,0.79193324,0.6200871,1.13,0.4957222,1.4845723,0.1845087,0.0015012053,10.0
M,0.35419437,0.6036054,1.0999767,1.7739288,0.032188125,0.43723553,0.043390337,5.0
F,0.655,0.055,0.2218379,2.7819169,1.3709553,0.1236188,0.29836002,7.0
F,0.73362345,0.5733969,0.16,0.41674772,0.29664075,0.08552082,0.08847424,11.35331
M,0.64,0.626065,1.1259393e-06,0.9577853,0.0010063241,0.4274556,0.315,13.0
M,0.72079575,0.061324358,1.0533888,0.06484684,0.61172456,0.0005530684,0.8116332,11.0
I,0.62,0.53712803,0.15,0.22033295,0.8766378,0.75975615,0.001536611,13.0
I,0.20936066,0.055,0.097994685,0.46518406,0.009246384,0.039160542,0.0015044106,6.0
M,0.7948842,0.055,0.21744597,1.3564093,0.116529554,0.29875514,0.5927781,17.990044
I,0.3931266,0.055,0.0014550504,0.5175891,0.86854583,0.21570122,0.03987883,15.473739
I,0.48466444,0.54270405,0.0043028337,1.7176516,1.476471,0.48319966,0.090405785,28.975082
F,0.07538073,0.62904125,1.1299683,2.6345558,0.8092286,0.7162723,0.004983931,29.0
F,0.46510676,0.055012025,0.15,0.0020014215,0.0011062106,0.0005028049,0.3240449,9.0
F,0.32342744,0.15476403,0.0,2.814377,0.043727804,0.478682,0.0332476,1.7534467
F,0.5740578,0.055,0.08,0.33772925,0.002382075,0.010093963,0.0015099742,19.957315
I,0.28659904,0.43567118,0.19,0.6725033,0.007415511,0.01053927,0.99950355,27.966267
M,0.12552321,0.5421273,0.14,0.012775158,0.54559517,0.031110113,0.0016450736,20.149458
