Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
F,0.645,0.09,0.08,2.8015952,0.7639905,0.1183243,0.2265531,5.0
F,0.61,0.09,7.876577e-05,1.3173814,0.28596994,0.26308027,0.33398774,11.0
F,0.81499845,0.090044536,0.11,0.8396619,0.7290174,0.17264856,0.38629386,2.2094889
F,0.62,0.09,0.0208446,1.555201,0.114874296,0.0005010545,0.44265345,4.0
F,0.48,0.26434448,0.024742147,0.33020374,0.48491946,0.070414744,0.5600231,4.0
I,0.2380955,0.42699626,0.066023715,0.20883714,0.6071626,0.57274115,0.36178792,8.0
F,0.11018566,0.09,0.065229766,0.4134948,0.06191505,0.7474668,0.0034098707,6.0
F,0.37432775,0.58233714,0.13,0.34730598,0.95782477,0.42158085,0.010267466,6.0
M,0.110752285,0.51,0.7713461,1.4360386,0.37337735,0.15886381,0.0030057535,8.31483
M,0.13211498,0.5,0.195,0.0110790245,0.69477403,0.15823646,0.003014195,11.0
F,0.55,0.17901938,0.165,0.61704785,0.49915805,0.024699623,0.24500205,26.999853
F,0.32410777,0.5996089,5.4738653e-06,2.8241062,0.3096409,0.122175395,0.30968314,13.0
I,0.5870255,0.21134958,0.145,0.8605773,0.2961818,0.4324831,0.8026682,12.0
I,0.5,0.41,0.15,1.0426682,0.35666904,0.08022845,0.4599801,7.0
I,0.475,0.335045,0.175,0.43664938,0.48369533,0.46707484,0.32083344,9.0
M,0.595,0.13919654,0.135,0.54548347,0.0421254,0.22561699,0.4335249,10.0
F,0.50796497,0.395,0.13,0.7311905,0.35238773,0.17798705,0.15877813,7.888309
F,0.5309461,0.46,0.16,0.91756386,0.408045,0.20991357,0.2560512,8.0
I,0.11149718,0.13205612,0.12,0.036543053,0.105084926,0.035769276,0.095295355,7.0
M,0.2979544,0.22916883,0.08,0.1340183,0.03907608,0.033340417,0.04713144,10.0
M,0.4817617,0.40210748,0.10574001,0.7976038,0.5926958,0.1361083,0.32262197,19.186382
I,0.54012066,0.42065787,0.14,0.7240997,0.32037812,0.15332088,0.21834299,10.0
I,0.23359098,0.17066368,0.054016255,0.054947626,0.024427775,0.013429953,0.016955003,5.0
F,0.63787144,0.5,0.175,1.2962817,0.55923164,0.29020202,0.3682363,11.0
