Sex,Length,Diameter,Height,Shucked_weight,Viscera_weight,Rings
F,0.645,0.09,0.08,0.7639905,0.1183243,5.0
F,0.61,0.09,7.876577e-05,0.28596994,0.26308027,11.0
F,0.81499845,0.090044536,0.11,0.7290174,0.17264856,2.2094889
F,0.62,0.09,0.0208446,0.114874296,0.0005010545,4.0
F,0.48,0.26434448,0.024742147,0.48491946,0.070414744,4.0
I,0.2380955,0.42699626,0.066023715,0.6071626,0.57274115,8.0
F,0.11018566,0.09,0.065229766,0.06191505,0.7474668,6.0
F,0.37432775,0.58233714,0.13,0.95782477,0.42158085,6.0
M,0.110752285,0.51,0.7713461,0.37337735,0.15886381,8.31483
M,0.13211498,0.5,0.195,0.69477403,0.15823646,11.0
F,0.55,0.17901938,0.165,0.49915805,0.024699623,26.999853
F,0.32410777,0.5996089,5.4738653e-06,0.3096409,0.122175395,13.0
I,0.5870255,0.21134958,0.145,0.2961818,0.4324831,12.0
I,0.5,0.41,0.15,0.35666904,0.08022845,7.0
I,0.475,0.335045,0.175,0.48369533,0.46707484,9.0
M,0.595,0.13919654,0.135,0.0421254,0.22561699,10.0
F,0.50796497,0.395,0.13,0.35238773,0.17798705,7.888309
F,0.5309461,0.46,0.16,0.408045,0.20991357,8.0
I,0.11149718,0.13205612,0.12,0.105084926,0.035769276,7.0
M,0.2979544,0.22916883,0.08,0.03907608,0.033340417,10.0
M,0.4817617,0.40210748,0.10574001,0.5926958,0.1361083,19.186382
I,0.54012066,0.42065787,0.14,0.32037812,0.15332088,10.0
I,0.23359098,0.17066368,0.054016255,0.024427775,0.013429953,5.0
F,0.63787144,0.5,0.175,0.55923164,0.29020202,11.0
F,0.52,0.10245095,0.19201583,0.0031521309,0.05609374,11.0
F,0.41657874,0.325,0.12,0.1766737,0.087832786,8.0
M,0.6,0.475,0.16,0.40687543,0.21905996,15.588589
I,0.5025272,0.20245056,0.07,0.48358124,0.108303286,7.0
F,0.60160893,0.475,0.16,0.45992318,0.24066296,10.0
I,0.110223,0.090027414,0.00011006269,0.0025119893,0.0005003537,2.0431497
M,0.62,0.4885581,0.17,0.4970375,0.2590891,12.0
F,0.57,0.09,0.17,0.042514075,0.4556173,19.680439
M,0.46194747,0.35368192,0.115,0.20647997,0.1035201,9.0
F,0.4908802,0.37781942,0.125,0.24669774,0.12883405,9.477358
I,0.61674505,0.4011673,0.13,0.1969326,0.20229842,11.0
F,0.475,0.3675603,0.124852896,0.22081085,0.11633368,10.0
I,0.39492807,0.29,0.10094266,0.07990313,0.077878036,9.0
F,0.7206454,0.56141967,0.195,0.8405519,0.42040586,11.0
M,0.78722835,0.38,0.9547256,0.57768,0.18347375,12.0
I,0.27723822,0.20517686,0.06792307,0.04120803,0.022113277,6.0
M,0.465,0.355,0.115,0.22933017,0.105676204,8.0
F,0.7982327,0.62056035,0.21959631,1.3742331,0.66749674,12.0
I,0.46490565,0.3751456,0.07958993,0.0944585,0.074317984,11.0
I,0.11095377,0.09024865,0.00054336287,0.0025396394,0.0005042621,2.1316206
F,0.5329959,0.4112783,0.14,0.33056915,0.16433908,10.0
I,0.6249289,0.43411416,0.15,0.36244404,0.008496366,4.903272
M,0.55,0.425,0.14,0.35647857,0.17275687,9.0
I,0.34233814,0.25975484,0.08,0.08039499,0.038757324,6.617423
F,0.525,0.33439544,0.1,0.10005177,0.18958077,13.0
M,0.71864736,0.5603843,0.19930276,0.8727798,0.41784957,12.0
I,0.12180689,0.09616325,0.007790086,0.0035173371,0.0010746216,2.5471895
M,0.4415799,0.36,0.145,0.4177742,0.16476895,11.0
M,0.12806238,0.10069317,0.023285553,0.003093879,0.0013530914,7.0
F,0.535,0.3980633,0.155,0.36967522,0.24350052,12.0
F,0.68530804,0.5446914,0.195,0.6569766,0.36493418,17.0
M,0.475,0.34031633,0.12,0.1087583,0.118470475,8.0
