Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
F,0.645,0.6499163,1.1299617,1.7506214,1.0159321,0.7095332,0.33261836,10.0
F,0.6129462,0.055,0.0022198828,1.2301496,0.041611575,0.2191708,0.0015389511,11.0
M,0.2826531,0.15391974,1.13,0.0020086854,0.35111305,0.08164555,0.0019215937,1.2706834
F,0.23235348,0.51,1.1296846,0.36285543,1.0359117,0.02762243,0.35787466,22.789606
I,0.37040204,0.64986104,0.19,0.0021375385,0.024474606,0.29444465,0.0015302463,9.0
M,0.10300237,0.405,0.155,0.054940082,0.75749016,0.00055492244,0.0015847505,29.0
M,0.22908716,0.5328097,0.07116848,0.041138742,0.051721007,0.0021007033,0.89560246,5.0
F,0.27474546,0.38084108,1.1289421,0.0034087778,0.04625755,0.2451352,0.9965486,9.0
I,0.7455235,0.28899413,1.1274167,0.7847919,0.88673145,0.10826903,1.0022007,13.0
F,0.58589506,0.2180431,1.1299807,0.8718145,1.4832921,0.020092225,0.43557233,1.0080427
I,0.075834274,0.05667679,1.0744714,0.11735677,0.001,0.1960858,0.0015,7.0
I,0.075,0.055303477,0.08,1.211113,0.94589555,0.012684228,0.548583,5.0
I,0.64,0.28908768,3.888206e-06,0.8658724,0.0010048028,0.06177593,0.5772481,26.403812
M,0.6785097,0.055,0.97769177,1.9335524,0.5677848,0.0005,0.21984579,8.512811
M,0.375,0.055017654,0.175,2.2750928,0.7567922,0.021249374,0.95771086,5.2840524
I,0.67027104,0.64976835,0.16,0.3950874,0.0010048191,0.64850205,0.2510588,29.0
F,0.4377461,0.055,0.014408662,1.2192603,1.4240805,0.30661678,0.5301172,1.0023689
M,0.565,0.64989763,0.155,1.9792387,0.0681692,0.74808824,0.0015238753,13.0
F,0.107850455,0.64717466,0.21937495,2.825474,0.09057222,0.76,0.030904531,1.198673
M,0.70282924,0.6397439,1.1231996,2.7138336,0.76989836,0.00050964765,0.1441138,7.455175
I,0.79521585,0.28413895,0.18578926,0.29109773,0.056995228,0.13339368,0.0018886671,21.156275
F,0.8143131,0.19065921,0.00010295535,2.8219395,0.0010582028,0.14573783,0.12234691,28.976585
I,0.65,0.055,0.05662597,2.8254893,0.7437207,0.7572516,0.0021434543,15.0
I,0.5563207,0.58198845,3.050274e-06,2.8219953,1.4863634,0.25153032,0.0015122562,2.9775116
I,0.78448325,0.5751353,0.21100922,0.57600564,0.028872212,0.08028062,0.004652381,12.0
F,0.7185627,0.42,1.4272309e-06,1.6740252,0.5269178,0.04848815,0.5991797,13.0
I,0.81499827,0.5083589,1.1297686,1.4671929,0.64721274,0.0009131295,0.478299,1.0008485
F,0.36374658,0.4926554,0.155,0.0020016124,0.62382126,0.30368188,0.02342846,17.0
I,0.07540734,0.055,1.1234982,0.034780644,0.0010003517,0.25765085,0.12614611,1.0004926
F,0.8068082,0.49595457,1.1295067,0.19370781,0.20078492,0.73429453,0.36479157,13.0
I,0.79990506,0.055,0.009838917,0.6262917,0.016427724,0.14485708,0.72497827,1.0005772
M,0.79433113,0.055,1.0546616,2.114769,0.5120986,0.048572324,0.18289453,13.0
