Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
I,0.44993243,0.525,0.1614542,0.0027816093,0.09584404,0.0032826283,0.96675557,13.0
F,0.07502001,0.6154353,0.0,0.05697035,1.1088132,0.7451147,0.1895029,10.0
F,0.075017765,0.055,0.0,0.0020815078,0.014256091,0.23833032,0.017126434,9.0
I,0.655,0.23030645,0.2076398,0.21714321,0.0012527314,0.0005001833,0.0043721707,28.764858
I,0.4651158,0.629626,0.009539635,0.95440733,0.48507527,0.7588929,0.04516373,1.000307
M,0.7987751,0.055164352,0.580625,2.1803024,0.2739509,0.25644162,0.11271141,28.989752
I,0.31571794,0.44746214,0.13,0.98240334,0.0010004235,0.009435872,0.518641,7.0
F,0.64490515,0.055,1.0493022e-06,0.0027346706,1.4784355,0.00050944655,0.03047234,11.0
I,0.27237284,0.2278079,0.0021768662,1.1727159,1.4878509,0.0040243,0.004270465,8.0
I,0.7222028,0.055003345,0.00016734356,0.3229752,1.4634546,0.08154903,0.031913284,17.252869
M,0.07998693,0.5047633,1.104686,1.0070738,0.21713386,0.5719914,0.508392,27.853336
M,0.78693026,0.055,0.07,2.7592952,0.0025252344,0.009350478,0.0022813932,28.996069
F,0.27814177,0.62755764,0.095,0.08612637,1.4809954,0.74920684,0.35235584,19.808708
I,0.0750312,0.58198935,0.00078671856,0.8748769,1.0400493,0.75864834,0.0015808964,1.1367683
F,0.09688298,0.39946198,8.2093106e-07,0.9202778,0.001,0.31351304,0.29400206,28.999825
I,0.7235858,0.055,0.125,0.82366514,0.0010089537,0.40963894,0.44942048,4.0
M,0.61,0.44381994,6.664465e-06,2.8254619,0.0019083589,0.08411297,0.0015147949,3.3229353
M,0.785741,0.56064004,1.1298625,0.52796274,0.0012463912,0.06508298,0.0017243159,24.740334
F,0.61100423,0.629793,0.18,2.1584058,0.49059284,0.24217118,0.0015022157,7.0
F,0.1735514,0.6286729,0.00019170585,2.1613493,1.4848999,0.0005,0.34297267,28.975351
F,0.0776029,0.6298275,6.4591254e-06,2.4279263,1.4848368,0.14639792,0.8067853,5.5616426
M,0.7017319,0.2649325,1.1298146,0.0023972008,0.001,0.0026333514,1.0038794,9.0
F,0.41263968,0.055,0.0,1.3502406,1.0448074,0.25082645,0.0015387696,28.999817
