Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
I,0.5163895,0.39946046,0.12972693,0.6038548,0.28132,0.13177344,0.17879729,9.0
I,0.505,0.39,0.125,0.5778064,0.2714171,0.12468444,0.1714617,9.0
M,0.81466436,0.6487838,1.1091588,2.8253517,1.4878114,0.75874245,0.9973423,14.0
I,0.24650179,0.18091846,0.059095375,0.06524351,0.028546153,0.015268824,0.02041235,5.3006196
F,0.4280216,0.32806048,0.11,0.37350273,0.15231594,0.0854935,0.112438925,10.0
I,0.11182778,0.09078664,0.0011526416,0.008017947,0.0025899091,0.00051691313,0.0030282694,2.1407537
F,0.5588765,0.435,0.145,0.83637315,0.36920127,0.1878091,0.23275393,9.0
F,0.8085134,0.12564522,0.1369234,0.6875406,0.5915828,0.15115806,0.1985503,9.0
I,0.11092747,0.090283304,0.0005842584,0.008005651,0.002545499,0.00050522044,0.0030088963,2.0709648
M,0.772379,0.586589,0.21410766,2.5311382,1.2853546,0.56343853,0.59377533,12.0
F,0.50250745,0.38866305,0.13103172,0.5970941,0.26011702,0.13838543,0.17766084,10.0
I,0.13306645,0.49,0.052146,2.76226,0.3105266,0.17694587,0.05739013,13.0
M,0.6592719,0.5172671,0.18459478,1.4865739,0.62652665,0.31475815,0.43737492,12.986801
F,0.6262344,0.495,0.17,1.222105,0.5200278,0.27142364,0.35156652,11.0
I,0.57,0.39836508,0.19017425,0.5621497,0.6167042,0.47246933,0.36069414,9.0
M,0.59732157,0.47,0.16,1.0525429,0.44687286,0.228783,0.30472326,11.0
F,0.65,0.51004124,0.175,1.379856,0.59444046,0.3052122,0.39487675,11.0
F,0.73055273,0.57055014,0.2,2.0847843,0.93861234,0.45339873,0.52926147,11.0
I,0.1277652,0.09360781,0.06385093,0.03564522,0.025161905,0.0061811777,0.018264387,5.0
M,0.2534082,0.18921447,0.06897019,0.07582403,0.02006291,0.019391919,0.030190581,9.0
M,0.63,0.50195247,0.18,1.3229892,0.5069692,0.2752375,0.43151003,17.345486
I,0.4803927,0.37318653,0.12,0.50279534,0.22818232,0.10750037,0.14971897,9.0
I,0.11001606,0.09000091,5.881025e-06,0.008,0.0025017448,0.0005,0.003,2.0043898
F,0.8113264,0.6413991,0.80502176,2.8010325,1.4658142,0.7347869,0.9018798,13.0
F,0.5421511,0.16019773,0.18,0.7780518,0.0053137694,0.06427056,0.19102836,11.0
F,0.36308646,0.28,0.09407471,0.22927417,0.082789674,0.05408993,0.073229134,9.0
M,0.56867445,0.44588125,0.15,0.8983229,0.3681284,0.19474553,0.27395496,12.0
F,0.55,0.21156171,0.094651416,0.3684039,0.4704971,0.14814132,0.48384225,7.0
F,0.585,0.4584894,0.155,0.98366594,0.42639604,0.21897599,0.27476496,10.0
I,0.110377334,0.0900577,0.00019683437,0.0080009885,0.0025174236,0.0005008387,0.0030018587,2.0667014
M,0.6165347,0.485,0.17,1.1730096,0.48970908,0.25507095,0.35150343,12.0
F,0.57,0.09,0.17,0.008104788,0.05956018,0.4352106,0.13336854,22.645348
M,0.505,0.3894726,0.12892717,0.59697527,0.27179912,0.1352723,0.1760427,10.0
F,0.51730984,0.4,0.135,0.6543118,0.2812079,0.1485251,0.19577855,10.077341
I,0.585,0.455,0.15,0.92807573,0.37758443,0.19999357,0.27779934,11.587112
F,0.535,0.415,0.14,0.74968106,0.32043362,0.16623905,0.21587618,10.0
I,0.4071327,0.303443,0.10439513,0.37473434,0.029358018,0.09463249,0.12864298,9.0
F,0.6745396,0.525,0.18,1.5597563,0.6778504,0.3480193,0.4294905,11.0
M,0.6466885,0.50561625,0.18,1.3483421,0.58998305,0.29432026,0.38766187,11.0
I,0.14892168,0.11026672,0.02319549,0.015479527,0.006456843,0.0030135307,0.0053943032,4.0
M,0.41126192,0.30825937,0.1,0.33796194,0.1535592,0.071866795,0.09596318,8.0
F,0.7476707,0.57994056,0.20301647,2.2050881,1.0413591,0.47977486,0.5593357,11.0
F,0.5,0.395,0.13,0.6120805,0.23479162,0.13959984,0.20748758,14.166291
M,0.113084696,0.09073581,0.0048799235,0.008017714,0.0025713448,0.0005200526,0.003109227,5.0
F,0.55062395,0.43,0.145,0.83007485,0.3584144,0.18275735,0.23764504,10.0
I,0.28374606,0.20707683,0.06662364,0.09905496,0.047516193,0.01830311,0.021795403,4.0
M,0.5643413,0.43727043,0.145,0.8511128,0.37471026,0.18645446,0.24163835,10.0
I,0.18786934,0.13448599,0.04156698,0.02830428,0.011986465,0.0066071143,0.009064793,4.0
