Sex,Length,Diameter,Height,Shucked_weight,Viscera_weight,Rings
I,0.5163895,0.39946046,0.12972693,0.28132,0.13177344,9.0
I,0.505,0.39,0.125,0.2714171,0.12468444,9.0
M,0.81466436,0.6487838,1.1091588,1.4878114,0.75874245,14.0
I,0.24650179,0.18091846,0.059095375,0.028546153,0.015268824,5.3006196
F,0.4280216,0.32806048,0.11,0.15231594,0.0854935,10.0
I,0.11182778,0.09078664,0.0011526416,0.0025899091,0.00051691313,2.1407537
F,0.5588765,0.435,0.145,0.36920127,0.1878091,9.0
F,0.8085134,0.12564522,0.1369234,0.5915828,0.15115806,9.0
I,0.11092747,0.090283304,0.0005842584,0.002545499,0.00050522044,2.0709648
M,0.772379,0.586589,0.21410766,1.2853546,0.56343853,12.0
F,0.50250745,0.38866305,0.13103172,0.26011702,0.13838543,10.0
I,0.13306645,0.49,0.052146,0.3105266,0.17694587,13.0
M,0.6592719,0.5172671,0.18459478,0.62652665,0.31475815,12.986801
F,0.6262344,0.495,0.17,0.5200278,0.27142364,11.0
I,0.57,0.39836508,0.19017425,0.6167042,0.47246933,9.0
M,0.59732157,0.47,0.16,0.44687286,0.228783,11.0
F,0.65,0.51004124,0.175,0.59444046,0.3052122,11.0
F,0.73055273,0.57055014,0.2,0.93861234,0.45339873,11.0
I,0.1277652,0.09360781,0.06385093,0.025161905,0.0061811777,5.0
M,0.2534082,0.18921447,0.06897019,0.02006291,0.019391919,9.0
M,0.63,0.50195247,0.18,0.5069692,0.2752375,17.345486
I,0.4803927,0.37318653,0.12,0.22818232,0.10750037,9.0
I,0.11001606,0.09000091,5.881025e-06,0.0025017448,0.0005,2.0043898
F,0.8113264,0.6413991,0.80502176,1.4658142,0.7347869,13.0
F,0.5421511,0.16019773,0.18,0.0053137694,0.06427056,11.0
F,0.36308646,0.28,0.09407471,0.082789674,0.05408993,9.0
M,0.56867445,0.44588125,0.15,0.3681284,0.19474553,12.0
F,0.55,0.21156171,0.094651416,0.4704971,0.14814132,7.0
F,0.585,0.4584894,0.155,0.42639604,0.21897599,10.0
I,0.110377334,0.0900577,0.00019683437,0.0025174236,0.0005008387,2.0667014
M,0.6165347,0.485,0.17,0.48970908,0.25507095,12.0
F,0.57,0.09,0.17,0.05956018,0.4352106,22.645348
M,0.505,0.3894726,0.12892717,0.27179912,0.1352723,10.0
F,0.51730984,0.4,0.135,0.2812079,0.1485251,10.077341
I,0.585,0.455,0.15,0.37758443,0.19999357,11.587112
F,0.535,0.415,0.14,0.32043362,0.16623905,10.0
I,0.4071327,0.303443,0.10439513,0.029358018,0.09463249,9.0
F,0.6745396,0.525,0.18,0.6778504,0.3480193,11.0
M,0.6466885,0.50561625,0.18,0.58998305,0.29432026,11.0
I,0.14892168,0.11026672,0.02319549,0.006456843,0.0030135307,4.0
M,0.41126192,0.30825937,0.1,0.1535592,0.071866795,8.0
F,0.7476707,0.57994056,0.20301647,1.0413591,0.47977486,11.0
F,0.5,0.395,0.13,0.23479162,0.13959984,14.166291
M,0.113084696,0.09073581,0.0048799235,0.0025713448,0.0005200526,5.0
F,0.55062395,0.43,0.145,0.3584144,0.18275735,10.0
I,0.28374606,0.20707683,0.06662364,0.047516193,0.01830311,4.0
M,0.5643413,0.43727043,0.145,0.37471026,0.18645446,10.0
I,0.18786934,0.13448599,0.04156698,0.011986465,0.0066071143,4.0
F,0.4796407,0.345,0.11,0.17186344,0.13728794,10.0
M,0.65771294,0.515,0.18,0.6309812,0.31322834,12.0
I,0.1180943,0.094189264,0.0054646204,0.003147396,0.00080528145,2.397253
M,0.42157286,0.35691088,0.15,0.49359575,0.16802178,12.0
M,0.20368707,0.15181719,0.056597818,0.009062064,0.0104694385,9.0
F,0.585,0.46,0.16,0.40847868,0.22146294,12.0
F,0.70347196,0.5563396,0.2,0.69865406,0.39048812,17.09121
M,0.44926956,0.32398406,0.11,0.083832115,0.107669145,8.0
M,0.615,0.49,0.175,0.4666002,0.25690988,17.921753
I,0.475,0.3657678,0.1211674,0.2044275,0.11245746,8.0
I,0.115639575,0.092788294,0.0036909964,0.0028518084,0.00064128306,2.6413462
M,0.73562306,0.575549,0.20564136,1.0351522,0.4672128,12.0
I,0.11000519,0.09,1.3602296e-06,0.0025006635,0.0005,2.0020957
F,0.61,0.4786588,0.165,0.4815857,0.24985448,10.0
I,0.110296875,0.09004688,0.00016593211,0.0025158543,0.00050067954,2.0383089
M,0.50819725,0.39134797,0.13,0.30718032,0.14493084,9.0
F,0.81303746,0.6439787,0.9409475,1.4819633,0.74649495,13.0
F,0.595,0.41483665,0.155,0.48547098,0.2695807,7.0
F,0.5072578,0.38880095,0.12825778,0.2929486,0.13935915,7.0
M,0.64,0.505,0.175,0.586979,0.28484908,11.0
M,0.44,0.33598408,0.11,0.16658418,0.0893256,10.0
I,0.1101567,0.090021305,8.690322e-05,0.0025108014,0.0005002712,2.020399
I,0.67305547,0.64813775,0.1,0.5114604,0.14604013,5.0
M,0.59,0.46,0.155,0.44567043,0.21960796,9.0
M,0.5636249,0.44,0.15,0.36618352,0.18783171,11.0
I,0.4286657,0.325,0.10026826,0.15922184,0.07386248,8.0
M,0.61,0.486781,0.15664767,0.5222307,0.26097572,11.0
M,0.29957855,0.22919579,0.08,0.040115707,0.0334035,9.0
F,0.635,0.5,0.17164184,0.54729223,0.28226626,10.0
M,0.6304154,0.5,0.17,0.5509872,0.27482614,11.0
F,0.6402609,0.505,0.175,0.5647599,0.293411,11.0
I,0.41499683,0.31466177,0.1,0.14335094,0.06587066,8.0
M,0.595,0.455,0.155,0.4473871,0.2149401,10.0
I,0.6074463,0.4760241,0.165,0.4455178,0.22930434,13.0
I,0.1100159,0.09000089,5.7974403e-06,0.0025017476,0.0005,2.0043662
M,0.19222325,0.14095433,0.051561702,0.007461002,0.007948243,9.0
F,0.65,0.515,0.1845188,0.56948173,0.30445853,14.0
M,0.7897468,0.615595,0.22415453,1.3439512,0.6315594,14.0
I,0.6676145,0.49,0.11,0.2937954,0.1267313,19.424597
I,0.3294872,0.24562232,0.072073966,0.06378717,0.03555639,6.804685
M,0.7031818,0.55,0.19503094,0.77898276,0.3926891,13.0
I,0.110270485,0.090039715,0.00014692274,0.0025145926,0.00050055806,2.0384095
F,0.2378889,0.18300469,0.06498286,0.0152155105,0.018954128,10.0
I,0.4716978,0.36,0.115,0.22085807,0.10230237,7.0
F,0.79474247,0.6159375,0.21768276,1.3427405,0.6502642,12.0
F,0.63,0.49591112,0.17,0.53350765,0.2757715,10.0
F,0.57,0.45,0.15,0.3842389,0.20142725,10.0
I,0.58,0.45523363,0.15445846,0.39519194,0.19719954,11.0
I,0.11027455,0.09003844,0.00014382016,0.0025142946,0.0005005314,2.044826
