Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
F,0.07500509,0.055,0.00055883196,0.6600791,0.00503977,0.24492177,0.0015,11.0
M,0.65,0.6357732,0.019283788,0.8134853,0.8395474,0.17896023,0.44855526,8.0
F,0.70184445,0.055,1.13,1.4386164,0.0023935104,0.0012317009,1.0040137,19.865849
I,0.34776887,0.05556879,0.0013096837,0.67124665,0.0011094041,0.1464252,0.08494183,1.0198154
F,0.5189905,0.055,0.135,0.4776631,0.015218714,0.14853552,0.40499142,8.0
I,0.07519049,0.64762133,0.16,0.041129787,0.0010634409,0.00054481986,0.0137814,1.0147846
F,0.7217499,0.49705306,0.2012185,0.5535282,0.4082974,0.021003423,0.90179586,4.820994
F,0.8110932,0.56518894,0.0026397528,2.6240585,0.9074178,0.26236707,0.0016922617,3.786043
M,0.7622887,0.45,0.15119006,1.0051087,1.4333962,0.31797782,0.33357757,8.0
F,0.62,0.505,1.129984,0.16566706,0.0012971056,0.0007234236,0.20937723,9.0
F,0.6763042,0.055,1.13,0.764907,0.020805243,0.0005,0.07393724,9.0
I,0.655,0.538933,0.058522858,0.6333577,0.42992282,0.06277097,0.30888397,8.0
I,0.6606308,0.649716,0.12,0.88275963,0.8071479,0.0017560883,0.42967287,28.821404
F,0.12305236,0.43664825,0.2,0.043232482,1.3835489,0.19521381,0.0015937146,10.0
M,0.075,0.3,0.0,1.0122464,0.5134211,0.04169829,0.0047245217,12.0
M,0.8140224,0.1446013,0.9492069,0.0020226985,0.117563166,0.027555259,0.06987194,28.92068
F,0.8148302,0.57907313,1.13,0.1250065,0.6500457,0.27596653,0.2100434,1.0
I,0.07783722,0.055,0.034560755,2.8238997,0.86074924,0.005970025,0.005144128,5.0
I,0.45,0.055,3.0568095e-05,1.1526569,1.4873478,0.14158788,0.13376895,3.4766786
M,0.08462266,0.405,0.5553548,2.7498415,0.28171715,0.43913928,0.91935265,26.63553
F,0.7498261,0.4629381,0.022469474,0.31690985,0.339722,0.081280924,0.06030087,5.0
F,0.41460136,0.64793617,0.10500068,2.330588,0.0011701226,0.06424543,0.52794737,1.000056
I,0.1959512,0.45267156,0.00011785994,0.8899469,0.079276145,0.019166643,0.20784505,16.0
I,0.075,0.055,0.09,1.5634632,0.8722397,0.057969283,0.20784877,1.0
I,0.17642514,0.055,0.8438914,0.0022271562,1.4142766,0.6131651,0.060761455,1.0350164
I,0.076587126,0.65,0.00027847514,0.117392205,0.0010053712,0.06049511,0.5338222,9.0
M,0.3097063,0.649673,1.0237738,1.7337838,0.24332987,0.40069425,0.3491509,20.568655
F,0.8092394,0.63307685,0.2,1.8426791,0.5789411,0.75035137,0.3953336,1.3117613
F,0.5502771,0.6465573,4.393193e-06,0.22916202,1.4858682,0.21030241,0.115539886,10.0
M,0.51786256,0.6499792,0.095,1.2058874,1.002508,0.6657466,0.5022201,11.0
I,0.075,0.055,1.1260228,0.45940202,0.0014188429,0.0039140997,0.003984398,12.0
F,0.07501014,0.42545226,0.0,1.2548813,0.11229646,0.40597534,1.0043385,1.0182223
M,0.09560038,0.055,0.0710625,0.6620928,0.3312654,0.026702594,0.07535241,4.145429
I,0.43428543,0.19909482,1.0268955e-05,1.6047504,1.4830129,0.025711063,0.0015001865,1.1314757
M,0.11917461,0.64925104,0.0001350474,0.9647551,1.4847234,0.74021846,0.0015474989,28.978022
M,0.66510123,0.61430526,0.155,2.1595173,1.4857047,0.25667226,0.35368854,1.0867211
F,0.075,0.5536668,0.7932231,0.54280674,0.001,0.7599914,0.06312026,17.0
F,0.20758393,0.5512242,0.02571888,0.04713371,0.01796674,0.00056314166,0.23819877,6.0
M,0.605,0.65,1.129928,0.20976107,0.001,0.004190771,0.7271165,29.0
M,0.20312868,0.5,1.0026217,2.8254423,0.001003924,0.07463255,0.006993544,2.221534
F,0.63,0.055,1.13,0.002567951,1.4850452,0.76,0.9897642,18.681986
F,0.3493139,0.6479046,0.195,1.228295,0.001,0.012036896,0.13267985,18.872456
F,0.07569805,0.055084407,0.11,0.0025029834,0.4771602,0.35236573,0.11028143,29.0
F,0.34030974,0.055345695,0.07,1.1886811,0.13565812,0.74105614,0.10042823,26.500257
F,0.07546529,0.5843695,4.616268e-06,2.8254611,0.009466155,0.015339945,0.35502413,10.211886
M,0.0762147,0.57678384,0.0,0.43600532,1.0595489,0.018450104,0.010914447,28.840782
M,0.07573974,0.05999105,0.004600727,1.0752343,1.360082,0.0020832173,0.05137048,21.019289
M,0.6838422,0.055,0.00060268515,2.8145082,0.6708462,0.27205807,0.6151928,1.040655
F,0.08461736,0.055,0.0022050953,2.794915,0.048704613,0.3631544,0.0019142027,10.0
F,0.5199095,0.6499979,0.0,2.0519168,0.19038628,0.10548701,0.039044738,23.55495
I,0.07564794,0.51258296,0.0004961122,2.8079906,0.54415154,0.13214363,0.03287809,28.981153
F,0.075,0.57173723,1.13,0.0039124326,0.018343035,0.019774962,0.35035,1.0
M,0.075,0.055075858,0.009009514,2.8255,0.0030239986,0.75843775,0.25797242,29.0
F,0.08772867,0.6094195,1.061613,2.1979516,1.4611187,0.029863533,0.024533987,9.0
M,0.5847161,0.055,1.1273241,0.0020008746,0.91394997,0.27005997,0.9096778,13.0
F,0.5732859,0.34,0.00019597712,1.5585144,0.40538216,0.31353492,0.15972975,10.0
F,0.5,0.3602657,0.21885927,1.9682328,0.70330185,0.003175499,0.012164166,7.0
M,0.67416495,0.055,0.2114141,0.20387237,0.10588151,0.0028131136,0.9962859,7.0
I,0.68061966,0.068312615,1.1025262,0.0020209227,0.06273628,0.012578303,0.45221627,28.883266
M,0.615,0.51,6.8674667e-06,0.13338831,1.4676946,0.059941176,0.030570952,28.999622
I,0.7133735,0.57411575,0.185,0.08306486,0.87050027,0.1719749,0.0015,2.498473
I,0.07571242,0.05502119,1.13,0.7599546,0.0469488,0.66062176,0.009419923,22.410482
F,0.6225176,0.56100553,0.07573091,1.865894,0.9812354,0.580005,0.062142957,7.0
F,0.63611823,0.647255,0.0013023211,0.69215363,0.8371714,0.75894225,1.0041968,12.529816
