Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
F,0.10285137,0.055,0.17254679,0.7144276,0.0012543052,0.0020423094,0.12653825,6.0
I,0.7360079,0.6203658,0.18675041,0.0037630177,0.49602133,0.00064903434,0.48204175,27.564596
F,0.075068705,0.05500146,2.0920888e-06,1.0335926,0.13800244,0.41396913,0.001570256,28.705898
F,0.62429816,0.62886125,1.13,0.002001156,0.1307389,0.206687,0.029840864,13.0
M,0.605,0.055,0.00011230534,0.1359726,0.11260471,0.13190687,0.0015421115,9.0
F,0.50712043,0.6263873,0.105,0.23116632,0.88653564,0.2004417,0.5022682,1.4092803
F,0.075925194,0.62937766,0.0,2.8254695,0.0042862277,0.20086648,0.3832872,21.103422
I,0.7932507,0.055,0.0748453,0.07437221,0.0010030868,0.048007015,0.34913957,11.0
M,0.5033148,0.055,1.1299459,0.003739731,0.69728214,0.005955711,0.0015606597,29.0
M,0.29453114,0.515,0.13,2.8224757,1.4848433,0.44593972,0.30168328,1.0443286
I,0.15206674,0.055,0.09,0.7010019,0.0010359188,0.7597503,0.058404505,7.0
I,0.64950377,0.055,1.1299778,2.825315,0.56707984,0.005354347,0.5098187,4.0
F,0.5417847,0.6291351,0.145,0.8691248,0.24414314,0.0005994355,0.0679172,13.0
I,0.7274465,0.35,0.165,1.9450918,0.12594955,0.076815955,0.04146817,15.0
F,0.081922285,0.45,2.0345976e-06,0.4408945,0.87757045,0.40887332,0.008660148,1.3372996
M,0.29318896,0.055,0.9255721,0.09136032,0.4239618,0.034514625,0.0866749,18.628181
F,0.16583058,0.23444769,0.2053283,1.1971705,0.90875494,0.35122436,0.0015558497,28.98792
F,0.075,0.6281069,0.13,0.018232036,0.5893636,0.17833741,0.0018830433,11.0
M,0.075739846,0.16885214,0.21828395,1.303655,1.1469523,0.029643191,0.6494116,10.0
F,0.075012825,0.23809513,0.008662079,0.0020079636,0.0010043124,0.045976818,0.91801214,29.0
I,0.07845762,0.28,0.175,1.7586641,0.85202956,0.72418004,0.012252251,1.001868
M,0.77532685,0.0550098,0.028798455,0.5876037,0.001006573,0.044091146,0.45416424,8.0
I,0.12273698,0.629931,0.24767908,0.8683418,0.82453245,0.76,0.0018376854,4.0
M,0.21791196,0.055362664,0.0013604607,0.598317,0.8879675,0.06429896,0.0015298394,17.994076
M,0.7789742,0.104117975,0.068610735,0.61485535,0.022714522,0.10111499,0.2600529,18.835352
I,0.270767,0.6278589,1.13,0.10399025,0.001,0.2695007,0.0034542491,28.999825
I,0.122984044,0.25153476,0.1817877,0.14836651,0.62734425,0.00050645747,0.53763247,8.227589
F,0.19595392,0.6299574,0.11941521,0.003994176,1.0489825,0.11046876,0.0914499,5.0
I,0.53,0.31361717,1.0998694,0.006205492,0.3624194,0.75832504,0.7230698,1.0037647
M,0.4553465,0.5780862,1.1288735,0.0035540054,0.37167996,0.23098615,0.08237138,11.0
F,0.35419482,0.6238779,0.01051285,1.0446345,0.0010019441,0.0017250405,0.032498915,28.994774
I,0.07714448,0.6299044,0.0,0.19365454,1.4849987,0.0025474473,0.02992225,1.0
I,0.16277242,0.6214078,6.51744e-05,0.05712464,0.6683079,0.32664806,0.42966345,24.2119
I,0.515,0.2556257,0.040832985,0.5208949,0.3887774,0.10183324,0.30634367,1.0004132
I,0.68739325,0.6299969,1.1298791,1.5269037,1.4714067,0.12311232,0.008313935,5.0
M,0.27575263,0.6299811,0.043455373,0.5606981,0.0017071846,0.009763715,0.3206026,6.0
F,0.14384449,0.58437496,0.04056826,2.8255,0.9333402,0.20464882,0.004222447,6.0
I,0.07503196,0.055354957,0.09,0.1509847,0.001,0.7324979,0.010242468,11.0
M,0.07502954,0.36,0.078240335,0.002,0.42697057,0.00060351676,0.026348742,13.485941
I,0.45039502,0.62188125,0.2243797,0.96918076,0.0012655747,0.0010541395,0.005425348,28.999584
F,0.4428822,0.62998503,0.0,0.56134117,1.4827763,0.0022901658,0.005141851,14.819154
I,0.5247363,0.055,1.1299853,0.35102203,0.9924575,0.04599015,0.0015004347,1.0189378
F,0.4190429,0.14607209,0.09,1.1382082,0.65317434,0.58725303,0.0016564734,1.3666718
F,0.6418499,0.62991005,0.22341499,1.2279197,0.046325654,0.32247043,0.26076818,19.573654
F,0.118712254,0.27241457,0.04739915,1.3234649,1.485187,0.15595914,0.15460843,10.0
M,0.77835035,0.55,0.0005555565,0.08659173,0.9232467,0.025920134,0.0072580585,25.198626
I,0.740539,0.055007096,0.21080624,1.0202938,1.116888,0.107889436,0.9619542,9.0
F,0.30949914,0.6299984,1.2820992e-05,2.8251777,1.4735717,0.23572461,0.055041526,6.0
M,0.53,0.21038128,0.17238064,0.0055616777,0.062062714,0.016578399,0.34197333,10.0
F,0.41528112,0.055,1.1297964,0.0316081,0.0010035465,0.73462594,0.001856231,19.700872
I,0.5788571,0.05500554,1.1294308,0.087898515,0.6777239,0.31880772,0.9695526,27.512373
F,0.51753193,0.055,1.129761,0.30148503,0.08062686,0.0005001816,0.08252588,29.0
I,0.698227,0.6298999,0.540838,2.1962533,0.15611686,0.02466009,0.9782032,1.0015815
F,0.6327727,0.606538,0.125,0.99557316,0.20939457,0.010943439,0.9273839,7.0
I,0.7998054,0.525,0.20241973,0.18719426,0.7156383,0.0033297043,0.78353184,10.0
I,0.116530545,0.055012077,0.0,2.0316288,0.02805348,0.18160406,0.019018702,1.1872499
F,0.43604183,0.6292989,0.16,1.3012316,1.3221103,0.76,0.0015088292,9.0
I,0.07500851,0.5695015,0.071180254,1.313884,0.8018472,0.27913788,0.005274613,8.0
M,0.52060646,0.6272828,0.8801442,0.8578294,1.2867599,0.7543342,0.0016971681,5.0
