age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
42.0, Self-emp-inc,174893.02, Bachelors,16.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,50.0, United-States, <=50K
24.55801, Private,226209.72, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
49.0, Private,119373.32, Some-college,9.0, Never-married, Tech-support, Not-in-family, White, Female,0.0,0.0,40.0, United-States, >50K
26.0, Private,68014.63, HS-grad,9.0, Divorced, Sales, Unmarried, Asian-Pac-Islander, Female,0.0,0.0,50.0, United-States, <=50K
19.0, Private,150005.31, HS-grad,9.0, Never-married, Craft-repair, Own-child, White, Female,0.0,0.0,20.0, United-States, <=50K
25.0, Private,103675.266, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
30.0, Private,419017.34, Bachelors,13.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,60.0, United-States, >50K
21.0, State-gov,272749.03, Some-college,10.0, Never-married, Adm-clerical, Own-child, White, Male,0.0,0.0,15.0, United-States, <=50K
24.0, Local-gov,158341.47, Masters,14.0, Never-married, Other-service, Own-child, White, Female,0.0,0.0,40.0, United-States, <=50K
22.0, Private,45359.758, Bachelors,13.0, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K
20.0, Private,101753.45, Some-college,10.0, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander, Male,0.0,0.0,40.0, Jamaica, <=50K
18.0, Private,125229.45, HS-grad,9.0, Never-married, Sales, Own-child, White, Female,0.0,0.0,30.0, United-States, <=50K
20.0, Federal-gov,703176.94, HS-grad,9.0, Married-civ-spouse, Prof-specialty, Wife, White, Female,0.0,0.0,40.0, United-States, <=50K
21.0, Private,264039.03, Some-college,10.0, Never-married, Transport-moving, Own-child, White, Male,0.0,0.0,40.0, United-States, <=50K
25.0, Private,19884.654, Some-college,10.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,3583.0806,0.0,40.0, United-States, <=50K
25.0, Self-emp-not-inc,229468.48, 7th-8th,3.0, Never-married, Craft-repair, Own-child, White, Male,0.0,0.0,99.0, United-States, <=50K
26.0, Private,156824.14, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
25.0, Private,70847.09, Masters,10.0, Married-spouse-absent, Tech-support, Not-in-family, White, Female,0.0,0.0,45.0, Germany, <=50K
50.894043, Private,24825.082, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,99.0, United-States, <=50K
25.0, Private,67962.266, Bachelors,13.0, Never-married, Exec-managerial, Own-child, White, Male,0.0,0.0,40.0, United-States, <=50K
19.0, Private,222317.67, Bachelors,14.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,50.0, United-States, >50K
19.0, Private,185838.22, HS-grad,9.0, Never-married, Other-service, Own-child, White, Male,0.0,1977.0,25.0, United-States, <=50K
45.0, Private,38378.605, Masters,14.0, Married-civ-spouse, Other-service, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
32.0, Private,211962.83, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
22.0, Self-emp-not-inc,70054.13, HS-grad,9.0, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
60.0, Self-emp-not-inc,31113.434, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,96.3257, United-States, <=50K
23.0, Private,61304.28, HS-grad,1.0, Never-married, Sales, Own-child, White, Male,0.0,0.0,35.0, United-States, <=50K
37.0, Private,421855.6, Assoc-acdm,8.0, Divorced, Machine-op-inspct, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
42.0, Private,530960.9, 7th-8th,6.0, Married-civ-spouse, Priv-house-serv, Husband, White, Male,0.0,0.0,45.0, United-States, <=50K
39.0, Private,246367.03, Doctorate,16.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,44.0, United-States, >50K
32.0, Private,225874.23, Doctorate,9.0, Married-civ-spouse, Sales, Not-in-family, White, Male,0.0,0.0,40.0, Germany, <=50K
29.0, Private,157109.42, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
39.0, Private,164610.89, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Wife, White, Female,0.0,0.0,45.0, United-States, <=50K
44.0, Private,109566.02, 12th,10.0, Divorced, ?, Other-relative, White, Male,0.0,0.0,40.0, United-States, <=50K
23.0, Private,447042.84, 7th-8th,2.825815, Married-civ-spouse, Sales, Not-in-family, White, Male,0.0,0.0,40.0, Honduras, <=50K
51.0, Self-emp-not-inc,116080.47, Assoc-acdm,16.0, Married-civ-spouse, Adm-clerical, Own-child, White, Female,0.0,0.0,40.0, United-States, >50K
76.0, Private,86264.305, Some-college,10.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,6.422531, Cambodia, <=50K
42.0, Private,164655.47, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
23.0, Private,393829.7, HS-grad,9.0, Never-married, Craft-repair, Unmarried, White, Female,0.0,0.0,40.0, United-States, <=50K
36.0, Private,195973.31, Assoc-voc,16.0, Married-civ-spouse, Exec-managerial, Own-child, White, Male,0.0,0.0,40.0, United-States, <=50K
24.0, Private,250210.94, 7th-8th,10.0, Never-married, Exec-managerial, Own-child, White, Male,0.0,0.0,46.755398, Honduras, <=50K
20.0, Private,30704.758, Some-college,10.0, Never-married, Protective-serv, Not-in-family, White, Male,0.0,0.0,20.89593, United-States, <=50K
30.0, Self-emp-not-inc,119623.83, Bachelors,9.0, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,0.0,0.0,35.0, United-States, <=50K
30.0, Private,240450.17, Some-college,10.0, Divorced, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
20.0, Private,132891.44, Some-college,10.0, Never-married, Exec-managerial, Not-in-family, White, Male,0.0,0.0,55.0, United-States, <=50K
33.0, Private,219009.28, HS-grad,9.0, Divorced, Other-service, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
20.0, Private,282405.97, Some-college,10.0, Never-married, Craft-repair, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
18.0, Private,260244.2, Some-college,10.0, Never-married, Other-service, Own-child, White, Male,0.0,0.0,27.1684, United-States, <=50K
44.44137, State-gov,200640.75, Assoc-voc,9.0, Married-civ-spouse, Other-service, Not-in-family, White, Male,0.0,0.0,40.0, Puerto-Rico, <=50K
19.0, Private,153372.52, Some-college,10.0, Never-married, Adm-clerical, Own-child, White, Female,0.0,0.0,40.0, United-States, <=50K
54.0, Private,120950.83, HS-grad,10.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,30.0, United-States, >50K
24.0, Private,110950.7, Some-college,10.0, Never-married, Other-service, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
39.0, Private,193318.14, Bachelors,7.0, Divorced, Protective-serv, Husband, White, Male,0.0,0.0,40.0, Honduras, <=50K
90.0, Private,182761.36, 10th,6.0, Never-married, Prof-specialty, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
