age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
38.0, Self-emp-not-inc,117088.02, HS-grad,9.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
21.0, Private,59422.63, 7th-8th,7.0, Separated, Other-service, Own-child, White, Female,0.0,0.0,25.0, United-States, <=50K
45.0, Private,118592.37, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,80.0, United-States, >50K
50.0, ?,102800.09, HS-grad,9.0, Divorced, ?, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K
60.0, Private,185477.69, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,4235.1006,0.0,45.0, United-States, >50K
21.297745, ?,369427.53, Bachelors,13.0, Never-married, ?, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K
42.0, Private,255400.72, Bachelors,9.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,40.0, Puerto-Rico, <=50K
48.0, Private,30932.16, Masters,14.0, Divorced, Sales, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
43.0, Private,192091.17, Some-college,10.0, Never-married, Sales, Own-child, White, Male,0.0,0.0,60.0, United-States, <=50K
31.0, Private,316178.7, Some-college,10.0, Never-married, Craft-repair, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K
59.0, Private,212841.56, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
39.0, Private,26950.875, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,94.632355, United-States, <=50K
23.0, Private,151243.88, HS-grad,9.0, Never-married, Prof-specialty, Other-relative, White, Male,0.0,0.0,50.0, United-States, <=50K
63.0, Private,244336.42, Masters,14.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
59.0, Private,128557.56, Some-college,10.0, Married-civ-spouse, Adm-clerical, Wife, White, Female,15024.0,0.0,40.0, United-States, >50K
18.0, Private,55959.746, 10th,6.0, Never-married, Craft-repair, Own-child, White, Male,0.0,0.0,10.0, United-States, <=50K
35.0, Private,38516.547, Some-college,10.0, Divorced, Handlers-cleaners, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K
30.0, Federal-gov,120866.12, Some-college,10.0, Never-married, Other-service, Own-child, White, Male,0.0,0.0,40.0, United-States, <=50K
38.0, Local-gov,109555.51, Some-college,10.0, Married-civ-spouse, Adm-clerical, Wife, White, Female,0.0,0.0,40.0, United-States, <=50K
38.0, Private,29899.5, Assoc-voc,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,65.0, United-States, >50K
57.0, Federal-gov,394328.5, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
18.0, Private,289511.3, HS-grad,9.0, Never-married, Other-service, Not-in-family, White, Female,0.0,0.0,8.0, United-States, <=50K
23.0, Private,34778.08, Some-college,13.0, Never-married, Exec-managerial, Own-child, White, Female,0.0,0.0,40.0, United-States, <=50K
