age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
29.0, Private,17254.889, HS-grad,9.0, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K
32.0, Private,597836.25, HS-grad,9.0, Divorced, Craft-repair, Unmarried, White, Female,0.0,0.0,40.0, United-States, <=50K
29.0, Private,268869.88, Bachelors,13.0, Never-married, Prof-specialty, Not-in-family, White, Female,0.0,0.0,30.0, United-States, <=50K
41.0, Private,207342.67, HS-grad,9.0, Married-civ-spouse, Other-service, Husband, White, Male,0.0,0.0,45.0, United-States, <=50K
38.0, Private,73070.99, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
44.0, Private,190357.5, Doctorate,4.0, Never-married, Priv-house-serv, Not-in-family, White, Male,0.0,0.0,40.0, Honduras, <=50K
29.0, Private,202699.3, Some-college,13.0, Never-married, Adm-clerical, Not-in-family, White, Male,0.0,0.0,35.0, United-States, <=50K
20.0, Private,106073.52, Assoc-voc,13.0, Never-married, Tech-support, Own-child, Black, Male,0.0,0.0,40.0, United-States, <=50K
90.0, Private,109070.53, 7th-8th,3.0, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0.0,0.0,8.0, United-States, <=50K
19.0, Private,75221.77, Prof-school,13.0, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K
32.0, ?,137432.42, Some-college,10.0, Never-married, ?, Own-child, White, Male,0.0,0.0,40.0, United-States, <=50K
28.0, State-gov,279798.53, Bachelors,13.0, Married-civ-spouse, Adm-clerical, Wife, White, Female,0.0,0.0,40.0, ?, >50K
46.0, State-gov,195253.48, HS-grad,9.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,7688.0,0.0,40.0, United-States, >50K
47.0, Private,159927.78, HS-grad,9.0, Divorced, Adm-clerical, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
53.0, State-gov,379822.53, Some-college,11.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,45.0, United-States, <=50K
51.0, State-gov,203746.75, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
27.0, Private,245140.47, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,99.0, United-States, <=50K
21.0, Private,132520.1, HS-grad,9.0, Never-married, Craft-repair, Own-child, Black, Male,0.0,0.0,21.831015, United-States, <=50K
39.0, Private,581774.06, Bachelors,6.0, Married-civ-spouse, Protective-serv, Wife, White, Male,0.0,0.0,35.0, Honduras, <=50K
46.0, Private,187651.39, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,59.34139, United-States, >50K
17.0, Private,85617.36, 11th,7.0, Never-married, Sales, Own-child, White, Male,0.0,0.0,40.0, United-States, <=50K
34.89843, ?,32386.572, HS-grad,5.0, Divorced, Tech-support, Unmarried, White, Female,0.0,0.0,43.503124, United-States, <=50K
62.0, Private,299284.47, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
25.0, Private,408773.2, 12th,16.0, Never-married, Adm-clerical, Not-in-family, White, Male,0.0,0.0,99.0, United-States, <=50K
