workclass,fnlwgt,education,education.num,marital.status,relationship,race,sex,capital.loss,hours.per.week,income
 Private,17254.889, HS-grad,9.0, Married-civ-spouse, Not-in-family, White, Male,0.0,40.0, <=50K
 Private,597836.25, HS-grad,9.0, Divorced, Unmarried, White, Female,0.0,40.0, <=50K
 Private,268869.88, Bachelors,13.0, Never-married, Not-in-family, White, Female,0.0,30.0, <=50K
 Private,207342.67, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,45.0, <=50K
 Private,73070.99, Some-college,10.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,190357.5, Doctorate,4.0, Never-married, Not-in-family, White, Male,0.0,40.0, <=50K
 Private,202699.3, Some-college,13.0, Never-married, Not-in-family, White, Male,0.0,35.0, <=50K
 Private,106073.52, Assoc-voc,13.0, Never-married, Own-child, Black, Male,0.0,40.0, <=50K
 Private,109070.53, 7th-8th,3.0, Married-civ-spouse, Husband, White, Male,0.0,8.0, <=50K
 Private,75221.77, Prof-school,13.0, Married-civ-spouse, Not-in-family, White, Male,0.0,40.0, <=50K
 ?,137432.42, Some-college,10.0, Never-married, Own-child, White, Male,0.0,40.0, <=50K
 State-gov,279798.53, Bachelors,13.0, Married-civ-spouse, Wife, White, Female,0.0,40.0, >50K
 State-gov,195253.48, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, >50K
 Private,159927.78, HS-grad,9.0, Divorced, Not-in-family, White, Female,0.0,40.0, <=50K
 State-gov,379822.53, Some-college,11.0, Married-civ-spouse, Husband, White, Male,0.0,45.0, <=50K
 State-gov,203746.75, Bachelors,13.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, >50K
 Private,245140.47, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,99.0, <=50K
 Private,132520.1, HS-grad,9.0, Never-married, Own-child, Black, Male,0.0,21.831015, <=50K
 Private,581774.06, Bachelors,6.0, Married-civ-spouse, Wife, White, Male,0.0,35.0, <=50K
 Private,187651.39, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,59.34139, >50K
 Private,85617.36, 11th,7.0, Never-married, Own-child, White, Male,0.0,40.0, <=50K
 ?,32386.572, HS-grad,5.0, Divorced, Unmarried, White, Female,0.0,43.503124, <=50K
 Private,299284.47, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,408773.2, 12th,16.0, Never-married, Not-in-family, White, Male,0.0,99.0, <=50K
 Private,311799.16, Some-college,10.0, Never-married, Other-relative, White, Male,0.0,40.0, <=50K
 Private,29977.988, Some-college,10.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,119834.85, Masters,5.0, Married-spouse-absent, Not-in-family, Black, Male,0.0,40.0, <=50K
 Private,233370.88, Some-college,10.0, Never-married, Not-in-family, White, Female,0.0,37.0, <=50K
 Private,428641.4, 11th,7.0, Never-married, Own-child, White, Female,0.0,4.4517155, <=50K
 Private,28815.158, Some-college,10.0, Married-civ-spouse, Husband, White, Male,0.0,99.0, <=50K
 Private,214424.1, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, >50K
 Private,107931.06, Preschool,1.0, Married-civ-spouse, Husband, White, Male,0.0,42.532486, <=50K
 Private,285944.38, HS-grad,9.0, Never-married, Own-child, Black, Female,0.0,40.0, <=50K
 Private,26526.865, HS-grad,2.0, Divorced, Not-in-family, White, Female,0.0,40.0, <=50K
 Private,424099.22, Masters,14.0, Never-married, Not-in-family, White, Male,0.0,40.0, <=50K
 Private,199631.72, HS-grad,13.0, Married-civ-spouse, Not-in-family, White, Male,0.0,60.0, <=50K
 Private,311045.38, HS-grad,6.0, Married-civ-spouse, Own-child, White, Male,0.0,40.0, <=50K
 Private,401597.28, 11th,9.0, Never-married, Unmarried, White, Female,0.0,42.0, <=50K
 Private,39587.73, Assoc-voc,11.0, Divorced, Not-in-family, White, Male,0.0,40.0, <=50K
 Private,92064.73, HS-grad,9.0, Divorced, Unmarried, White, Female,0.0,40.0, <=50K
 Private,591290.56, Some-college,10.0, Divorced, Unmarried, White, Female,0.0,40.0, <=50K
 Private,200417.33, 7th-8th,2.0, Married-civ-spouse, Not-in-family, White, Male,0.0,40.0, <=50K
 Private,315928.03, Some-college,10.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,145003.34, Bachelors,13.0, Married-civ-spouse, Husband, White, Male,0.0,83.641, >50K
 Private,29203.23, Masters,14.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, >50K
 Private,323145.12, Bachelors,9.0, Married-civ-spouse, Husband, White, Male,0.0,70.0, <=50K
 Private,199677.67, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Local-gov,394232.97, Masters,14.0, Divorced, Unmarried, White, Female,0.0,99.0, <=50K
 Private,245719.14, Bachelors,13.0, Married-civ-spouse, Not-in-family, White, Male,0.0,50.0, <=50K
 Private,88740.43, HS-grad,9.0, Never-married, Own-child, Black, Female,0.0,40.0, <=50K
 Self-emp-not-inc,225136.89, Prof-school,15.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,305649.7, Masters,14.0, Married-civ-spouse, Husband, Asian-Pac-Islander, Male,0.0,40.0, <=50K
 Private,50252.957, HS-grad,9.0, Never-married, Not-in-family, White, Male,0.0,40.0, <=50K
 Private,244984.42, Some-college,10.0, Divorced, Not-in-family, Black, Female,0.0,40.0, <=50K
 Self-emp-not-inc,38250.848, Assoc-voc,11.0, Never-married, Not-in-family, White, Female,0.0,40.0, <=50K
 State-gov,177631.48, Bachelors,13.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, >50K
 Private,270301.72, Some-college,10.0, Divorced, Not-in-family, White, Female,0.0,40.0, <=50K
 Private,283183.66, Some-college,10.0, Married-civ-spouse, Husband, White, Male,0.0,57.389065, >50K
 Local-gov,99062.88, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 State-gov,184896.97, 7th-8th,16.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, >50K
 Private,98102.58, 9th,10.0, Married-civ-spouse, Other-relative, White, Male,0.0,60.0, <=50K
 Private,143818.69, 7th-8th,3.0, Never-married, Own-child, Asian-Pac-Islander, Male,0.0,1.6284738, <=50K
 Private,175989.7, 12th,3.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Self-emp-inc,119943.32, HS-grad,8.0, Married-civ-spouse, Not-in-family, White, Female,0.0,50.0, <=50K
 Private,28964.219, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,74.31733, <=50K
 Private,267998.4, HS-grad,9.0, Never-married, Not-in-family, Black, Male,0.0,60.0, <=50K
 Local-gov,193774.0, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,55.0, >50K
 Self-emp-inc,341792.47, HS-grad,9.0, Never-married, Not-in-family, White, Male,0.0,99.0, <=50K
 Private,68768.28, 10th,6.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,32012.947, Bachelors,13.0, Never-married, Not-in-family, White, Male,0.0,40.0, <=50K
 ?,101733.41, HS-grad,9.0, Never-married, Not-in-family, White, Female,0.0,2.256574, <=50K
 Self-emp-not-inc,377996.75, Bachelors,13.0, Never-married, Not-in-family, White, Female,0.0,42.0, <=50K
 Private,124907.484, Masters,14.0, Married-civ-spouse, Wife, White, Female,0.0,40.0, >50K
 Federal-gov,33525.36, Some-college,10.0, Married-civ-spouse, Husband, White, Male,0.0,35.0, <=50K
 Private,155103.77, Some-college,10.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,189340.22, Some-college,10.0, Married-civ-spouse, Husband, White, Male,0.0,35.0, <=50K
 Private,33258.91, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,448370.6, HS-grad,9.0, Divorced, Unmarried, White, Male,0.0,40.0, <=50K
 State-gov,185045.19, Bachelors,13.0, Married-civ-spouse, Wife, White, Female,0.0,40.0, <=50K
 Private,257005.94, HS-grad,9.0, Never-married, Not-in-family, White, Male,0.0,40.0, <=50K
 Private,198919.28, HS-grad,9.0, Never-married, Not-in-family, White, Male,0.0,40.0, <=50K
 Private,32442.154, Bachelors,13.0, Married-civ-spouse, Husband, White, Male,0.0,84.0, <=50K
 Private,175956.4, HS-grad,10.0, Divorced, Not-in-family, White, Female,0.0,40.0, <=50K
 Private,40998.375, Some-college,10.0, Never-married, Unmarried, White, Male,0.0,40.0, <=50K
 Private,160798.9, Bachelors,13.0, Married-civ-spouse, Husband, Asian-Pac-Islander, Male,0.0,40.0, <=50K
 Private,163499.03, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,214177.19, 12th,11.0, Never-married, Unmarried, Asian-Pac-Islander, Female,0.0,25.0, <=50K
 Private,154259.92, Some-college,9.0, Divorced, Not-in-family, White, Female,0.0,40.0, <=50K
 Local-gov,131639.22, Assoc-acdm,13.0, Separated, Own-child, White, Female,0.0,40.0, <=50K
 ?,50603.28, Some-college,10.0, Never-married, Own-child, White, Male,0.0,40.0, <=50K
 Private,201192.94, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,60.0, <=50K
 Private,221294.97, HS-grad,9.0, Never-married, Not-in-family, White, Male,0.0,65.0, <=50K
 Private,582883.2, Some-college,10.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, >50K
 Private,263727.0, HS-grad,9.0, Married-civ-spouse, Wife, White, Female,0.0,40.0, <=50K
 Private,64426.67, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,287810.25, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,291342.5, Some-college,10.0, Never-married, Unmarried, White, Female,0.0,40.0, <=50K
 Private,154524.23, Assoc-acdm,12.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,262424.62, HS-grad,9.0, Married-civ-spouse, Wife, White, Male,0.0,40.0, <=50K
 Self-emp-inc,117115.58, Bachelors,13.0, Married-civ-spouse, Not-in-family, White, Male,0.0,40.0, <=50K
 Self-emp-inc,164369.72, 11th,9.0, Married-civ-spouse, Husband, White, Male,0.0,60.0, <=50K
 Private,189599.42, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, >50K
 Private,120224.48, Bachelors,15.0, Never-married, Not-in-family, White, Male,0.0,40.0, <=50K
 Private,336489.38, HS-grad,9.0, Married-civ-spouse, Unmarried, White, Male,0.0,40.0, <=50K
 Private,457438.1, Some-college,10.0, Never-married, Own-child, White, Male,0.0,35.0, <=50K
 Private,193312.22, Masters,14.0, Widowed, Not-in-family, White, Female,0.0,40.0, <=50K
 Private,208313.08, Some-college,10.0, Married-civ-spouse, Wife, White, Female,0.0,2.9842517, >50K
 Private,112447.37, HS-grad,9.0, Never-married, Own-child, White, Male,0.0,3.3162072, <=50K
 Private,149427.81, Assoc-acdm,16.0, Married-civ-spouse, Not-in-family, White, Male,0.0,47.431507, <=50K
 Private,31319.615, 11th,13.0, Married-civ-spouse, Own-child, White, Male,0.0,40.0, <=50K
 Private,109014.484, HS-grad,9.0, Separated, Unmarried, Black, Female,0.0,40.0, <=50K
 Private,169647.8, 10th,6.0, Married-civ-spouse, Husband, Black, Male,0.0,35.0, <=50K
 Self-emp-inc,145361.77, 1st-4th,10.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,223278.86, HS-grad,9.0, Never-married, Not-in-family, White, Male,0.0,35.0, <=50K
 Private,40855.14, HS-grad,9.0, Never-married, Own-child, White, Female,0.0,20.519815, <=50K
 Self-emp-not-inc,182858.9, Bachelors,13.0, Never-married, Not-in-family, White, Male,0.0,20.0, <=50K
 Local-gov,33672.75, Bachelors,13.0, Married-civ-spouse, Wife, White, Female,0.0,48.0, <=50K
 Private,377763.53, 10th,6.3534837, Never-married, Not-in-family, White, Male,0.0,40.0, <=50K
 Private,129585.67, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 State-gov,349188.28, HS-grad,9.0, Never-married, Own-child, White, Female,0.0,40.0, <=50K
 Private,171358.02, Bachelors,13.0, Married-civ-spouse, Husband, White, Male,0.0,6.0, <=50K
 Private,280011.6, Bachelors,13.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, >50K
 Private,203568.53, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,132752.27, HS-grad,9.0, Married-civ-spouse, Own-child, White, Male,0.0,40.0, <=50K
 Private,62188.918, Bachelors,13.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, >50K
 Private,260734.61, Prof-school,7.0, Divorced, Own-child, White, Male,0.0,40.0, <=50K
 State-gov,197736.53, Masters,14.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,186671.22, Some-college,10.0, Divorced, Not-in-family, White, Male,0.0,38.0, >50K
 Private,210814.02, 12th,9.0, Married-civ-spouse, Not-in-family, White, Female,0.0,40.0, <=50K
 Private,198704.56, Some-college,10.0, Widowed, Other-relative, Black, Female,0.0,40.0, <=50K
 Private,188732.33, Some-college,10.0, Never-married, Not-in-family, White, Female,0.0,40.0, <=50K
 ?,183257.11, 7th-8th,2.0, Divorced, Not-in-family, White, Male,0.0,40.0, <=50K
 Private,67755.88, HS-grad,9.0, Married-civ-spouse, Own-child, White, Male,0.0,40.0, >50K
 Private,185604.5, HS-grad,9.0, Divorced, Not-in-family, White, Male,0.0,37.0, <=50K
 Private,75852.3, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,202070.44, Some-college,10.0, Never-married, Own-child, White, Male,0.0,40.0, <=50K
 Private,695894.6, HS-grad,9.0, Never-married, Not-in-family, White, Male,0.0,50.0, <=50K
 Private,173777.3, Bachelors,13.0, Divorced, Not-in-family, White, Female,0.0,40.0, <=50K
 Private,132550.62, Bachelors,13.0, Divorced, Not-in-family, White, Female,0.0,40.0, <=50K
 Private,234751.81, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,108382.445, Some-college,10.0, Divorced, Unmarried, White, Female,0.0,40.0, <=50K
 Private,94264.93, Masters,14.0, Never-married, Not-in-family, White, Female,0.0,40.0, <=50K
 Private,180049.77, Some-college,10.0, Never-married, Own-child, White, Female,0.0,40.0, <=50K
 Private,20997.104, Some-college,10.0, Married-civ-spouse, Husband, White, Male,0.0,86.07092, <=50K
 Local-gov,325186.0, Some-college,10.0, Never-married, Own-child, White, Male,0.0,40.0, <=50K
 Self-emp-not-inc,322168.12, HS-grad,9.0, Never-married, Other-relative, White, Male,0.0,40.0, <=50K
 Private,151754.75, Assoc-acdm,13.0, Never-married, Own-child, White, Male,0.0,65.0, <=50K
 Private,219854.6, Bachelors,13.0, Never-married, Not-in-family, White, Female,0.0,40.0, <=50K
 Private,173011.62, HS-grad,9.0, Divorced, Not-in-family, White, Male,0.0,40.0, <=50K
 Private,117741.45, Assoc-voc,11.0, Divorced, Not-in-family, Black, Female,0.0,40.0, <=50K
 Private,288306.94, 10th,13.0, Never-married, Not-in-family, White, Male,0.0,40.0, <=50K
 Private,57158.13, 7th-8th,3.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Local-gov,431232.2, HS-grad,9.0, Never-married, Not-in-family, White, Female,0.0,40.0, <=50K
 Private,306078.28, HS-grad,9.0, Never-married, Own-child, White, Male,0.0,20.094572, <=50K
 Private,246695.48, Some-college,10.0, Never-married, Not-in-family, White, Male,0.0,40.0, <=50K
 Private,108269.09, Bachelors,13.0, Married-civ-spouse, Wife, White, Female,0.0,40.0, <=50K
 Private,43742.996, HS-grad,9.0, Never-married, Own-child, White, Female,0.0,4.877568, <=50K
 ?,118655.94, HS-grad,9.0, Never-married, Not-in-family, White, Male,1898.2921,1.5083226, <=50K
 Private,158716.12, Some-college,10.0, Never-married, Other-relative, White, Female,0.0,40.0, <=50K
