age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
64.0, Self-emp-inc,472378.38, 12th,1.0, Married-AF-spouse, Priv-house-serv, Not-in-family, White, Male,99999.0,0.0,1.0093555, Germany, >50K
63.0, Self-emp-inc,1484705.0, Bachelors,1.0, Married-AF-spouse, Exec-managerial, Not-in-family, White, Male,99999.0,0.0,1.0, Vietnam, >50K
68.0, Private,1484705.0, Bachelors,1.0, Never-married, Transport-moving, Not-in-family, White, Male,99999.0,0.0,1.0, Canada, >50K
65.0, Private,1252774.6, Bachelors,1.0, Never-married, Priv-house-serv, Not-in-family, Black, Male,99999.0,0.0,1.0001092, Nicaragua, >50K
17.0, Self-emp-inc,205227.19, Bachelors,10.0, Never-married, Exec-managerial, Husband, Asian-Pac-Islander, Male,99999.0,0.0,1.0, Columbia, >50K
73.0, Private,15201.925, Assoc-voc,16.0, Married-AF-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,15114.01,0.0,1.0, Germany, >50K
17.0, Private,203242.12, Masters,16.0, Never-married, Priv-house-serv, Husband, Black, Female,0.0,0.0,4.243795, South, >50K
20.0, Private,720555.1, Prof-school,1.0, Never-married, Priv-house-serv, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K
51.0, Private,94424.836, Prof-school,1.0, Married-civ-spouse, Priv-house-serv, Not-in-family, White, Male,0.0,0.0,50.0, Germany, <=50K
17.0, Private,27225.887, Preschool,1.0, Never-married, Priv-house-serv, Not-in-family, White, Male,2733.391,0.0,75.0, Puerto-Rico, >50K
48.0, Private,145951.36, Bachelors,13.0, Widowed, ?, Unmarried, Asian-Pac-Islander, Female,0.0,0.0,99.0, Germany, >50K
70.26821, Without-pay,398774.2, Bachelors,15.167312, Married-spouse-absent, Handlers-cleaners, Wife, Black, Male,0.0,0.0,40.0, Vietnam, >50K
24.0, Local-gov,323451.53, 9th,1.0, Married-civ-spouse, Tech-support, Own-child, White, Male,0.0,0.0,74.60803, Columbia, <=50K
33.0, Local-gov,12296.631, 11th,1.0, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0.0,0.0,40.0, United-States, >50K
39.0, Private,234285.67, Masters,16.0, Married-civ-spouse, Prof-specialty, Unmarried, Black, Female,0.0,0.0,80.0, Honduras, <=50K
49.0, Private,92880.86, Doctorate,1.0, Married-spouse-absent, Priv-house-serv, Not-in-family, White, Male,0.0,0.0,74.70436, Columbia, <=50K
25.0, Private,35868.06, Assoc-voc,3.0, Never-married, Protective-serv, Husband, Asian-Pac-Islander, Female,7298.0,0.0,60.0, Germany, <=50K
62.0, Self-emp-inc,1430760.8, Bachelors,16.0, Married-civ-spouse, Prof-specialty, Husband, White, Female,974.9776,0.0,1.0143296, Columbia, >50K
18.0, Local-gov,25158.432, 9th,3.0, Married-civ-spouse, Armed-Forces, Not-in-family, White, Male,0.0,0.0,48.0, United-States, >50K
52.0, Private,376072.34, Masters,14.0, Divorced, Other-service, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
