workclass,fnlwgt,education,education.num,marital.status,relationship,race,sex,capital.loss,hours.per.week,income
 Private,16789.424, Bachelors,1.0, Married-civ-spouse, Husband, White, Male,0.0,99.0, <=50K
 Private,287650.9, Bachelors,1.0, Separated, Husband, White, Male,0.0,99.0, <=50K
 Private,147952.48, Bachelors,7.0, Separated, Unmarried, White, Male,0.0,99.0, <=50K
 Self-emp-not-inc,119049.484, 12th,1.0, Divorced, Wife, White, Male,0.0,99.0, <=50K
 Never-worked,59166.535, Preschool,16.0, Divorced, Husband, White, Male,0.0,96.60227, <=50K
 Private,124998.03, HS-grad,3.0, Married-civ-spouse, Unmarried, White, Male,0.0,84.87379, <=50K
 Self-emp-inc,205013.66, Bachelors,13.0, Married-civ-spouse, Not-in-family, White, Female,0.0,40.0, <=50K
 Private,33913.24, Bachelors,16.0, Married-spouse-absent, Wife, Black, Female,0.0,85.28533, <=50K
 Private,159584.88, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,94920.57, Prof-school,10.0, Married-civ-spouse, Wife, White, Male,0.0,40.0, >50K
 Federal-gov,156163.75, Some-college,10.0, Never-married, Own-child, White, Male,0.0,40.0, <=50K
 Private,284834.25, Bachelors,13.0, Married-civ-spouse, Not-in-family, White, Male,0.0,40.0, <=50K
 Private,150555.47, Some-college,10.0, Married-civ-spouse, Husband, White, Male,0.0,30.0, >50K
 Private,141048.23, Doctorate,1.0, Married-civ-spouse, Husband, White, Male,0.0,20.0, <=50K
 Private,270173.16, Some-college,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, >50K
 Private,278252.84, Bachelors,6.0, Divorced, Other-relative, White, Female,0.0,40.0, >50K
 Private,409743.03, 11th,4.0, Never-married, Not-in-family, White, Male,0.0,71.60578, >50K
 Private,108601.34, 1st-4th,14.0, Married-AF-spouse, Not-in-family, Other, Male,0.0,52.0, <=50K
 Private,303876.28, Bachelors,1.0, Married-civ-spouse, Wife, White, Male,0.0,40.0, <=50K
 Private,162367.94, 12th,9.0, Married-civ-spouse, Not-in-family, White, Male,0.0,55.0, <=50K
 Private,84069.086, Prof-school,3.0, Married-civ-spouse, Own-child, White, Male,0.0,45.0, <=50K
 Without-pay,40138.832, Prof-school,1.0, Divorced, Husband, Asian-Pac-Islander, Female,0.0,40.0, <=50K
 Private,1089553.0, Prof-school,9.0, Separated, Husband, White, Male,0.0,50.0, <=50K
 Self-emp-not-inc,322229.44, 12th,16.0, Never-married, Not-in-family, White, Male,0.0,2.0695388, >50K
 Private,100544.23, 7th-8th,11.0, Never-married, Other-relative, White, Male,0.0,40.0, <=50K
 Federal-gov,16659.93, HS-grad,9.0, Married-civ-spouse, Wife, White, Female,0.0,40.0, <=50K
 State-gov,110549.734, HS-grad,9.0, Married-spouse-absent, Not-in-family, Black, Male,0.0,40.0, <=50K
 Private,199572.66, 10th,9.0, Never-married, Not-in-family, White, Female,0.0,40.0, <=50K
 Private,304852.94, 11th,7.0, Never-married, Own-child, White, Female,0.0,10.0, <=50K
 Private,33866.395, Some-college,10.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,234479.73, HS-grad,9.0, Married-civ-spouse, Wife, White, Male,0.0,35.0, >50K
 Private,193207.08, Preschool,4.0, Never-married, Other-relative, White, Male,0.0,40.0, <=50K
 Private,501628.03, 12th,9.0, Never-married, Own-child, Black, Female,0.0,40.0, <=50K
 Private,27038.697, HS-grad,1.0, Married-civ-spouse, Own-child, White, Male,0.0,40.0, <=50K
 Private,527051.56, Prof-school,16.0, Married-civ-spouse, Not-in-family, White, Male,0.0,40.0, <=50K
 Private,149992.67, HS-grad,12.0, Married-civ-spouse, Not-in-family, White, Male,0.0,55.0, <=50K
 Private,188341.23, 7th-8th,5.0, Married-civ-spouse, Own-child, White, Male,0.0,40.0, <=50K
 Private,217096.03, 11th,9.0, Never-married, Unmarried, White, Female,0.0,40.0, <=50K
 Private,34433.316, Bachelors,13.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, >50K
 Private,117773.49, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,706241.3, Some-college,10.0, Married-civ-spouse, Husband, White, Male,0.0,60.0, <=50K
 Private,188732.72, 7th-8th,3.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,387494.94, Some-college,10.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,132645.55, Masters,14.0, Married-civ-spouse, Husband, White, Male,0.0,96.060005, <=50K
 Private,24060.035, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,292612.1, 12th,9.0, Never-married, Unmarried, White, Female,0.0,60.0, <=50K
 Private,142654.02, HS-grad,9.0, Never-married, Not-in-family, White, Female,0.0,40.0, <=50K
 Local-gov,195302.16, Masters,14.0, Divorced, Unmarried, White, Female,0.0,99.0, >50K
 Private,294304.72, HS-grad,9.0, Never-married, Other-relative, White, Male,0.0,40.0, <=50K
 Private,24313.537, HS-grad,9.0, Never-married, Not-in-family, Black, Female,0.0,40.0, <=50K
 ?,209890.42, Some-college,10.0, Never-married, Not-in-family, White, Male,0.0,40.0, <=50K
 Private,190530.11, Masters,14.0, Married-civ-spouse, Husband, Asian-Pac-Islander, Male,0.0,40.0, >50K
 Private,24695.998, HS-grad,9.0, Never-married, Unmarried, White, Male,0.0,40.0, <=50K
 Private,209298.02, Some-college,10.0, Divorced, Not-in-family, Black, Female,0.0,40.0, <=50K
 Self-emp-not-inc,15271.703, Some-college,10.0, Never-married, Not-in-family, White, Female,0.0,40.0, <=50K
 State-gov,259535.66, Bachelors,13.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, >50K
 Private,367092.44, 11th,7.0, Divorced, Not-in-family, White, Female,0.0,6.0, <=50K
 Local-gov,300884.28, Assoc-voc,11.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, >50K
 Local-gov,31721.197, HS-grad,9.0, Married-civ-spouse, Wife, White, Female,0.0,40.0, <=50K
 Local-gov,211457.1, Some-college,10.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, >50K
 Private,52384.445, Some-college,10.0, Never-married, Other-relative, White, Male,0.0,60.847366, <=50K
