age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
38.843185, Private,29479.078, 10th,5.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
50.0, Private,501216.2, HS-grad,9.0, Divorced, Craft-repair, Unmarried, White, Female,0.0,0.0,99.0, United-States, <=50K
22.0, Private,376300.6, Bachelors,13.0, Never-married, Prof-specialty, Not-in-family, White, Female,0.0,0.0,4.0, United-States, <=50K
56.0, Private,158160.31, HS-grad,9.0, Married-civ-spouse, Other-service, Husband, White, Male,0.0,0.0,45.0, United-States, <=50K
50.0, Private,33345.56, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
63.0, Private,32795.85, 7th-8th,2.0, Married-civ-spouse, Other-service, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
20.0, Private,117999.6, Some-college,10.0, Never-married, Adm-clerical, Own-child, White, Female,0.0,0.0,35.0, United-States, <=50K
21.0, Private,37581.945, Bachelors,13.0, Never-married, Prof-specialty, Own-child, Black, Female,0.0,0.0,40.0, United-States, <=50K
90.0, Private,95764.516, 7th-8th,2.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,1.7153499, United-States, <=50K
24.0, Private,47053.0, Some-college,10.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
90.0, Federal-gov,125487.57, Some-college,10.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,24307.756,0.0,40.0, United-States, >50K
25.0, Private,410548.34, Bachelors,13.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,40.0, ?, <=50K
30.0, Private,271122.94, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,14241.743,0.0,40.0, United-States, >50K
31.0, Private,175218.08, HS-grad,9.0, Divorced, Craft-repair, Not-in-family, White, Female,0.0,0.0,50.0, United-States, <=50K
53.0, State-gov,352368.47, Some-college,10.0, Married-civ-spouse, Other-service, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
70.0, Local-gov,150478.94, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
29.0, Private,191863.27, 11th,7.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,99.0, United-States, <=50K
18.0, Private,195661.9, HS-grad,9.0, Never-married, Adm-clerical, Own-child, Black, Male,0.0,0.0,10.050472, United-States, <=50K
35.0, Private,511222.47, Bachelors,10.0, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0.0,0.0,40.0, Honduras, <=50K
64.0, Private,313052.06, Masters,14.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,15201.174,0.0,99.0, United-States, >50K
18.0, Private,51483.176, Assoc-acdm,12.0, Never-married, Sales, Own-child, White, Male,0.0,0.0,2.1945233, United-States, <=50K
44.0, State-gov,35659.867, HS-grad,9.0, Divorced, Tech-support, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
90.0, Private,225013.25, HS-grad,9.0, Married-civ-spouse, Other-service, Husband, White, Male,0.0,0.0,4.0, United-States, <=50K
23.0, Private,206114.12, HS-grad,9.0, Never-married, Adm-clerical, Own-child, White, Male,0.0,0.0,40.0, United-States, <=50K
17.0, Private,28167.877, 11th,7.0, Never-married, Other-service, Other-relative, White, Male,0.0,0.0,6.3618913, United-States, <=50K
58.0, State-gov,20723.459, 10th,6.0, Married-civ-spouse, Other-service, Wife, White, Female,0.0,0.0,40.0, United-States, <=50K
90.0, ?,145311.94, HS-grad,9.0, Widowed, ?, Not-in-family, Black, Male,0.0,0.0,1.2199122, United-States, <=50K
33.0, Private,180413.1, Some-college,10.0, Separated, Exec-managerial, Not-in-family, White, Female,0.0,0.0,35.0, United-States, <=50K
17.0, Private,507820.2, HS-grad,9.0, Never-married, Prof-specialty, Own-child, White, Female,2883.5603,0.0,3.3391967, United-States, <=50K
25.0, Private,27384.762, 10th,6.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,99.0, United-States, <=50K
34.010193, Federal-gov,454572.12, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
26.0, Private,213137.9, Assoc-voc,9.0, Never-married, Craft-repair, Other-relative, White, Male,0.0,0.0,40.0, Mexico, <=50K
31.0, Private,404773.28, HS-grad,9.0, Never-married, Handlers-cleaners, Unmarried, Black, Female,0.0,0.0,40.0, United-States, <=50K
