workclass,fnlwgt,education,education.num,marital.status,relationship,race,sex,capital.loss,hours.per.week,income
 Private,29479.078, 10th,5.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,501216.2, HS-grad,9.0, Divorced, Unmarried, White, Female,0.0,99.0, <=50K
 Private,376300.6, Bachelors,13.0, Never-married, Not-in-family, White, Female,0.0,4.0, <=50K
 Private,158160.31, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,45.0, <=50K
 Private,33345.56, Some-college,10.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, >50K
 Private,32795.85, 7th-8th,2.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,117999.6, Some-college,10.0, Never-married, Own-child, White, Female,0.0,35.0, <=50K
 Private,37581.945, Bachelors,13.0, Never-married, Own-child, Black, Female,0.0,40.0, <=50K
 Private,95764.516, 7th-8th,2.0, Married-civ-spouse, Husband, White, Male,0.0,1.7153499, <=50K
 Private,47053.0, Some-college,10.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Federal-gov,125487.57, Some-college,10.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, >50K
 Private,410548.34, Bachelors,13.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Private,271122.94, Bachelors,13.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, >50K
 Private,175218.08, HS-grad,9.0, Divorced, Not-in-family, White, Female,0.0,50.0, <=50K
 State-gov,352368.47, Some-college,10.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, <=50K
 Local-gov,150478.94, Bachelors,13.0, Married-civ-spouse, Husband, White, Male,0.0,40.0, >50K
 Private,191863.27, 11th,7.0, Married-civ-spouse, Husband, White, Male,0.0,99.0, <=50K
 Private,195661.9, HS-grad,9.0, Never-married, Own-child, Black, Male,0.0,10.050472, <=50K
 Private,511222.47, Bachelors,10.0, Married-civ-spouse, Wife, White, Female,0.0,40.0, <=50K
 Private,313052.06, Masters,14.0, Married-civ-spouse, Husband, White, Male,0.0,99.0, >50K
 Private,51483.176, Assoc-acdm,12.0, Never-married, Own-child, White, Male,0.0,2.1945233, <=50K
 State-gov,35659.867, HS-grad,9.0, Divorced, Not-in-family, White, Female,0.0,40.0, <=50K
 Private,225013.25, HS-grad,9.0, Married-civ-spouse, Husband, White, Male,0.0,4.0, <=50K
 Private,206114.12, HS-grad,9.0, Never-married, Own-child, White, Male,0.0,40.0, <=50K
 Private,28167.877, 11th,7.0, Never-married, Other-relative, White, Male,0.0,6.3618913, <=50K
 State-gov,20723.459, 10th,6.0, Married-civ-spouse, Wife, White, Female,0.0,40.0, <=50K
 ?,145311.94, HS-grad,9.0, Widowed, Not-in-family, Black, Male,0.0,1.2199122, <=50K
 Private,180413.1, Some-college,10.0, Separated, Not-in-family, White, Female,0.0,35.0, <=50K
