MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
5.7457,24.0,6.7327933,1.0182186,1616.0,3.271255,33.89,-117.85,2.406
2.8547,25.0,4.107544,1.0497593,1674.0,2.6869984,34.13,-117.88,1.556
5.1312,39.0,4.9850745,0.91940296,957.0,2.8567164,37.69,-122.15,1.836
3.1167,39.0,4.6595745,1.0611702,1071.0,2.8484042,37.78,-122.2,1.216
2.4896,38.0,5.3333335,0.99656355,873.0,3.0,40.79,-124.14,0.81
2.875,44.0,6.08,1.3142858,494.0,2.8228571,39.34,-122.05,0.615
4.9801,36.0,6.3274727,1.0549451,1235.0,2.7142856,37.71,-122.07,2.415
2.625,20.0,6.3157897,1.4210526,55.0,2.8947368,37.73,-122.38,1.875
2.0242,52.0,5.672131,1.2090164,561.0,2.2991803,38.55,-121.47,0.946
2.4554,20.0,5.5964913,1.0802006,1024.0,2.566416,33.74,-116.95,0.894
2.9728,36.0,4.299465,0.9973262,1217.0,3.2540107,34.18,-118.37,1.902
3.5583,32.0,4.96789,0.94495416,737.0,3.380734,33.95,-118.09,1.708
5.0877,26.0,6.097059,1.0882353,952.0,2.8,33.46,-117.66,2.881
3.1987,21.0,7.08,1.345,779.0,3.895,37.0,-121.76,2.798
2.5197,34.0,5.18617,1.0824468,1029.0,2.7367022,40.14,-122.12,0.823
2.4036,18.0,4.912969,0.98634815,1399.0,2.387372,40.71,-122.32,1.054
3.2984,21.0,4.3576016,1.143469,948.0,2.0299785,33.07,-117.31,3.694
7.2217,28.0,7.304721,1.0665236,1134.0,2.4334764,33.54,-117.77,5.00001
4.0125,52.0,4.375622,0.96268654,980.0,2.437811,34.42,-119.72,2.61
3.125,30.0,4.3977275,1.0752841,2048.0,2.909091,33.8,-118.31,2.333
3.6875,16.0,5.7612906,1.0580645,548.0,3.5354838,37.79,-120.83,1.219
2.625,11.0,4.9432015,1.0499139,2644.0,4.5507746,32.68,-115.51,0.727
5.0366,16.0,6.7411165,0.9492386,607.0,3.0812182,38.35,-122.7,2.578
4.8854,30.0,5.2806325,0.94466406,905.0,3.577075,34.04,-117.93,1.781
2.5833,19.0,4.3091536,1.0967184,1571.0,2.7132988,37.7,-122.12,1.599
