LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
70000.0,2,2,1,54.0,0,0,0,0,0,0,7496.5654,148108.16,119484.53,35541.56,28969.713,97566.58,2000.0,7052.0557,0.0,0.0,1500.0,2000.0,1
60000.0,2,2,1,31.0,0,0,0,-2,0,2,43153.92,5533.4053,1725.813,18025.943,0.0,13235.69,3000.0,1700.0,3338.3618,110.844124,0.0,1500.0,0
150000.0,2,1,2,29.0,0,0,0,0,0,0,106925.83,84536.01,83587.68,74241.89,55765.188,55537.992,3721.4004,3138.8792,3058.315,2434.5251,3000.0,3291.4722,0
240000.0,2,1,2,26.0,7,2,6,-1,-1,-1,0.0,22068.201,-1.2842722,11241.736,1868.8339,0.0,0.0,1055.4922,0.0,15000.0,0.0,0.0,0
197461.67,2,1,2,29.0,-1,2,0,-1,0,-1,9838.726,3128.348,8352.717,9130.286,0.0,24408.629,0.0,3612.6704,3000.0,0.0,33140.977,20000.0,0
231105.95,2,2,2,25.0,0,0,0,0,0,0,64943.152,46986.523,29061.281,78186.83,48180.12,49247.246,1500.0,2200.0,3633.871,4000.0,2705.6714,546.5881,0
1000000.0,2,1,2,45.0,1,-1,-1,-1,-1,-1,0.0,23071.83,337784.47,378659.97,139569.03,308589.6,44278.117,1010777.06,784119.7,30235.158,367296.56,33868.957,0
60000.0,2,2,2,28.0,0,0,0,0,0,0,56401.117,58105.93,60654.574,57846.664,51502.145,50364.547,3000.0,4000.0,2517.9246,2000.0,1924.9058,2000.0,0
270000.0,2,2,1,43.0,-1,-1,2,-1,-1,-1,90.641304,6058.9824,790.0903,503.82568,595.37164,2494.3447,7657.021,0.0,839.12726,656.1104,2493.5835,1098.4578,0
10000.0,2,2,1,59.0,0,0,0,2,0,0,3988.0784,4312.5117,5878.8584,5785.427,6064.2515,6488.6006,1292.6218,1761.9861,0.0,457.13617,672.9441,830.37775,0
360000.0,2,3,2,32.13626,-1,-1,0,-1,-1,0,1366.2942,330.69492,9017.237,1733.4526,989.09283,360.01752,43633.785,1033.1503,3000.0,5000.0,600.94525,7428.2485,0
180000.0,1,1,2,34.248024,0,0,0,0,0,0,9065.918,26918.889,34502.055,36200.01,30129.684,29411.375,18426.81,16005.071,5782.1465,5184.696,2048.3843,3000.0,0
150000.0,2,2,2,38.0,0,0,0,2,-2,0,77997.3,14535.019,154021.42,29370.559,94198.52,82721.45,2300.0,0.0,0.0,0.0,0.0,800.0,1
240000.0,2,1,2,25.0,-2,-1,-2,-2,0,-2,9987.191,0.0,17068.467,3826.6428,2028.2561,47916.9,3.3500078,2000.0,4497.554,8499.668,0.0,1500.0,0
318933.9,2,1,2,28.0,-1,-1,0,0,-1,-1,4587.426,7406.416,5496.9224,4229.435,2186.0015,7318.5674,3499.4478,4148.9873,1573.2043,2000.0,6137.558,2714.1855,0
360000.0,1,1,1,43.0,0,0,-1,-2,-2,-2,165596.02,2180.2107,-157264.0,-169971.47,-61372.0,-339603.0,5723.856,0.0,0.0,0.0,0.0,0.0,0
230000.0,2,2,1,26.0,0,0,0,0,0,0,67435.97,94098.86,101686.43,29740.582,101358.53,124070.66,20040.127,3289.5098,15004.057,170.62949,3500.0,2000.0,0
240000.0,1,1,1,33.0,0,0,0,0,0,0,108390.516,794.7781,133125.98,100297.77,2295.948,13817.194,2000.0,5389.2812,3516.3933,0.0,1000.0,18524.695,0
310000.0,2,1,2,26.0,0,0,0,0,0,0,9133.708,15403.892,37314.805,32504.932,20215.623,12834.01,2111.1575,32956.492,1531.6554,1000.0,952.11176,1000.0,0
300000.0,2,2,2,29.0,0,0,0,0,0,-2,5174.1646,6390.8975,19039.611,10135.194,15297.766,390.0,2565.3477,1700.0,1258.9008,0.0,0.0,0.0,0
110000.0,1,3,3,52.319347,0,0,0,0,0,0,81413.945,112308.89,31434.2,50650.75,90626.19,2053.93,3000.0,3188.1045,3612.7644,2000.0,1001.67615,2207.2104,0
90000.0,2,3,1,75.73832,0,-1,3,0,-1,-2,38055.72,32769.703,67453.28,44378.84,109214.836,21743.703,20610.451,0.0,544852.25,2400.0,0.0,27078.84,0
