LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
50000.0,2,3,1,39.0,0,0,0,0,0,0,49848.68,48977.395,43901.28,29948.268,29328.695,28859.766,2185.7974,1800.0,0.0,1000.0,1401.4788,1344.9487,0
80000.0,2,1,2,26.0,0,0,0,0,0,0,47527.414,55367.074,38221.527,47148.45,38950.586,47179.934,3090.559,3521.1604,4091.4917,6731.3193,2208.7627,951.7742,0
30000.0,2,3,1,46.0,0,0,0,0,0,-1,22878.951,17422.914,7718.917,10438.957,3915.7927,2400.5447,77.94662,1327.5365,1400.368,849.0592,13150.924,0.0,0
20000.0,2,2,1,62.179253,0,0,2,0,0,0,19828.941,25012.21,21086.258,19770.387,19530.363,16195.763,3200.0032,0.0,1286.5616,985.6033,1334.2249,209292.53,0
180000.0,1,1,2,40.0,2,2,0,0,0,0,91027.81,147878.23,112883.93,27544.52,69240.305,68984.65,0.0,4000.0,7000.0,562.7814,464.45993,2898.7874,0
80000.0,1,2,1,48.0,0,0,0,0,0,0,102401.734,133471.77,122268.85,73277.445,86076.06,100638.59,3469.1838,3500.0,3000.0,3787.045,2600.0,4280.1704,0
1000000.0,2,2,1,38.0,0,0,0,0,0,0,183360.22,108609.42,82233.8,48085.69,20139.137,2179.04,15641.657,13316.796,3000.0,2000.0,2235.9106,301972.12,0
180000.0,2,1,1,38.0,0,0,0,0,0,0,68599.09,47277.387,38083.61,56624.64,30285.877,30097.379,1270.625,5612.2534,2998.99,5358.228,3010.2285,1022.59064,0
310000.0,2,2,1,37.0,0,0,0,0,0,0,73059.375,70381.03,75786.57,79274.94,84814.08,85607.27,3000.0,3000.0,3100.0,3409.124,3696.722,4604.436,0
100000.0,2,1,2,27.0,0,0,0,0,0,0,85284.32,86904.27,87678.13,86042.01,78956.41,77554.01,3901.4082,4495.212,3325.9548,3000.0,2459.5752,2811.9612,0
10000.0,1,3,1,58.0,0,0,0,0,0,0,1547.3743,1908.8292,291.02512,839.821,482.60162,432.89243,1065.5347,0.0,0.0,0.0,0.0,0.0,0
271572.28,2,2,2,29.0,0,0,0,0,0,0,175428.89,171650.05,189647.88,181327.88,188546.22,194292.11,8313.306,10000.0,6000.0,8138.892,6503.7217,10000.0,0
130000.0,2,1,2,27.0,0,0,0,0,0,0,128163.164,133244.62,133604.39,135480.98,139647.05,140383.78,5119.9863,5070.366,5791.084,5339.484,7000.403,9537.407,0
110000.0,2,2,1,29.0,-1,-1,-1,-1,-1,-1,9427.106,0.0,2508.4753,0.0,10109.767,314567.12,0.0,3000.0,0.0,10000.0,280774.4,0.0,0
230000.0,2,1,2,29.0,-2,-2,-2,-2,-2,-2,-163787.73,-69777.0,-157071.53,-168836.2,-60647.14,-337497.5,0.0,0.0,0.0,0.0,0.0,0.0,0
100000.0,2,2,2,36.0,0,0,0,0,0,0,8566.742,8870.571,6614.055,5486.5454,2500.7854,3282.7368,2000.0,1199.8182,1000.0,0.0,417.9335,0.0,0
180000.0,1,2,1,43.0,8,7,-1,5,4,3,964511.0,983931.0,845163.2,881595.9,878979.06,961288.4,0.0,0.0,0.0,0.0,0.0,0.0,1
30000.0,2,2,1,29.0,-1,-1,-2,-2,-2,-2,390.0,188.8128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
310000.0,2,1,2,42.0,-2,-2,-2,-2,-2,-2,0.0,0.0,9526.376,0.0,0.0,0.0,0.0,6500.0,0.0,0.0,0.0,10000.0,0
360000.0,1,2,2,29.0,0,0,0,0,0,0,159172.89,149377.58,128155.984,108876.48,96342.99,89278.24,5569.753,5000.0,3500.0,3126.1875,2491.664,2917.8354,0
20000.0,2,1,1,28.0,-2,0,0,0,0,-1,18718.746,45015.574,8617.793,0.0,137992.45,11961.023,3145.8142,0.0,2615.969,0.0,0.0,0.0,1
240000.0,1,2,1,51.0,0,0,0,0,0,0,231347.25,229413.39,227938.4,218134.44,212027.77,206301.67,9759.38,10000.0,8000.0,8005.166,7736.694,7000.0,0
130000.0,2,2,2,23.0,0,-1,2,0,0,0,47534.344,11419.302,117431.52,20320.143,27933.375,33967.336,4015.027,0.0,1000.0,0.0,7696.6855,3000.0,0
20000.0,1,1,1,50.0,0,-1,0,0,0,0,48916.38,50815.184,22469.248,5997.562,40356.44,10590.764,0.0,0.0,1600.0,1699.7878,397.10593,0.0,0
230000.0,2,1,2,31.0,0,0,0,0,0,0,243732.94,240501.89,238944.69,221025.95,205173.39,201469.78,10000.0,10191.218,7001.112,8213.081,6500.739,9344.238,0
240000.0,2,2,1,32.0,0,0,0,0,0,0,55169.617,86033.55,2975.0837,6699.2515,27726.848,133129.56,5637.6724,3831.5483,4485.5786,228.21912,1668.0488,1003.0031,1
90000.0,2,2,2,29.0,0,0,0,0,-1,0,98434.664,839.9999,29170.785,13094.569,46628.277,30564.068,1700.0,2000.0,2010.0206,4000.0,2600.0,0.0,0
998517.0,2,1,1,53.0,0,0,0,0,0,0,964265.3,983786.2,853512.4,890518.6,927046.6,371526.7,67309.62,94947.414,77551.734,84135.53,56310.965,49598.64,0
10000.0,1,3,2,67.760956,0,0,2,2,0,0,1653.5898,2500.0,1534.727,2132.3196,2964.8228,4203.324,2009.8889,0.0,41.2161,235.46286,397.40936,330.74643,1
20000.0,2,2,2,31.0,2,0,0,0,0,2,8207.717,44681.97,54444.836,301.79037,0.0,4213.0635,7000.0,5000.0,0.0,0.0,11997.336,0.0,0
507530.16,2,2,1,44.0,0,0,0,0,0,0,866788.5,941069.25,773905.9,311915.53,302298.75,370596.2,56887.105,140841.86,20579.312,75925.19,50589.023,20000.0,0
10000.0,2,2,2,34.0,-1,-1,-2,-2,-2,-2,4546.428,-69777.0,-157264.0,-170000.0,-61372.0,-339603.0,0.0,0.0,0.0,0.0,0.0,0.0,0
130000.0,2,1,2,37.0,1,-1,-1,-1,0,-1,0.0,0.0,1793.9802,0.0,-49723.3,0.0,0.0,1722.571,698.4821,0.0,1122.6555,2327.8323,1
20000.0,2,1,2,26.0,2,0,0,2,0,0,5664.95,6658.9155,9558.18,9426.3,9860.845,11012.414,1400.0,2099.5476,0.0,656.33966,1400.2825,0.0,0
20000.0,2,2,1,44.0,0,0,0,0,0,-1,30383.238,24829.668,15224.409,7321.5073,0.0,7059.2993,1558.6837,2152.5117,1407.7073,0.0,2343.7266,2500.0,0
450000.0,2,1,1,57.334003,-1,-1,-1,-1,0,-1,15779.303,1941.8401,40019.55,12518.219,18546.629,10077.7,2000.0,39963.605,10000.0,13515.594,11107.274,8987.7295,0
380000.0,1,1,2,31.0,-2,-2,-2,-1,-2,-2,-165544.27,-69777.0,26413.617,-64374.984,-59910.977,0.0,0.0,963937.44,2000.0,0.0,2346.817,0.0,0
50000.0,2,2,1,28.0,0,0,0,0,0,2,47106.93,47534.48,46075.574,43003.6,34071.215,30638.25,2000.0,1790.9767,2000.0,2036.186,1000.0,2722.1716,0
600947.9,2,2,1,37.0,2,0,0,0,0,0,936941.4,964524.25,827421.2,876183.8,916119.06,405187.94,32059.781,41914.375,30000.344,38157.848,22139.217,30772.158,1
212484.14,2,2,2,26.0,2,2,0,0,0,0,116992.08,104593.64,84004.29,66185.27,70324.46,64260.395,0.0,2087.557,2308.7402,2587.8564,2500.0,3125.4463,1
130000.0,2,2,1,56.0,0,4,0,0,0,-2,11975.137,4969.039,22380.049,0.0,103881.48,0.0,529178.6,0.0,0.0,58223.582,394.94626,791.215,0
240000.0,2,1,2,26.0,-2,-2,-2,-2,-2,-2,253.10095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
160000.0,1,2,2,47.0,0,0,0,0,0,0,152065.16,156684.92,154674.34,149658.06,143474.12,144593.89,6500.0,6525.9834,5053.234,5106.9673,5416.7905,5172.9453,0
30000.0,2,2,2,22.0,0,0,2,0,0,0,28375.082,31873.67,30019.47,28266.613,23185.078,19894.84,4000.0,0.0,1500.0,960.3561,0.0,1500.0,1
26693.285,2,2,2,22.0,0,0,0,0,0,0,27867.967,27436.922,25774.191,19884.008,11782.428,3571.2854,1700.0,1717.3562,1158.0421,489.6035,0.0,478.42178,0
400000.0,2,1,2,38.0,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20000.0,2,3,2,31.0,0,0,0,0,0,0,8213.022,7498.7627,7263.6226,10907.318,4122.6606,0.0,1498.1831,1650.1726,2133.0916,0.0,0.0,0.0,0
80000.0,2,1,1,49.0,0,0,0,0,0,0,114369.5,30015.076,44822.953,30123.04,25336.73,4979.9263,5365.99,3200.0,2300.0,2704.4163,10000.0,3500.0,0
200000.0,2,2,2,25.0,0,-1,2,-1,0,-2,7946.332,377.56696,9999.868,6437.7827,0.0,-383.2073,8492.147,0.0,0.0,400.0,0.0,1000.0,0
50000.0,1,2,1,36.0,0,0,0,0,0,0,54837.598,96824.75,87140.56,59454.867,133526.64,76851.36,1200.0,4000.1128,3904.7136,4250.5103,1400.0,1000.0,0
10000.0,2,2,1,54.0,0,0,0,0,0,0,6281.6133,7204.533,8134.704,8885.034,7349.9136,4701.26,1221.4248,1234.6614,683.90704,342.5905,0.0,326.34027,0
500000.0,2,1,2,31.0,-1,-1,0,-1,0,0,84350.055,58514.457,132898.14,334352.56,308640.97,961664.0,100090.336,160699.6,822716.25,139620.06,402482.6,352489.47,0
50000.0,1,2,2,51.0,0,0,0,0,0,0,43923.707,25082.459,6716.754,10355.681,11606.077,7280.032,0.0,2000.0,1181.0939,1321.1486,2105.4517,2551.8232,0
1000000.0,2,1,2,34.0,0,0,0,0,0,0,240358.34,202633.9,194082.72,211472.62,205785.73,422177.47,32809.582,24005.361,48712.69,77398.15,142873.22,101844.055,0
20000.0,1,1,2,27.0,1,2,0,0,0,0,18071.514,17366.69,18155.291,18519.623,18470.535,17890.736,0.0,1342.3658,1010.9046,779.2171,928.36975,923.60547,1
68310.46,1,2,1,48.190437,0,0,0,0,0,0,81731.11,74053.84,101261.57,80244.445,83376.82,87908.63,3405.844,3606.7786,2000.0,3000.0,5000.0,2291.0288,0
220000.0,2,2,1,28.0,0,0,0,0,0,0,149665.88,127972.125,277980.6,81354.15,45387.63,70038.46,3111.4749,6500.0,6938.8374,1039.5605,1600.239,3000.0,0
200000.0,1,3,1,45.0,2,0,0,0,0,0,124505.34,129317.78,126092.98,74193.43,155293.53,135413.14,2300.0,10000.0,29739.088,0.0,414059.25,22568.434,0
50000.0,1,1,1,31.0,0,0,0,0,0,0,41441.066,38282.34,29178.027,20666.775,19469.957,19054.818,1958.8469,2000.0,894.798,1000.0,1116.795,879.83276,0
240000.0,2,1,1,55.23763,-1,-1,2,-1,-2,-1,7647.157,13720.212,5743.852,0.0,-1107.3127,29645.96,5000.0,1614.5979,0.0,0.0,411481.97,10000.0,1
10000.0,2,2,2,23.0,0,0,0,0,0,0,4828.8613,5339.4194,5610.33,6274.1714,3985.8882,390.67905,1300.0,1200.0,734.5865,315.2963,0.0,0.0,0
535092.0,2,1,1,40.0,1,-2,4,-1,0,-1,0.0,0.0,0.0,1418.5573,2704.762,2355.2854,0.0,0.0,2000.0,742.2804,1799.0322,365613.75,1
230000.0,2,2,1,50.0,0,0,0,0,0,0,42168.12,113810.875,48285.598,60642.73,84762.02,82677.96,6000.0,7000.0,3000.0,12067.699,2897.7969,0.0,0
340000.0,1,2,2,33.0,-1,-1,-1,-1,-1,-1,1581.747,3186.2688,646.8523,0.0,7931.881,947.17645,3000.0,1000.0,0.0,8131.2563,1039.0493,0.0,0
50000.0,2,3,2,40.0,0,0,0,0,0,2,36912.36,40394.742,41514.33,38605.473,39612.023,39086.79,1876.4952,2500.0,2000.0,3000.0,0.0,1692.3561,0
130000.0,2,2,2,28.0,-2,2,2,0,0,0,80758.055,97333.61,53842.953,36241.01,43744.62,40390.87,0.0,3394.0847,3851.172,5003.042,1801.9657,2000.0,1
350000.0,2,5,2,32.0,0,0,0,0,0,0,76000.836,75287.75,78385.23,81092.07,76984.984,75990.96,3321.0925,3000.0,3005.989,3000.0,3000.0,3364.6702,0
361589.8,2,2,2,28.0,0,0,2,0,0,0,49774.664,18524.045,32951.914,0.0,548.93317,20021.064,1800.0,1000.0,2007.721,2906.8257,0.0,1000.0,0
100000.0,1,2,2,27.0,0,0,0,0,0,0,71051.17,24154.568,21178.557,47615.797,51449.793,66865.7,1895.3783,1904.6558,3248.8699,0.0,603.127,2485.4983,0
114081.4,2,2,1,36.0,-2,-1,-2,-2,-2,-2,12310.513,0.0,321.52426,0.0,-5.2034736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
120000.0,2,1,2,32.0,0,0,-2,-2,-2,-2,5457.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
120000.0,2,3,3,39.0,1,0,0,0,0,0,43775.715,0.0,24080.531,2832.8335,13256.361,0.0,31628.922,4000.0,2000.0,0.0,0.0,2000.0,0
340000.0,2,1,2,23.0,0,0,0,0,-2,2,2100.2732,390.0,8928.807,8511.269,64196.832,0.0,0.0,0.0,4000.0,11104.62,26365.154,435128.72,0
210000.0,2,2,1,38.0,0,0,0,0,0,0,65872.73,11685.462,175936.56,252886.92,115448.49,196860.81,3000.0,1532.7532,1325.9733,5000.0,0.0,3000.0,0
110000.0,2,3,2,23.0,0,0,0,0,0,2,55420.164,50082.086,50653.703,50250.97,52460.496,54166.99,3049.529,2000.0,1000.0,1200.0,0.0,2986.6362,0
150000.0,2,1,2,39.0,0,0,0,0,0,0,117924.64,50470.48,30828.266,23088.008,8070.0654,0.0,4288.161,1641.6715,6451.3486,0.0,0.0,0.0,0
500000.0,1,3,1,38.0,0,0,0,0,0,0,796465.94,839094.25,711919.94,830781.25,879827.9,553027.75,23903.396,27913.213,20098.945,30000.0,17688.02,20964.973,0
50000.0,2,3,2,38.0,0,-1,0,0,0,0,0.0,10078.792,860.3718,0.0,80030.36,10539.239,18019.889,0.0,0.0,0.0,376913.72,0.0,0
250500.4,2,2,2,46.0,-1,-1,-1,-1,-1,0,1636.3048,3451.5269,0.0,0.0,0.0,8589.313,0.0,3151.7295,784.4178,4369.9053,0.0,40584.348,0
500000.0,2,1,1,53.0,1,0,0,0,0,-1,780.0,13650.554,58569.965,9095.036,79197.625,23916.396,1000.0,29790.283,9849.826,22175.697,324034.12,275622.97,0
50000.0,2,2,2,31.0,2,0,0,0,0,0,48216.53,326.0,24729.365,25824.639,27701.623,75500.555,2372.3442,5000.0,1905.9246,9595.668,5291.8467,0.0,0
722541.9,2,1,1,54.0,1,-2,-2,-2,-2,-2,-165580.0,-69777.0,-157264.0,-170000.0,-61372.0,-339603.0,0.0,0.0,0.0,0.0,0.0,0.0,0
30000.0,2,2,1,27.0,-1,-1,-1,-1,-1,-1,14769.842,401.519,19256.19,1559.7128,2333.7163,2215.924,1000.0,20542.812,1766.562,2000.0,1898.8141,1501.5413,0
130000.0,2,2,2,29.0,0,0,0,0,0,0,44607.363,57778.016,46701.64,12776.568,13618.488,14036.162,3006.0654,2500.5273,1400.0,400.0,1275.3147,2078.7083,0
200000.0,2,2,3,50.0,0,0,2,0,-1,0,47449.113,67577.62,57357.695,132647.05,38845.406,128778.58,0.0,538.8052,7877.053,0.0,1500.0,0.0,0
140000.0,2,1,1,31.0,0,0,0,0,0,0,123865.836,107643.62,150836.33,144648.4,179444.62,183361.31,8326.797,6756.278,5000.0,10520.765,7073.5137,7975.5127,0
10000.0,1,2,2,23.0,0,0,0,0,0,0,4033.9812,4521.0435,5138.0117,6251.364,6516.16,6237.6465,1278.3608,1200.0,648.94244,382.40552,316.65085,475.1767,0
263075.03,2,2,2,25.0,0,0,0,0,0,0,11427.9795,29003.676,3745.5417,5128.321,8983.939,48427.09,1586.3802,1509.9481,2390.7837,8213.947,0.0,0.0,0
220000.0,2,1,2,30.0,-1,-1,-2,-2,-2,-2,12177.697,2224.2205,1959.6934,0.0,1014.8164,1606.2035,3029.4329,5000.0,0.0,2710.6233,983.51556,1000.0,0
260000.0,2,1,1,38.0,0,0,0,0,0,0,147826.81,150189.1,145171.78,141689.88,142912.22,132343.12,7000.0,6666.204,6495.681,5186.6865,6910.6875,5128.079,0
80000.0,2,2,1,32.0,0,0,0,0,0,0,76725.086,73523.15,71447.59,66449.41,59140.13,56748.27,3000.0,2960.1033,2407.0034,2100.0,2000.0,2000.0,0
50000.0,2,2,1,29.0,0,0,0,0,0,0,933.36707,37563.02,18185.494,24980.367,23309.436,28046.266,27.368555,1400.0,600.0,500.0,1240.7703,1051.1362,0
50000.0,2,2,2,36.0,-2,-2,-2,-2,-2,-2,-95245.66,-66897.54,-143583.58,-148155.6,-48974.47,-245215.81,0.0,0.0,0.0,0.0,0.0,0.0,0
230000.0,2,3,2,31.0,-2,-2,-2,-2,-2,-2,0.0,404.95944,779.93976,753.1584,524.7844,0.0,316.0,1251.9355,1000.0,661.56,0.0,1800.0,0
40000.0,2,2,1,77.74392,0,0,0,0,0,0,6544.117,0.0,40119.477,6954.9326,780.0,4294.991,1700.0,0.0,1661.6293,1000.0,4076.8003,700.0,1
240000.0,1,3,1,42.0,0,0,0,0,0,0,246804.27,242372.62,241403.33,229006.16,219924.6,212868.66,10000.0,10018.084,8125.927,8496.718,8009.2275,7326.2676,1
150000.0,2,2,1,27.0,0,0,2,0,0,0,126743.77,133156.31,53733.695,155302.52,77423.82,88371.28,10000.0,0.0,20000.0,1507.5828,863.06445,4735.06,1
230000.0,1,2,2,30.0,0,7,2,0,0,0,113850.3,129908.9,137641.23,161769.3,97651.305,37225.37,61.05144,0.0,2991.7864,27782.252,417179.62,13050.56,0
500000.0,1,2,1,43.0,0,0,0,0,0,0,15908.133,17045.646,17318.277,17438.617,17900.37,16939.639,1740.3962,1508.4851,1667.1045,1058.3175,1200.0,1576.4166,0
20000.0,2,2,2,29.0,2,2,-1,5,2,4,5016.1924,6447.9307,492.71307,26878.934,13869.166,37270.977,0.0,0.0,0.0,0.0,0.0,0.0,1
912264.4,1,1,2,41.0,-2,-2,-2,-2,-2,-2,0.0,686.6747,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0
10000.0,1,2,2,49.149235,-1,-1,-1,-1,-1,-1,0.0,310.20648,0.0,0.0,0.0,0.0,26.338902,167.33887,0.0,162.60387,0.0,201.53343,0
30000.0,2,2,1,29.0,1,2,0,2,2,0,21201.027,22287.17,102465.484,40665.664,98309.22,48719.31,0.0,3780.4934,1000.0,0.0,1200.0,1000.0,0
200000.0,1,2,2,40.0,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
360000.0,2,1,1,43.0,-2,-2,-2,-2,-2,-2,23.24605,106748.57,67905.72,26993.834,34051.434,48027.543,121019.195,138544.78,87798.24,40119.99,50627.496,0.0,0
660010.56,1,2,2,27.0,0,0,0,0,0,0,44686.312,19268.213,109269.41,123281.68,19595.365,-339603.0,2000.0,195049.58,24959.67,0.0,0.0,16468.852,0
50000.0,2,2,1,58.55261,-1,0,2,-1,0,-2,8208.081,2721.3782,2335.3135,19552.309,4426.239,0.0,59.9176,0.0,3700.2659,1068.6399,1326.0514,0.0,0
10000.0,2,1,2,22.0,0,0,0,0,0,0,3217.6038,3401.587,3699.4775,4122.936,3709.132,1879.0332,1162.0475,1164.238,534.1175,203.79999,0.0,606.4087,0
50000.0,1,2,2,38.0,0,0,0,0,0,0,38399.613,31767.994,28322.445,18273.773,14179.839,8931.948,1500.0,1324.3673,500.19366,500.0,420.84442,316.0,0
623410.4,2,1,2,31.0,2,2,2,0,0,0,938735.6,966472.3,818424.8,874349.25,912276.9,397575.56,31343.3,11621.384,17025.889,33301.566,20058.307,22213.691,1
100000.0,1,2,2,28.0,0,0,2,-2,-2,-2,151197.44,58070.035,-1.9673566,-37.094425,-2.8694756,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0
979663.7,1,1,2,40.0,1,-2,-2,-2,-2,-2,-157352.27,-69777.0,-157045.0,251042.27,-2446.454,-339603.0,0.0,1500.0,896040.0,0.0,0.0,0.0,0
175307.81,2,2,2,32.0,0,0,0,0,0,0,87809.92,78489.72,72508.47,67026.5,62338.72,71433.09,3277.6753,3844.4626,3000.0,2000.0,3019.4502,3000.0,0
160000.0,1,2,2,43.0,-2,-2,-2,-2,-2,-2,449.99756,5870.901,4935.423,1696.6564,0.0,0.0,5071.4946,6000.0,2458.7488,0.0,0.0,0.0,0
50000.0,2,2,2,33.0,4,0,0,0,0,0,48621.832,21694.816,32842.71,51000.15,43888.684,30414.262,28864.027,6000.0,1766.9939,8836.801,6106.565,9221.56,0
90000.0,2,2,2,23.0,0,0,0,-2,-2,-2,11073.086,26123.832,9446.228,0.0,0.0,0.0,8000.0,1000.0,0.0,0.0,0.0,0.0,0
30000.0,2,2,2,34.0,0,-1,-1,-1,-1,-2,1816.975,390.0,476.77338,0.0,0.0,0.0,329.1041,593.6564,0.0,578.65955,0.0,0.0,0
230000.0,2,3,1,29.0,0,0,0,0,0,2,208019.7,206066.14,214554.55,211717.28,229709.52,229381.25,9747.367,10003.512,8494.404,22474.701,0.0,7880.0864,0
280000.0,2,1,1,36.0,-1,-1,-1,0,-2,-2,390.0,1545.1572,9383.428,3056.116,0.0,318.47174,0.0,4150.6064,0.0,0.0,0.0,0.0,0
200000.0,2,3,1,44.0,0,0,0,0,0,0,14613.734,96960.01,27421.873,95109.23,22006.336,390.0,2000.0,3000.0,1000.0,700.0,0.0,2000.0,0
110000.0,2,1,2,27.0,-1,-1,-1,-1,-1,-1,0.0,316.0,324.54947,0.0,304.28583,381.368,14.820264,315.24255,0.0,316.0,399.32483,759.72284,0
400000.0,2,3,1,50.0,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
