LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
100000.0,2,3,1,37.0,-1,-1,-1,-1,0,-2,0.0,1839.7571,29437.08,20644.885,8622.21,12445.9375,3004.5864,37284.03,40342.08,709.1798,13831.816,0.0,0
210000.0,2,1,1,35.0,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
180000.0,2,2,2,27.0,0,0,0,0,0,0,164312.36,165861.94,166156.39,158777.39,155495.03,154765.89,7000.0,7285.376,6000.0,5982.5903,6553.8037,7201.5806,0
590175.9,2,2,2,29.0,0,0,0,0,0,0,507792.8,755606.06,168931.2,0.0,0.0,0.0,12165.164,2032.6964,0.0,0.0,0.0,622.0786,0
340000.0,2,1,2,32.0,0,0,0,2,0,0,1992.7892,54097.08,6136.8223,29949.332,28856.025,4880.8936,4547.781,1409.8694,0.0,0.0,2000.0,1100.0,0
50000.0,1,3,2,43.0,0,0,0,0,0,0,60117.027,50458.438,35022.59,20009.395,23203.111,18671.244,2033.8668,3826.7368,1558.2142,10000.0,0.0,0.0,0
20000.0,1,2,1,32.0,0,0,0,0,0,0,47986.53,85821.914,84977.29,56187.68,49361.574,96269.31,179.51851,4000.0,2219.568,913.6753,325.57202,103600.734,0
500000.0,2,2,2,29.0,2,2,2,2,0,0,17584.588,22287.324,18687.621,11655.84,5141.883,177021.06,4500.0,2000.0,0.0,920.75183,156625.9,52146.086,0
20000.0,2,2,2,22.0,0,0,0,0,0,0,19707.67,19771.973,19186.197,17770.38,16116.27,14585.646,1500.0,1351.1069,636.204,515.2753,416.3334,544.4582,0
150000.0,2,2,2,30.0,-1,-1,-1,-1,-1,-1,495.69608,602.604,12915.946,642.8471,990.34564,878.82495,915.1536,12662.458,390.0,1000.0,1000.0,5000.0,0
30000.0,2,1,1,29.0,0,0,0,0,0,-1,15576.26,8150.815,390.0,390.0,671.1868,28455.78,1400.0,0.0,0.0,1795.1016,54384.094,0.0,0
50000.0,2,2,2,40.0,0,0,0,0,0,0,37936.453,41086.113,45692.438,47399.152,49233.496,48446.67,1800.0,3000.0,1600.0,1000.0,1000.0,2000.0,0
180000.0,2,1,2,23.0,-1,-1,-1,-1,-1,-1,1491.1908,1368.005,391.30072,1355.6061,3089.797,2330.3245,2000.0,1213.4388,1600.0,3000.0,2000.0,1512.7772,0
360000.0,1,2,2,31.0,0,0,0,0,0,0,202137.11,216844.53,112443.24,129452.03,192121.19,155372.02,18025.314,2000.0,3229.5618,4207.517,1500.0,3503.0334,0
40000.0,2,3,2,34.0,1,2,0,2,2,2,6437.0996,6080.013,16731.492,3754.4412,1227.868,1528.0021,0.0,2000.0,0.0,0.0,1000.0,549.7497,0
170000.0,2,2,1,26.0,0,0,0,0,-2,2,2185.412,0.0,37203.742,0.0,0.0,568.2621,0.0,0.0,0.0,0.0,0.0,479870.25,0
190000.0,2,2,1,60.0,2,2,0,0,0,0,200726.6,191150.17,194794.4,181980.19,178461.1,174132.44,0.0,8505.863,6466.404,6117.3843,7661.0786,6945.589,0
390000.0,1,2,2,26.0,-1,0,0,0,0,0,33417.723,4736.603,50092.887,13581.245,28320.85,56278.9,3000.0,10000.0,772.88947,1008.3704,25078.846,3000.0,0
120000.0,2,2,2,28.0,0,0,0,2,0,0,20438.95,22225.44,36794.184,34099.617,30156.213,29357.21,2000.0,19239.916,0.0,1281.484,1000.0,1500.0,0
50000.0,1,1,1,37.0,0,0,0,0,0,0,9478.818,23126.496,8930.888,13243.662,7676.6807,6797.913,2100.0,1226.9858,201.05162,2913.6294,0.0,0.0,0
170000.0,1,2,1,27.0,0,0,0,2,0,0,173861.64,86361.17,49180.03,137528.77,86654.5,93137.83,10608.129,3366.4944,1000.0,124737.195,1000.0,2620.3423,0
20000.0,1,3,2,29.0,-2,-2,-2,-2,-2,-2,-165580.0,-69777.0,-157264.0,-170000.0,-61372.0,-339603.0,0.0,0.0,0.0,0.0,0.0,0.0,0
50000.0,2,2,1,30.0,0,0,0,0,0,2,44156.01,28323.248,30692.928,17262.295,13567.906,16183.325,1641.1171,1000.0,44.724266,1500.0,1000.0,1193.2831,0
