LIMIT_BAL,SEX,MARRIAGE,AGE,PAY_0,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT5,PAY_AMT6,default payment next month
100000.0,2,1,37.0,-1,-1,-1,0,-2,1839.7571,29437.08,20644.885,12445.9375,3004.5864,37284.03,13831.816,0.0,0
210000.0,2,1,35.0,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
180000.0,2,2,27.0,0,0,0,0,0,165861.94,166156.39,158777.39,154765.89,7000.0,7285.376,6553.8037,7201.5806,0
590175.9,2,2,29.0,0,0,0,0,0,755606.06,168931.2,0.0,0.0,12165.164,2032.6964,0.0,622.0786,0
340000.0,2,2,32.0,0,0,2,0,0,54097.08,6136.8223,29949.332,4880.8936,4547.781,1409.8694,2000.0,1100.0,0
50000.0,1,2,43.0,0,0,0,0,0,50458.438,35022.59,20009.395,18671.244,2033.8668,3826.7368,0.0,0.0,0
20000.0,1,1,32.0,0,0,0,0,0,85821.914,84977.29,56187.68,96269.31,179.51851,4000.0,325.57202,103600.734,0
500000.0,2,2,29.0,2,2,2,0,0,22287.324,18687.621,11655.84,177021.06,4500.0,2000.0,156625.9,52146.086,0
20000.0,2,2,22.0,0,0,0,0,0,19771.973,19186.197,17770.38,14585.646,1500.0,1351.1069,416.3334,544.4582,0
150000.0,2,2,30.0,-1,-1,-1,-1,-1,602.604,12915.946,642.8471,878.82495,915.1536,12662.458,1000.0,5000.0,0
30000.0,2,1,29.0,0,0,0,0,-1,8150.815,390.0,390.0,28455.78,1400.0,0.0,54384.094,0.0,0
50000.0,2,2,40.0,0,0,0,0,0,41086.113,45692.438,47399.152,48446.67,1800.0,3000.0,1000.0,2000.0,0
180000.0,2,2,23.0,-1,-1,-1,-1,-1,1368.005,391.30072,1355.6061,2330.3245,2000.0,1213.4388,2000.0,1512.7772,0
360000.0,1,2,31.0,0,0,0,0,0,216844.53,112443.24,129452.03,155372.02,18025.314,2000.0,1500.0,3503.0334,0
40000.0,2,2,34.0,1,0,2,2,2,6080.013,16731.492,3754.4412,1528.0021,0.0,2000.0,1000.0,549.7497,0
170000.0,2,1,26.0,0,0,0,-2,2,0.0,37203.742,0.0,568.2621,0.0,0.0,0.0,479870.25,0
190000.0,2,1,60.0,2,0,0,0,0,191150.17,194794.4,181980.19,174132.44,0.0,8505.863,7661.0786,6945.589,0
390000.0,1,2,26.0,-1,0,0,0,0,4736.603,50092.887,13581.245,56278.9,3000.0,10000.0,25078.846,3000.0,0
120000.0,2,2,28.0,0,0,2,0,0,22225.44,36794.184,34099.617,29357.21,2000.0,19239.916,1000.0,1500.0,0
50000.0,1,1,37.0,0,0,0,0,0,23126.496,8930.888,13243.662,6797.913,2100.0,1226.9858,0.0,0.0,0
170000.0,1,1,27.0,0,0,2,0,0,86361.17,49180.03,137528.77,93137.83,10608.129,3366.4944,1000.0,2620.3423,0
20000.0,1,2,29.0,-2,-2,-2,-2,-2,-69777.0,-157264.0,-170000.0,-339603.0,0.0,0.0,0.0,0.0,0
50000.0,2,1,30.0,0,0,0,0,2,28323.248,30692.928,17262.295,16183.325,1641.1171,1000.0,1000.0,1193.2831,0
50000.0,1,2,32.0,2,0,0,0,0,38599.645,53423.832,18755.832,30156.45,1238.2915,0.0,0.0,1331.2349,1
332567.75,2,2,30.0,0,-1,0,0,-1,78675.75,12891.408,13658.048,3038.5564,22571.982,0.0,1500.0,433.6164,0
260000.0,2,1,32.0,0,0,0,0,0,226251.34,223424.53,201105.73,207374.05,9000.0,8681.504,5775.482,6390.73,0
150000.0,2,2,30.0,2,2,2,0,0,150899.2,147801.88,135298.33,116734.01,0.0,10585.05,3000.0,4000.0,1
200000.0,2,1,29.0,0,2,2,0,0,133453.77,148651.58,131501.38,134474.66,8915.408,12714.888,8069.426,4027.9585,0
500000.0,1,1,38.0,-2,-2,-2,-2,-2,-69777.0,-157264.0,-168915.94,-6631.083,0.0,0.0,1200.0,1000.0,0
80000.0,1,2,42.0,0,0,0,0,0,10687.067,8062.645,16878.395,10739.833,1522.4755,1006.3454,327.41763,500.0,0
100000.0,1,2,29.0,-1,-2,-1,-1,-1,-69497.664,-144483.06,-1.6882544,0.0,0.0,0.0,324.432,303.561,0
466743.03,2,1,48.60355,-2,-2,-2,-2,-2,0.0,200.96553,151.3961,0.0,0.0,1000.0,0.0,59716.26,0
160000.0,1,1,44.0,-1,-1,-1,-1,-1,963.54706,606.5133,602.42847,850.72144,1200.0,898.9961,1000.0,1000.0,0
20000.0,2,2,22.0,0,0,0,0,0,18597.799,19380.256,18909.39,19026.36,1500.0,1495.8213,800.0,1000.0,1
20000.0,2,3,43.0,0,0,0,0,-2,644.1695,60293.58,151.27931,47454.105,2706.386,0.0,0.0,0.0,0
250000.0,1,1,30.0,-1,0,0,-1,2,10041.7295,5028.776,7546.6885,2861.052,8874.382,2492.428,0.0,5000.0,0
150000.0,2,2,46.0,0,2,0,0,0,28402.047,55957.047,109326.17,73781.68,1877.4841,1000.0,5397.994,1000.0,0
150000.0,2,1,36.0,0,0,0,0,0,82597.375,44782.766,58004.316,22019.56,1192.5989,2648.694,300.0,1000.0,1
20000.0,1,2,25.0,0,0,0,2,0,10057.939,11406.139,14847.737,14643.103,1500.0,1371.6797,1000.0,1275.1583,0
104124.49,1,2,26.0,0,0,0,0,0,94959.64,103349.94,102505.12,94928.75,4448.492,6626.9736,3357.608,3000.0,0
30000.0,1,2,34.0,4,0,0,0,0,780.0,2194.1653,24580.918,29534.062,1322.0834,3000.0,200.82828,3000.0,0
90000.0,2,1,27.0,0,2,2,2,0,83566.36,87040.71,90538.65,87066.125,5659.9814,4588.6265,2500.0,4228.957,0
20000.0,1,1,30.0,0,0,0,0,0,17322.902,17283.28,14683.067,11839.895,1700.0,2019.3999,1000.0,1000.0,0
180000.0,2,1,41.0,0,0,0,0,0,14475.593,19849.355,23855.98,28291.18,1800.0,1518.91,1500.0,2000.0,0
130000.0,2,1,26.0,0,0,0,0,0,126525.15,104329.28,100107.06,105971.27,6000.0,2502.7756,5289.08,3994.4744,0
420000.0,2,1,37.0,-1,-1,-1,-1,0,2128.035,785.5621,2493.1074,11339.716,2200.0,1000.0,7117.0557,4863.5483,0
330000.0,2,2,27.0,0,0,-1,0,0,5422.2456,0.0,15672.078,4078.512,3597.7466,1500.0597,498.6557,0.0,0
500000.0,1,2,35.0,-2,-2,-2,-2,-2,0.0,0.0,0.0,390.0,0.0,0.0,292.86362,1500.0,0
210000.0,1,1,36.0,0,0,0,0,0,201917.86,202029.55,191162.67,193547.36,8695.017,7428.3984,6000.0,8000.0,1
60000.0,1,2,23.0,-2,-2,-2,-2,-2,-69765.46,-156989.1,-169046.44,-338741.62,0.0,0.0,0.0,0.0,0
30000.0,2,2,22.0,0,0,0,-1,-1,40253.914,28107.25,1826.783,0.0,2000.0,1230.3468,0.0,0.0,0
280000.0,1,1,35.0,-1,-1,-2,-2,-2,9127.335,1752.411,0.0,0.0,5000.0,3500.0,0.0,0.0,1
30000.0,2,1,39.0,-1,-1,0,-1,-1,1055.6492,2961.8208,2403.8674,4748.3145,1099.6265,1007.97754,2100.0,0.0,0
160000.0,2,2,29.0,0,0,0,0,0,103542.5,48089.766,108770.57,81963.945,8627.492,4000.0,3000.0,2803.4263,0
130000.0,2,1,39.0,-2,-2,-2,-2,-2,0.0,820.50146,1186.0369,2278.0881,0.0,1000.0,1623.1403,1000.0,0
20000.0,2,2,25.0,1,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
100000.0,2,1,27.0,0,0,0,0,0,103339.93,90556.41,89828.44,52909.59,3619.5776,2601.038,2000.0,0.0,0
70000.0,2,1,52.0,2,0,0,0,-1,38848.918,36031.844,29562.066,3212.2468,3700.9656,2214.5522,2000.0,6000.0,0
200000.0,2,2,34.0,0,2,2,0,0,76864.125,76295.84,68473.79,72798.11,6068.241,0.0,2000.0,1649.7065,0
130000.0,2,2,45.962128,1,0,0,0,-1,140.08076,28849.777,14227.734,9932.267,1800.0,3480.2732,1426.6875,0.0,0
241379.31,1,2,42.0,0,0,0,-1,-1,44966.56,14929.978,37783.137,16537.662,1701.228,427.0257,1000.0,0.0,0
150000.0,2,1,33.0,0,0,0,0,0,13983.887,16435.633,18590.73,6633.4854,1715.7007,2700.0337,1000.0,8322.107,0
10000.0,2,1,57.0,-1,0,0,0,0,865.6206,1382.0452,1881.3729,2821.6792,1157.0323,1084.8015,363.54675,447.93457,0
180000.0,2,2,29.0,-1,0,-1,0,0,1941.0616,3466.2783,960.516,9319.154,1600.0,1899.0392,698.7538,5000.0,0
10000.0,1,2,34.0,1,0,2,0,0,2757.9136,62853.523,55116.094,21092.285,0.0,1889.094,1983.5773,993.97577,1
250000.0,2,1,51.16061,-1,-1,-2,-2,-2,-69777.0,-157264.0,-170000.0,-339603.0,3169.9998,0.0,0.0,0.0,0
30000.0,2,1,53.0,0,2,2,2,2,26927.738,26262.865,27605.484,29297.775,3000.0,1249.2881,2000.0,1424.1917,1
80000.0,2,1,27.0,1,-1,0,0,2,23263.346,9076.751,19477.906,29936.326,1266.3324,4892.79,0.0,0.0,0
280000.0,2,1,40.0,0,0,0,0,0,281932.12,281203.03,286029.66,271986.53,11000.0,11866.263,8965.705,10000.0,0
110000.0,1,1,40.0,0,0,0,0,0,40303.74,82752.266,201516.73,20459.586,4122.749,1699.0804,3000.0,11719.589,0
80000.0,1,2,21.023329,0,2,0,0,0,14233.698,13702.782,396.0,1444.7148,3007.392,3612.7217,0.0,0.0,0
425025.94,2,1,48.0,1,-1,-1,-1,-2,13248.038,289041.9,-11.082595,-1472.048,19351.457,929824.4,0.0,9412.131,0
200000.0,2,1,51.0,1,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20000.0,1,1,47.0,1,-1,-1,-1,-1,326.0,186.23337,0.0,146.97697,5.2305703,198.72003,53.030994,596.09076,0
213526.17,1,3,31.0,1,-1,-1,-1,-1,5422.2314,0.0,106083.51,20899.07,15000.0,0.0,110491.086,903.14386,0
20000.0,1,3,48.104004,-1,0,0,0,0,43012.05,49283.72,80112.77,21244.979,1200.0,5000.0,3575.6519,1224.0642,0
130000.0,2,1,57.93585,-2,-1,0,0,2,11704.861,4067.2996,9443.985,11993.704,1425.5359,2000.0,2000.0,652.44104,0
80000.0,1,1,35.0,0,0,0,0,0,55281.492,56300.273,62145.176,50439.293,2398.0803,2000.0,1999.2611,2000.0,0
689323.7,2,1,34.0,0,0,0,0,0,158684.73,854942.4,889427.3,596240.1,20007.117,1227082.0,30646.309,19399.807,0
50000.0,1,2,26.0,2,0,2,2,2,46960.04,46547.297,45028.258,46928.33,2000.0,3000.0,0.0,1903.8793,0
80000.0,2,2,78.94596,0,0,0,0,0,81504.95,67568.3,48268.574,69214.445,4000.0,2500.0,9416.984,5346.571,0
210000.0,2,1,40.0,-1,-1,0,0,-1,1265.9954,4182.778,9843.569,0.0,0.0,1489.595,0.0,5000.0,0
150000.0,2,1,44.0,-1,-1,2,0,0,326.0,11269.145,17880.336,35816.164,0.0,5736.8457,1845.2482,396.0,1
280000.0,2,2,37.0,4,0,2,0,0,52144.215,44265.89,59114.664,8176.849,6500.556,2000.0,0.0,9467.417,0
70000.0,2,2,58.0,0,0,0,0,0,48485.836,38254.035,28234.002,190661.3,2838.3037,2000.0,126595.01,196670.78,0
500000.0,2,2,30.0,1,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
60000.0,2,1,35.0,1,-2,-1,-1,-1,-69777.0,-157264.0,-169241.1,-9365.358,0.0,0.0,500.0,700.0,0
320000.0,1,2,34.0,0,0,2,0,0,0.0,9768.38,11592.346,12472.421,0.0,0.0,184660.33,524832.3,0
310000.0,1,2,44.0,0,0,0,0,0,95922.4,96752.62,117447.09,79244.19,3000.0,5001.347,2105.8364,4977.845,0
80000.0,2,2,26.0,-2,-2,-2,-2,-2,0.0,942.10315,4456.705,9235.218,0.0,1500.0,10607.477,2800.0,0
200000.0,2,2,28.0,-2,-1,-1,0,0,445.30838,472.22812,545.373,1640.5598,269.1565,390.0,831.899,0.0,0
180000.0,1,2,29.0,0,0,0,0,0,162254.81,157230.33,142615.45,54651.0,6008.147,6762.0435,2000.0,2000.0,0
90000.0,1,1,35.0,0,0,0,0,0,66972.34,72515.34,39100.812,31103.521,3200.0,4074.034,439.99326,1000.0,0
50000.0,2,1,52.0,0,0,0,0,0,18898.691,16801.498,15482.826,9044.161,1500.0,1970.1648,672.1857,260.3653,0
20000.0,2,1,52.0,0,0,0,0,0,12683.208,13753.976,14666.059,15094.385,1360.3822,1336.6991,663.8982,982.97363,0
100000.0,1,1,54.0,0,0,0,0,0,69242.62,407050.78,56504.46,28535.6,4610.9717,1187375.1,1426.4246,1498.4597,0
180000.0,2,2,52.0,-2,-2,-2,-2,-2,5514.503,23096.152,27792.584,13191.497,2026.439,10000.0,25779.98,16054.747,0
999833.0,1,1,51.0,-1,-1,-1,-2,5,38.315216,-156219.17,-169923.31,-339603.0,165428.67,16981.8,0.0,0.0,0
70000.0,1,1,41.0,0,0,0,0,0,58356.848,59425.57,56631.527,51260.05,2352.8398,2299.4229,2000.0,2000.0,1
