LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
10000.0,2,3,0,21.0,-1,0,-1,5,0,-1,964511.0,-69777.0,833005.0,-170000.0,927171.0,0.0,873552.0,0.0,896040.0,578057.1,417990.0,528666.0,0
10000.0,2,3,3,21.0,4,0,8,5,0,-1,964511.0,-55557.543,219726.3,40141.086,927171.0,15407.389,873552.0,0.0,0.0,8696.113,417990.0,528666.0,0
10000.0,2,3,3,21.0,-1,-1,1,5,-2,6,964511.0,-69777.0,855086.0,294655.7,927171.0,-96883.28,812324.56,49592.137,1700.0,621000.0,417990.0,528666.0,0
997886.25,2,3,0,45.0,-1,-1,-1,5,-1,3,964511.0,-5084.843,134975.75,891487.44,927171.0,15330.753,873552.0,0.0,896040.0,176804.02,417990.0,528666.0,1
30000.0,2,3,3,79.0,-1,-1,5,5,-1,0,964511.0,18598.703,807247.7,-169447.8,927171.0,0.0,808968.9,0.0,8788.082,594220.94,417990.0,528666.0,1
999614.0,2,5,0,79.0,-1,8,2,0,-1,3,369991.03,68688.6,184141.36,-101161.03,927171.0,47933.695,15797.589,0.0,1100.2684,395605.28,417990.0,528666.0,1
10000.0,2,4,1,21.0,0,4,-1,-2,3,8,-165580.0,479313.2,-151302.6,1598.8936,927171.0,2714.1165,873552.0,0.0,16432.139,621000.0,417990.0,528666.0,0
1000000.0,2,0,1,21.0,0,0,-1,-1,0,2,53639.91,-71.65807,-146858.11,891586.0,927171.0,961158.7,798121.94,0.0,6094.6084,0.0,417990.0,528666.0,0
1000000.0,2,5,1,79.0,0,0,0,5,-2,3,964511.0,4622.8022,-111364.45,891586.0,927171.0,961664.0,17076.47,0.0,1308.4474,20093.986,417990.0,528666.0,1
10000.0,2,2,0,79.0,4,0,5,0,3,0,964511.0,316.0,-3406.334,891586.0,927171.0,17597.045,0.0,0.0,4358.021,621000.0,417303.62,457218.88,1
1000000.0,1,2,0,21.0,4,0,-1,0,6,-2,0.0,-46525.297,855086.0,891586.0,927171.0,961664.0,0.0,0.0,8000.0,316.0,417891.56,3990.0757,1
10000.0,2,2,1,43.0,1,5,0,0,-2,3,374553.72,-67493.15,16312.646,-170000.0,51229.39,961664.0,0.0,0.0,0.0,0.0,417990.0,0.0,1
10000.0,2,2,2,59.27453,-1,5,-1,2,-1,0,964511.0,0.0,-157264.0,-248.60103,-58564.758,41340.188,0.0,2000.0,299.12888,47077.098,417990.0,0.0,1
200000.0,1,2,2,21.0,2,1,3,7,6,0,63138.863,-57972.945,-0.25725517,890677.56,26.476162,303.37604,0.0,0.0,81908.06,0.0,5205.821,169474.67,0
10000.0,1,5,1,47.0,-1,0,-2,0,0,4,252907.1,-24396.514,812567.06,891488.44,664339.44,-339603.0,39607.59,5000.0,3000.0,800.0,48947.605,44959.14,0
10000.0,2,5,1,44.0,-1,-1,2,5,-1,5,789359.8,0.0,173428.55,178009.52,927171.0,-334475.12,115413.54,0.0,0.0,0.0,884.7357,523885.75,1
10000.0,2,1,1,25.0,0,2,-1,7,-1,4,347.6624,-54285.76,-157264.0,2268.1797,927171.0,-335024.44,873552.0,0.0,0.0,72746.31,175402.98,528666.0,1
10000.0,2,5,1,64.57443,0,1,6,0,-1,0,168180.78,-69777.0,-12548.387,880927.06,927066.06,-339603.0,5170.6294,0.0,0.0,470864.56,417990.0,528666.0,1
10000.0,2,4,1,21.0,1,0,0,5,-1,8,964463.56,151694.56,855086.0,0.0,909880.44,4039.851,868324.44,0.0,22435.098,621000.0,417990.0,526719.6,0
150000.0,2,0,2,50.0,-1,0,1,-2,0,4,-165580.0,28684.875,855086.0,-138813.28,926421.7,244509.31,870776.5,0.0,768116.56,140552.77,417990.0,528666.0,1
20000.0,1,2,2,25.0,3,0,3,2,3,3,345121.0,-69777.0,710175.06,586919.56,797747.44,961493.0,2898.8662,0.0,896040.0,621000.0,417990.0,528612.56,1
500000.0,2,2,0,21.0,4,7,-2,5,-1,8,964511.0,-2.8528159,855086.0,891586.0,900622.9,258015.05,2000.0,8000.0874,896040.0,501045.94,417990.0,16586.184,1
10000.0,2,6,0,79.0,4,5,3,0,3,7,-157.65785,983931.0,-157264.0,12310.613,926285.94,176218.4,33226.53,806917.6,4017.4587,6000.0,417990.0,21432.348,1
50000.0,2,3,1,21.0,0,0,0,2,-1,3,50191.418,983931.0,13591.965,390.0,324822.1,495.61865,849722.44,1066586.0,0.0,0.0,4215.16,499660.16,0
10000.0,2,3,1,37.0,-1,0,2,0,0,7,962461.7,982164.5,850882.75,-1835.4733,19510.564,961664.0,0.0,15793.843,50485.07,3464.6082,33679.0,0.0,0
130000.0,2,2,3,44.0,0,0,3,2,3,2,964437.06,-69777.0,241465.36,359080.53,7839.3057,422160.5,0.0,0.0,0.0,0.0,98818.03,0.0,1
20000.0,2,2,3,51.0,1,5,0,5,0,0,751310.75,-179.76768,-230.26215,287519.6,64944.473,209950.14,0.0,0.0,0.0,5187.3125,407873.72,528666.0,1
20000.0,1,3,1,33.0,4,1,0,0,3,-1,-165462.95,202112.45,69695.33,-4060.876,656760.56,148119.28,10000.0,0.0,0.0,595388.44,417990.0,528666.0,0
1000000.0,1,3,1,21.0,4,1,0,2,-1,-1,317233.38,-69777.0,855042.44,17754.588,172460.9,171001.61,17590.979,0.0,19897.496,620823.44,349536.38,528666.0,1
10000.0,2,5,2,64.23806,1,5,-2,6,-1,4,904253.9,0.0,852816.06,390.0,0.0,0.0,873552.0,0.0,15002.636,470393.34,417990.0,4529.0615,0
250000.0,2,4,2,31.0,3,7,0,0,-1,-1,6750.629,8067.901,-86073.88,81200.13,17754.324,229558.64,873552.0,12943.28,2010.0955,0.0,1346.9836,0.0,0
10000.0,2,2,3,23.0,0,7,5,2,0,0,29192.102,122699.875,0.0,345929.62,201556.53,44236.836,0.0,15424.148,2132.2961,0.0,1397.1357,0.0,1
180000.0,2,2,1,35.0,4,-1,5,0,0,0,931651.44,49977.28,1408.9677,35130.75,400863.25,197136.95,0.0,69985.91,15000.268,0.0,1000.0,0.0,1
10000.0,1,6,1,67.62282,3,0,0,0,3,3,1288.836,0.0,559396.2,145304.52,198570.98,18682.21,12928.823,0.0,107849.055,84499.445,417990.0,503709.34,0
998225.56,1,5,3,29.0,4,7,0,0,3,0,135337.19,0.0,86853.37,891586.0,-61372.0,231738.48,112480.44,0.0,5208.514,621000.0,417990.0,886.2883,0
50000.0,1,4,2,29.0,0,-1,0,0,0,2,437.67004,18329.502,0.0,41196.29,851.13184,45203.336,374500.25,0.0,3804.7368,99440.66,649.53687,145288.75,0
200000.0,2,3,2,26.0,4,0,2,0,2,0,101870.33,-23.97376,203449.28,57576.402,786318.5,83404.95,870808.9,3000.0,895262.6,291477.78,5000.0,0.0,1
10000.0,2,2,0,31.0,1,-1,0,0,-2,2,0.0,665.1631,7022.801,-587.1996,282883.4,31153.168,0.0,10115.098,28441.738,2000.0,0.0,2917.022,0
220000.0,2,3,1,31.0,8,0,5,2,0,2,2933.7432,0.0,827.219,144275.61,-4515.8115,18228.197,0.0,2579.434,3000.0,0.0,3101.1165,0.0,1
10000.0,1,3,3,27.0,0,3,0,0,-1,3,49354.02,102079.97,-157057.31,891586.0,0.0,14349.556,0.0,390.0,390.0,0.0,0.0,700.0,1
450000.0,1,5,2,53.0,4,1,2,0,0,8,305139.7,-319.21948,30494.898,-1174.0481,43581.477,-271.72638,685944.94,0.0,0.0,0.0,0.0,6049.151,1
340000.0,2,4,2,30.0,4,0,0,0,-1,0,199578.44,-69777.0,854865.56,0.0,201275.53,155788.9,873552.0,0.0,871445.06,0.0,50484.504,286622.5,1
50000.0,2,2,2,24.0,0,4,-2,0,2,3,-274.9168,19285.434,0.0,16797.316,500980.6,415910.28,3049.2815,2169.4404,1000.0,21.665407,417990.0,19833.504,0
10000.0,2,3,0,38.0,-1,7,3,0,-1,0,344634.22,608743.7,-1755.3435,11778.869,927171.0,961243.1,0.0,4197.3438,10000.0,1000.0,295321.06,0.0,0
130000.0,1,2,1,40.0,2,1,2,7,0,0,89666.914,15053.732,51822.64,84794.88,239.95943,90901.66,0.0,7750.6997,0.0,0.0,0.0,0.0,0
500000.0,1,1,2,53.0,0,-1,0,0,3,-1,23447.143,-1.6505626,161831.22,28572.22,198.39603,93704.2,7299.18,4850.294,869599.1,27703.43,412170.6,10910.58,1
50000.0,2,4,2,24.0,4,0,0,0,0,0,611.8869,35574.758,277219.94,100845.82,132087.48,12712.5205,4500.432,0.0,10994.838,118100.6,417990.0,936.248,0
50000.0,2,2,1,37.0,-2,0,0,2,0,0,6709.0273,10422.947,51704.246,2430.2522,105037.336,77961.125,1000.0,3416.2961,22.457027,482.22003,0.0,0.0,0
30000.0,1,1,1,30.0,3,0,0,0,0,0,75833.45,200776.88,-7.4459233,187008.39,8826.879,29765.582,2398.0925,4000.0,0.0,5801.5044,0.0,113628.555,0
400000.0,1,2,2,35.0,0,-1,-1,-1,0,2,61821.09,0.0,0.0,117737.22,5400.131,9834.886,2200.0,0.0,0.0,2000.0,417990.0,3098.557,0
350000.0,1,2,2,35.0,0,-1,-2,0,0,2,-115.24249,-216.00311,253616.66,0.0,868.3596,6732.721,0.0,0.0,177314.72,506.53827,0.0,2000.0,0
150000.0,2,1,2,28.0,4,4,0,2,0,3,0.0,16001.846,-112945.93,138077.3,92337.65,388.35242,887.08765,2402.5457,4500.0,0.0,0.0,0.0,0
20000.0,2,1,1,34.0,3,7,0,2,0,0,106002.27,26232.59,3958.4746,8954.074,6385.2705,9606.556,0.0,6653.2383,0.0,1500.0,4000.4534,0.0,0
320000.0,2,1,2,37.0,0,0,0,0,0,0,99779.305,94156.39,89008.67,88590.42,76366.89,69024.21,3054.3154,3000.0,3000.0,2500.0,2245.2065,2147.7876,1
626070.4,1,2,2,39.0,-1,-1,-1,-1,-1,-1,222.66647,390.0,394.29013,395.95038,0.0,0.0,383.15134,686.2569,645.98584,0.0,0.0,0.0,0
998090.5,2,1,2,39.0,0,0,0,0,0,0,964385.6,983865.4,853752.8,890628.2,927086.56,347458.75,69444.01,90451.125,83843.55,93681.44,44884.27,62265.027,0
924358.3,2,3,1,51.0,0,0,0,0,0,0,780783.0,265648.25,854636.3,890119.94,927060.75,556624.6,20039.395,1226801.9,77522.99,77710.625,43717.246,46629.516,0
992638.4,2,2,1,56.0,0,0,0,0,2,0,964039.44,983646.56,852428.2,890000.0,926872.9,394228.06,51902.42,86470.53,87314.82,0.0,24300.242,79601.984,1
10000.0,1,2,2,28.0,0,0,0,0,0,0,4708.765,5575.035,5641.7705,5288.135,5213.663,4179.001,1298.6763,1160.1173,0.0,244.55098,0.0,572.996,0
280000.0,2,2,2,27.0,1,2,2,0,0,0,312107.62,294662.62,294191.62,279997.78,284954.16,244319.66,0.0,12005.476,0.0,9385.151,10000.0,201826.2,0
873411.0,1,3,1,65.07587,-1,-1,-1,-1,-1,-1,155.9978,326.0,390.0,0.0,311.79477,3.634849,227.1225,326.0,0.0,390.0,0.0,149.70532,1
995265.3,2,2,2,31.0,0,-1,-1,-1,-1,-1,159365.78,0.0,0.0,0.0,0.0,148.95723,103.93181,354.4782,0.0,371.88303,481.2456,676.2176,0
20000.0,1,3,2,23.0,0,0,0,0,0,0,10861.105,12080.708,13531.371,14790.247,16021.111,16726.84,1481.029,1353.6643,1000.0,710.17395,1000.0,1000.0,0
20000.0,1,1,1,28.0,2,0,0,0,0,0,14469.53,16640.256,17936.324,18179.133,18278.406,17514.95,1557.9921,1337.8622,855.0437,711.9016,1000.0,0.0,0
60000.0,2,2,1,57.447674,0,0,0,0,0,0,60070.64,60114.145,63046.395,61518.586,59002.11,58379.266,2633.2703,2700.0703,2300.0,2288.2703,2105.9148,2466.1367,0
999612.7,1,2,1,51.71577,-1,-1,-2,-2,-1,-1,771.1606,0.0,0.0,-13.3886795,0.0,316.0,0.0,0.0,0.0,0.0,435.95654,292091.84,1
10000.0,2,1,2,22.0,0,0,0,0,0,0,2130.0222,2328.2415,2390.174,2589.8594,2478.872,1080.659,1101.0363,1102.5867,391.93158,124.44256,0.0,363.5285,0
926792.1,2,1,2,49.0,-1,-1,-1,-1,-1,-1,28414.377,200416.25,413028.78,0.0,16835.133,91835.2,215522.4,1135819.2,525.6939,17352.941,131592.4,0.0,0
999848.06,2,1,2,48.0,-2,-2,-2,-2,-2,-2,0.0,1188.1458,326.22614,3340.7283,20886.35,252689.52,1626.0667,390.2721,4935.137,15000.953,271993.84,2769.8633,0
20000.0,1,2,2,22.0,0,0,0,0,0,0,7817.589,8807.337,9434.809,9751.232,9802.882,9994.974,1375.3643,1262.4625,687.9681,462.49905,1000.0,0.0,0
10000.0,2,2,2,22.0,2,2,0,0,0,0,5512.3203,4416.764,5498.345,5869.6543,5769.2734,5502.5483,0.0,1235.3207,692.47974,390.0,500.0,1000.0,1
10000.0,1,3,1,22.0,0,-1,2,0,0,2,1153.5555,1279.58,2091.5632,1891.6124,3404.1956,3123.0283,1499.8375,326.0,288.72583,627.692,8.727464,481.18475,0
998634.9,2,2,1,46.10431,0,0,0,2,2,0,37437.656,27447.295,21387.305,20122.838,16328.4795,12113.566,1939.8961,2600.0,1497.2806,550.9937,919.83026,0.0,0
10000.0,2,1,1,21.379105,0,0,0,2,0,2,10809.59,6621.398,7807.046,6531.8936,3325.7217,0.0,472.5291,1426.6353,0.0,0.0,0.0,297259.66,0
140000.0,2,1,2,22.0,0,0,0,0,0,0,137454.81,141433.81,139123.64,131465.47,119519.94,116095.24,5768.195,5588.5044,5000.0,4305.0093,6130.477,5464.9463,0
1000000.0,2,1,1,52.60883,-2,-1,-1,0,0,-1,-158266.5,102936.2,808286.2,294506.88,43842.94,0.0,516034.88,1224477.5,1299.2523,0.0,1823.0983,108221.914,0
999752.9,2,2,2,36.0,0,0,0,0,0,0,964511.0,983931.0,854824.1,891373.0,927171.0,334983.03,79194.99,104582.87,112967.195,105252.26,26972.111,50133.22,1
987528.1,2,1,2,35.0,0,0,2,0,0,0,964166.25,983887.06,853399.44,890568.3,927019.6,364865.5,120040.9,0.0,50725.406,73555.72,33244.086,49541.145,0
20000.0,2,2,1,22.0,0,0,0,0,0,0,21346.549,21187.82,22219.17,21170.201,20151.873,19921.25,1500.0,1500.0,1018.94904,920.7207,1000.0,1000.0,0
20000.0,1,1,2,27.0,-1,-1,-1,0,0,0,-126.37213,-69764.79,-2.3998764,0.0,0.0,199.88037,0.0,1300.0,0.0,295.61194,412.91754,0.0,0
999578.5,2,2,1,56.759125,-2,-2,-2,-2,-2,-2,204.29361,584.1097,503.02008,631.8895,396.7085,582.353,395.68585,428.18976,932.19635,505.94324,818.91675,746.5302,0
30000.0,1,2,1,62.468876,-1,-1,2,2,2,2,0.0,63763.957,32255.992,27269.336,27251.11,26934.645,215548.14,17.704908,1868.3527,1000.0,1672.7881,1000.0,0
10000.0,1,1,1,65.97502,0,0,-1,-1,-1,-1,1975.8506,1872.0978,2118.2769,685.88324,418.3929,831.99805,742.3086,3001.7097,620.2703,500.0,1000.0,658.84064,1
10000.0,2,2,2,22.0,2,0,2,0,0,2,1649.8038,2706.4304,2767.1392,2382.9685,2434.192,1708.4777,1800.0,328.6383,0.0,825.5559,0.0,650.75323,0
1000000.0,1,1,1,78.29185,0,0,0,0,0,0,964511.0,983931.0,854936.8,891426.2,927171.0,421663.12,104621.484,125372.984,114564.09,126583.54,51060.76,38221.71,0
999621.06,2,1,2,32.0,0,0,0,0,0,0,11533.88,8381.787,7887.448,7604.9595,4798.3975,3752.854,1374.7003,1144.6813,1000.0,350.2985,635.58295,798.40576,0
50000.0,2,2,1,22.0,0,0,0,0,-2,-2,108022.66,29037.812,843.52026,-169308.94,-61372.0,-329566.44,5041.592,5000.0,1501.1907,0.0,146042.92,0.0,0
500000.0,2,2,1,58.0,0,0,0,0,0,0,506460.66,557963.56,506577.06,725902.44,782097.06,712985.6,21254.678,24868.445,18815.148,23816.186,19304.68,20101.045,0
10000.0,2,2,2,22.0,2,0,0,0,0,0,3966.3862,4804.4976,5245.816,6390.731,6663.3096,6697.996,1291.1083,1220.5342,608.3418,370.09625,500.0,653.8731,0
922457.7,2,1,1,42.964684,-1,-1,-1,0,0,7,3682.8042,1455.3558,3500.693,3012.0083,645.71606,115374.91,476.1989,600.05054,0.0,0.0,157556.62,115271.03,0
30000.0,2,2,2,22.0,0,0,-1,0,0,-2,38682.758,18964.037,96587.19,67.09862,-61372.0,-339506.75,1519.5079,639358.0,9.995921,4000.0,0.0,0.0,0
200000.0,1,3,1,62.614693,0,0,0,0,0,0,182262.56,181332.33,182734.17,176316.52,174070.72,172525.56,7588.6733,7628.4653,6437.773,6330.113,7000.0,7000.0,0
10000.0,1,2,2,22.0,0,0,0,0,0,0,4654.734,5153.4,5638.1826,6690.6826,7411.9277,8020.6147,1292.4674,1213.0487,724.0445,432.63297,800.0,752.37604,0
100000.0,1,3,1,70.48288,0,0,0,0,2,2,86374.71,90321.51,90903.875,94231.6,91508.055,90287.86,3972.0154,3588.061,5009.258,3500.0,2421.9182,2688.556,0
280000.0,1,2,2,24.0,0,0,0,-1,0,0,81900.82,48669.84,14748.276,454484.84,532466.3,625559.5,10011.873,9060.645,847591.7,23295.973,15004.538,0.0,0
500000.0,2,2,1,45.0,-2,-2,-2,-2,-2,-2,0.0,0.0,146.09146,0.0,0.0,317.88873,0.0,205.45229,0.0,0.0,1000.0,261415.23,0
10000.0,2,1,2,22.0,0,0,0,0,0,0,848.08496,842.37964,5048.7783,5554.6133,5676.594,5165.1934,1102.3235,10117.13,1300.0,400.0,849.3412,601.4028,1
50000.0,1,2,1,64.21937,0,0,2,0,0,0,42597.09,46480.508,45112.582,42007.64,41065.312,40126.844,3213.8198,835.26013,1796.1014,1721.0258,1703.9493,1706.5498,0
10000.0,2,2,2,22.0,0,0,0,0,0,0,2933.7068,3021.491,3322.8433,3922.0083,4774.349,4866.3384,1200.0,1194.4535,696.3096,341.78986,529.4145,623.49146,0
656089.5,2,1,1,37.0,0,0,0,0,0,0,939780.2,967116.7,832756.25,879514.3,919966.94,388936.12,38880.285,47666.83,32421.12,45176.3,34168.5,41762.145,0
998806.1,1,1,2,41.0,0,0,0,0,0,2,964433.6,983931.0,854293.1,891220.6,927171.0,261336.64,132771.73,75190.984,112191.46,150713.42,0.0,0.0,0
1000000.0,2,3,1,58.0,2,0,0,0,0,0,906626.1,906920.25,704434.8,619379.4,736658.7,425849.5,27061.643,20013.074,16769.111,15065.9,17962.936,13526.14,0
180000.0,2,1,2,22.0,0,0,0,0,0,0,181262.61,180207.3,182430.28,168955.83,153849.02,150884.08,7628.8086,7434.7104,6000.0,5222.8906,7000.0,6286.9897,0
10000.0,1,2,2,78.38092,2,2,2,2,0,0,1213.4636,1536.7897,1321.142,1048.8713,1537.1111,1734.2747,1425.2605,1000.0,0.0,294.56958,580.75555,365.7811,0
100000.0,2,1,2,30.0,1,-2,-1,0,-1,-1,-165580.0,-69777.0,324.20953,0.0,-24205.479,-868.2136,0.0,954528.9,1500.0,1000.0,0.0,1025.5793,1
