LIMIT_BAL,SEX,MARRIAGE,AGE,PAY_0,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT5,PAY_AMT6,default payment next month
1000000.0,2,1,21.0,0,-1,0,0,-2,-94.841896,232008.69,139495.9,-131796.75,22846.785,0.0,415397.03,507116.38,1
1000000.0,2,1,21.0,0,3,0,-2,3,0.0,-157264.0,0.0,-170894.86,0.0,0.0,40994.266,489174.72,1
993284.44,1,1,22.0,0,6,2,-2,3,326.0,38620.395,722345.3,34841.27,869755.3,482.43948,120108.03,524048.6,0
20000.0,2,1,26.0,0,3,2,0,4,-66552.18,198.25206,-170000.0,14470.909,2381.8862,10006.55,408245.97,528666.0,1
210000.0,1,2,46.578457,0,3,1,0,7,49720.57,-156575.08,43375.973,0.0,30644.383,1510.8984,25208.172,317.21512,0
10000.0,1,2,57.0,7,3,0,0,5,15178.407,0.0,353852.88,32000.6,141.04158,0.0,8501.908,0.0,0
10000.0,1,1,23.0,3,-2,0,0,3,10036.872,1721.3884,19957.68,39600.75,0.0,9525.016,0.0,528666.0,0
500000.0,2,2,31.0,-2,-1,0,0,0,56242.883,7664.194,0.0,0.0,8005.27,9504.584,10034.261,56334.164,0
60000.0,1,2,41.0,0,0,0,0,0,108587.06,70476.59,8855.099,40624.715,5850.0166,2500.0,0.21539123,0.0,0
210000.0,2,2,46.0,-1,-1,-1,-1,-1,29332.742,48783.26,14834.929,1049.1544,63123.266,125898.95,15869.985,364961.97,0
280000.0,2,1,47.0,-1,-1,2,0,-1,1926.401,9725.3,284.96732,14203.268,1456.228,0.0,411925.56,650.69086,0
350000.0,2,2,33.0,2,2,2,0,0,155.5232,204212.28,145052.8,34399.44,1109.1147,6103.2046,2000.0,4074.63,0
280000.0,2,2,23.0,7,-1,2,-1,8,0.0,328.01468,77927.945,8219.521,2055.5273,4000.0,172053.45,1048.5573,0
360000.0,1,2,29.0,0,0,0,0,3,18635.525,5238.15,29200.125,28392.016,11736.319,666.1816,1212.7183,1667.0522,1
50000.0,1,2,46.0,1,0,0,0,0,31345.746,29898.727,13770.921,4766.466,0.0,3007.9675,161070.95,0.0,0
150000.0,2,1,32.0,0,0,0,-2,2,7720.71,995.45685,83228.664,6440.776,0.0,332.70413,0.0,208447.33,0
230915.97,2,1,61.0,1,2,2,2,2,199487.16,209382.17,210266.11,227065.88,7974.157,10000.0,6500.1406,0.0,0
473713.06,2,1,31.425783,-1,-1,-1,-1,0,395.0483,47584.836,390.0,15978.439,4078.7603,8000.0,18935.887,0.0,0
30000.0,2,1,34.0,0,0,0,0,0,8255.613,75849.13,13815.941,5487.6895,1485.6844,7000.0,0.0,11604.331,0
