LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
500000.0,2,2,2,51.0,0,0,0,0,-1,-1,957898.2,974175.8,840470.0,-4139.7993,-54016.65,843569.75,9108.408,609261.94,0.0,0.0,387815.75,115160.03,0
986097.4,1,1,1,49.0,-1,-1,-1,-1,0,0,433.4991,822.5965,594.6874,1471.9707,780.0,5463.4307,1196.3278,555.3202,1657.9382,0.0,5050.2666,0.0,0
20000.0,2,1,2,22.0,2,0,0,0,0,-1,2143.3618,0.0,80204.37,12289.598,0.0,308449.75,1381.577,240060.98,0.0,0.0,342804.16,212338.73,0
1000000.0,2,2,1,38.0,0,0,0,0,0,0,252168.12,215054.78,204996.2,195356.66,192674.3,179673.2,10000.0,8015.263,7599.364,7515.5933,9464.668,6480.1475,0
10000.0,2,2,2,22.0,0,0,-1,-1,-1,2,1129.8301,879.64526,390.0,0.0,666.8657,386.66455,326.0,381.5353,0.0,865.34265,0.0,0.0,0
80000.0,1,3,2,78.986946,2,2,0,0,0,0,87633.76,90498.22,82230.81,79062.0,70409.2,68467.375,1688.4221,3136.2668,2514.3877,2635.6663,2242.5498,2390.8635,0
230000.0,2,2,1,34.0,-1,0,0,-1,-1,-1,201855.42,328774.34,852424.9,0.0,28073.674,43489.812,97325.06,1226556.2,0.0,32738.156,80585.086,17548.604,0
997087.4,2,2,2,58.0,2,0,0,0,0,0,171780.53,164852.81,154525.56,150212.84,145075.16,141943.22,6809.298,5430.4604,5068.007,5028.5044,7064.27,5000.0,0
10000.0,2,1,1,22.0,-1,0,0,0,0,0,669.09735,1099.5624,1287.0349,1178.2625,0.0,135090.83,1101.3768,1153.6252,1000.0,342.3143,210779.05,0.0,0
868281.5,2,2,1,47.0,0,0,0,0,0,0,21284.766,20485.348,19651.627,19234.096,18922.818,18983.682,1570.6807,1485.7876,1439.5599,1000.0,1324.3682,1300.629,0
50000.0,2,1,2,22.0,0,0,0,0,0,0,36621.625,28733.246,244927.56,79733.39,32812.867,19306.713,2294.5227,1114397.0,1700.9072,1000.0,735.81775,753.38477,0
20000.0,2,2,2,22.0,0,0,0,0,0,0,15596.907,15179.392,15703.781,15028.8545,10214.08,10482.177,1321.0854,1400.3796,1098.9396,0.0,407.13065,627.0643,0
30000.0,2,2,1,68.672745,1,2,0,0,0,2,28658.35,28198.338,28643.137,28597.645,29466.36,29281.889,223.91197,1537.0735,1489.9926,2000.0,1196.6285,1294.4746,0
10000.0,2,1,2,22.0,2,-1,-1,-1,-1,0,321.704,391.9182,390.0,328.57288,10817.99,6932.0425,429.77338,448.54236,248.51843,15075.82,419.83035,805.3728,0
542152.4,2,1,2,29.0,0,0,0,0,0,0,1735.9724,1947.4773,2956.7156,3324.014,3271.7703,3041.597,1229.9326,1136.8967,1000.0,392.728,985.9143,941.5643,0
