LIMIT_BAL,SEX,MARRIAGE,AGE,PAY_0,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT5,PAY_AMT6,default payment next month
170000.0,2,1,40.0,-1,-1,-1,0,-1,1125.8231,9141.063,28261.738,169053.84,2000.0,11034.249,183629.53,0.0,1
330000.0,2,1,40.0,-2,-2,-2,-2,-2,-7470.152,-37961.566,-11698.537,-36118.363,0.0,0.0,0.0,0.0,1
300000.0,2,2,27.0,0,0,0,0,0,300937.25,299209.44,307074.03,294171.84,11473.397,13068.174,10000.0,12032.563,0
949463.56,2,1,35.0,0,0,0,0,0,983931.0,482965.34,299.09018,-170.20616,23521.04,14520.594,0.0,480.89227,1
360000.0,2,2,29.0,0,0,-1,-1,-1,1605.3987,0.0,928.44025,2300.08,1500.0,0.0,2000.0,71259.336,0
20000.0,1,2,53.733448,0,0,0,0,-2,28433.367,26655.818,19035.203,0.0,1850.2013,1474.1135,0.0,0.0,0
260000.0,1,1,34.0,0,0,0,0,0,264366.9,266910.3,265281.12,265032.12,10023.6875,10572.143,7891.9585,10000.841,0
999558.4,2,2,31.0,2,2,2,0,0,39434.758,27503.36,18916.107,9794.243,4878.801,2048.0344,1383.7872,101563.66,0
30000.0,1,2,68.93681,0,0,0,0,0,30346.156,29249.707,26502.783,24715.81,1707.3741,1591.791,1000.0,1000.0,0
585120.56,2,2,44.0,-1,-1,-1,-1,-1,166561.39,406777.62,6352.794,41212.934,330498.47,1209519.0,82706.56,239571.61,0
150000.0,1,1,37.0,0,0,0,0,-1,7202.3545,389.76248,393.11145,42439.88,1468.8497,0.0,65085.54,0.0,0
80000.0,2,2,64.46676,0,0,0,0,0,70187.9,72549.85,69543.66,59222.402,3000.0,3326.2166,2000.0,2000.0,0
250000.0,2,2,27.974705,1,-1,-1,-1,-1,205.99364,259.90378,0.0,161.64095,0.0,282.5059,246.577,49.451206,0
140000.0,1,2,37.0,0,0,0,0,0,106220.22,84240.24,87211.63,60529.41,5596.8735,2215.856,2000.0,2200.0,0
10000.0,1,2,57.529156,1,0,0,0,0,6671.1895,7904.4536,8969.409,8850.123,0.0,1308.6272,637.1397,1000.0,0
200000.0,2,2,27.0,0,0,0,0,0,2702.7776,1933.0663,0.0,326.0,1336.9467,1000.0,0.0,1000.0,0
999910.9,2,1,64.763626,2,0,0,0,0,983931.0,854859.3,891398.25,352669.72,68084.93,101873.46,35849.77,55471.15,0
928769.9,1,2,39.0,-2,-2,-2,-2,-2,18725.848,17144.395,5665.4463,147607.58,17060.736,16855.162,176639.27,278566.47,0
20000.0,2,2,56.0,0,0,0,0,0,24007.846,23942.436,21413.27,20342.49,1565.1818,1520.7968,1000.0,1000.0,0
20000.0,2,1,48.0,0,0,0,0,0,15312.021,16125.36,16084.932,10517.275,1500.0,1291.8364,716.023,0.0,0
998934.56,1,1,54.0,0,0,0,0,0,983750.25,852673.7,890246.9,375558.12,75375.09,82922.49,52431.285,49078.2,0
150000.0,1,2,27.0,-2,-2,-2,-2,-2,-69777.0,-157264.0,-170000.0,-339603.0,0.0,0.0,0.0,0.0,0
30000.0,2,1,32.0,0,0,0,0,2,28937.29,25846.314,19931.398,16154.734,1743.9081,1500.0956,521.9602,822.3004,0
10000.0,1,2,77.92484,-2,0,0,0,0,8074.8545,6890.566,7771.5024,2311.5046,0.0,1282.7852,0.0,326.0,1
466643.53,2,2,31.45216,0,-1,0,0,-1,47485.84,12969.78,16812.637,1293.7076,5591.1235,3000.0,1973.1047,1000.0,0
852997.4,2,1,46.0,0,0,0,0,0,977679.75,843173.44,884781.0,368510.22,47931.965,51497.56,37901.555,44240.65,0
50000.0,2,2,65.401794,2,0,0,0,0,48628.625,49216.555,46261.383,43265.742,0.0,2248.7654,1700.0,1901.2794,1
400000.0,2,1,29.0,0,2,2,0,0,500993.25,454099.06,498900.06,568418.25,64958.098,19679.643,15472.87,13543.197,0
500000.0,1,2,30.826088,-2,-2,-2,-2,-2,383.54083,0.0,768.9968,879.149,319.66107,0.0,1200.0,885.4683,0
50000.0,1,2,59.913887,0,0,0,0,0,54348.87,55182.527,51484.508,49141.793,2300.4507,2200.0,2000.0,2000.0,0
180000.0,1,2,29.0,-1,-1,-1,-1,-1,43983.73,217507.58,18344.18,22716.803,45976.508,309326.8,40276.965,14662.594,0
999704.7,2,1,38.0,2,0,0,0,-2,19999.17,19144.877,9853.047,-140866.94,4.086851,343.37103,0.0,80471.164,0
200000.0,1,1,50.0,0,0,0,0,-1,205626.34,233457.52,257029.14,-712.0911,6840.048,5134.302,600.0,0.0,1
20000.0,2,2,78.94473,0,0,0,0,0,8473.343,9243.812,9995.571,10893.099,1273.0659,1237.0862,507.36258,494.77396,1
30000.0,2,0,54.0,0,0,2,0,3,714.0313,30215.666,0.0,29806.518,1500.0,0.0,345265.8,0.0,0
470000.0,1,1,49.0,-1,-1,2,2,2,6599.77,5968.146,3854.7458,1768.1261,9682.698,9730.5,0.0,310119.75,1
140000.0,2,2,53.0,0,0,0,0,0,132384.97,130149.24,126276.29,123135.65,5000.0,5123.2554,8000.0,4203.0815,0
50000.0,2,1,37.0,0,0,0,0,0,47803.48,38085.37,23474.799,19993.684,2001.4166,1775.592,1000.0,1011.9657,0
807228.56,2,2,30.0,0,0,-1,2,0,1781.7715,1796.3132,1063.9783,1994.006,231.9726,390.0,870.2598,385854.28,0
653051.2,1,2,32.0,0,0,0,0,0,965703.44,831828.75,874607.75,415911.12,43705.79,58839.867,36728.54,0.0,0
90000.0,1,2,39.0,0,0,0,0,0,9034.817,8630.058,16390.732,19641.223,1001.7558,1467.6788,1122.1515,2000.5487,0
500000.0,2,1,30.0,0,0,0,2,0,506330.22,482939.56,731722.3,803577.4,20273.676,29107.55,20971.838,32704.777,0
20000.0,1,1,26.0,0,0,0,0,0,12667.405,14408.514,13879.065,12717.279,1600.0,1700.0,1000.0,1000.0,0
404785.06,2,1,43.0,0,0,0,0,0,25291.59,26511.38,27678.574,29607.43,1745.4512,1631.8206,2000.0,2000.0,0
230000.0,2,1,22.0,2,0,0,0,0,241223.84,239935.95,224417.42,198840.25,9511.492,8429.1875,6000.0,8000.0,1
200000.0,2,1,36.0,-1,-1,-1,-1,-1,326.1307,389.2044,0.0,292.3296,15.974642,366.0276,72.07437,390.0,0
12044.911,1,2,25.0,0,0,0,0,0,4027.0227,4333.5615,5004.0156,4517.116,1320.2213,1211.4796,652.91394,0.0,0
470000.0,1,2,36.0,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0
973803.94,1,1,53.0,0,0,0,0,0,982941.0,850189.3,889155.8,348382.56,49805.812,51922.742,29961.146,52423.094,1
50000.0,2,2,22.0,-2,-2,-2,-2,-2,-69777.0,-157131.92,-169863.38,-339603.0,0.0,2.3431103,0.0,0.0,0
