Length,Width,Size,Conc,Conc1,Asym,M3Long,M3Trans,Alpha,Dist,class
24.950499,16.891727,2.6768374,0.41525295,0.1772315,-4.4039993,17.45592,13.477909,4.715941,128.37749,g
48.122818,16.37347,2.9144635,0.34782043,0.19010025,62.69183,40.128086,13.5557575,51.72852,234.21176,h
25.405306,17.089375,2.886483,0.49691457,0.22164853,20.478447,-19.473043,-5.033164,8.801673,234.3603,g
44.841824,12.360703,2.2018394,0.43401894,0.23508056,86.84601,-44.6546,-8.231397,11.737379,192.06815,g
34.021446,11.94118,2.8508782,0.38504732,0.28887317,-14.09249,17.166162,3.977451,43.0047,205.68634,g
42.555717,11.739483,2.491388,0.3676024,0.20709261,13.474201,6.271678,-15.236942,35.43909,150.70421,g
26.989052,15.373752,2.400186,0.47715628,0.33514374,-29.126461,28.869675,11.385815,26.791014,184.98148,g
22.73517,12.1134,2.7881799,0.49753225,0.29193923,32.06814,27.17798,-12.130093,4.4998584,155.93044,g
25.197538,15.700614,2.5955594,0.4103588,0.21501146,3.730325,-15.765257,12.867517,22.967033,108.82696,g
26.724987,16.261406,2.5285065,0.36443952,0.2560288,-1.6295469,28.92736,12.230261,4.5476866,160.82588,g
19.241434,0.0,2.0399585,0.83118707,0.55879897,1.2453485,-4.5465965,-6.40316,89.87343,128.94855,g
28.460255,10.612998,2.3997567,0.3702812,0.1819663,62.7881,-10.382502,5.081543,1.7216121,151.96126,g
18.020267,6.9016185,2.0448117,0.8203807,0.51819646,-19.772964,-10.256976,6.6033473,26.164446,2.2967815,g
129.77068,68.40406,4.457156,0.051463336,0.023079326,-76.55287,91.26463,42.987854,0.49893865,302.46225,g
12.391752,12.039721,2.0536578,0.7533103,0.40098688,13.577829,-6.6364465,13.301995,87.74028,195.21928,g
26.053848,16.741379,2.583207,0.38238984,0.20243052,-25.545998,17.446976,-5.2999487,30.056837,208.71103,g
13.187786,5.0398545,2.2357845,0.8899083,0.67449194,0.83107257,-3.9637682,-4.798382,0.27607936,214.96272,g
102.31831,47.8664,3.1080635,0.291006,0.19007319,-116.31519,65.50435,36.455505,42.007095,310.6262,h
30.288803,12.354697,2.6621277,0.366705,0.23472628,32.40165,22.386831,3.5054562,14.709151,240.39201,g
21.127,10.587419,2.441158,0.51866645,0.3360083,19.263222,-1.5979233,-7.2651,13.506754,142.8543,h
42.486744,23.935505,3.0390809,0.19548854,0.100688145,-32.94221,-20.421349,14.591323,26.639618,140.73216,g
33.819702,28.129438,2.835739,0.24446727,0.19569199,36.74196,42.05955,-5.4115405,78.6147,281.63516,h
12.95267,13.445162,2.2497213,0.76539665,0.46460673,15.708396,9.639213,17.852663,70.65008,83.885956,g
57.78539,26.088577,2.955064,0.34486246,0.16260718,-81.22231,45.885643,-12.923098,19.864819,189.45088,g
51.226818,7.4450727,2.835641,0.37321696,0.20162877,-29.69928,-33.67188,4.356228,79.866356,5.66796,h
