Length,Width,Size,Conc,Conc1,Asym,M3Long,M3Trans,Alpha,Dist,class
48.90267,15.850429,2.8668034,0.30921453,0.17309216,43.746918,39.385117,10.38804,6.831694,128.11182,g
16.358082,16.852455,2.6207662,0.45778692,0.26220694,12.463462,-13.437649,11.145205,49.94302,78.00156,h
100.65153,31.648584,3.55653,0.2716441,0.13310654,14.420607,52.217834,-12.780916,5.285372,370.36154,g
36.398003,25.001303,3.0278754,0.2335319,0.11925541,41.044952,21.589361,15.329172,26.559774,114.72729,g
13.52993,10.0320215,2.16982,0.705653,0.3698671,-26.017323,-10.902118,-1.7439313,84.88294,80.290436,h
28.068893,10.678265,2.641358,0.60873276,0.214008,-23.906515,29.97588,-6.8256965,1.6424274,213.73712,g
89.01503,28.424397,3.3762932,0.18217906,0.09852272,41.492107,78.11838,-21.434761,0.61041,275.77887,g
32.644634,10.198592,2.44908,0.3986878,0.20735584,-21.313927,19.568377,-6.120713,35.555786,95.65939,g
189.25833,208.72163,5.3226275,0.013387871,0.0003408446,-153.16664,-66.41498,-57.14979,3.874535,302.7127,g
98.169235,45.19789,2.635321,0.3236429,0.2071054,-52.04947,-91.05142,-40.810024,24.991192,201.88261,g
13.093153,7.514062,2.1433992,0.8510479,0.6262917,-20.22517,-5.2547197,-7.217141,88.948074,162.99713,g
153.59671,99.57748,5.242668,0.01703978,0.0016427323,255.45859,117.17441,-51.69317,0.13915871,272.7384,g
245.55771,155.15764,3.5806074,0.11810733,0.056240518,-114.45618,-318.75333,127.80414,74.53605,219.67172,h
167.01219,124.45964,5.30472,0.014446557,0.0005636106,-105.97872,108.03143,73.43514,0.15034398,275.94034,g
15.648825,0.0,1.982115,0.79905355,0.43938997,1.8713604,4.4700003,-3.1671555,0.0,93.30107,g
71.30575,23.222256,2.832815,0.09807431,0.105196,59.614826,59.77531,19.14327,12.957828,181.70175,g
12.729139,9.747607,1.941709,0.8264202,0.52537733,-1.6906524,-5.1307354,6.968244,85.85531,139.45973,g
186.32909,72.518684,4.33692,0.04045978,0.01462472,-339.40195,187.98961,-42.559006,7.197539,208.02797,g
12.525408,6.966866,2.119654,0.70878243,0.34067395,-9.791533,-5.7185836,-5.060166,22.153702,191.62547,h
42.107605,16.778833,2.3349628,0.49607864,0.2593427,-0.0018451504,16.489836,13.718084,12.338917,202.52643,g
240.89272,112.89901,4.228776,0.04368452,0.020646218,228.16356,234.13826,85.13214,89.746765,260.57346,h
69.85865,10.177758,2.9009936,0.42128885,0.25732577,57.21399,58.837067,10.059501,11.991659,174.30367,h
29.71592,12.631784,2.6028483,0.7175182,0.18000615,9.541475,15.225851,7.397247,1.5788044,209.06714,g
85.84038,26.472456,3.7200706,0.14813685,0.07820898,58.728992,77.98375,-18.515615,2.5617802,181.94894,g
34.73315,16.750534,2.6933703,0.33575335,0.18624638,9.14606,-24.596283,12.10181,4.5348372,160.03592,g
55.78263,13.577026,2.6632771,0.4885054,0.2956103,41.859444,45.38202,-9.896763,17.14104,211.30441,h
59.736187,7.275537,2.2963774,0.5061641,0.27504945,79.30546,35.28891,-4.182985,2.8354666,121.61555,g
209.00749,113.957306,4.2246265,0.099764526,0.043821346,-239.33952,-225.46718,-87.81637,78.456894,372.91098,h
60.50187,19.745714,2.7490807,0.25087202,0.12875666,71.65747,33.067734,-18.181654,7.28307,225.5042,g
253.95581,256.382,5.3233,0.0131,0.0003,575.1922,134.32118,177.85413,2.888527,170.84383,g
47.749535,10.632835,2.37435,0.47180316,0.2524474,32.031006,38.637917,7.3982296,5.7658443,149.65662,g
77.66891,36.634663,3.6879897,0.13269332,0.07202707,75.51867,60.69557,-21.63929,2.7487004,201.46329,g
