Length,Width,Size,Conc,Conc1,Asym,M3Long,M3Trans,Alpha,Dist,class
19.991524,0.0,2.0507774,0.77629924,0.43917784,13.955243,-3.0975113,4.0583367,23.881973,152.49153,g
111.83718,28.836178,2.9184117,0.48888677,0.1632866,-63.690044,-47.863735,13.724174,46.86667,231.58426,h
189.92746,218.42833,5.32297,0.013131785,0.00030418442,426.95068,162.93701,81.74205,1.482084,214.28113,g
231.2042,21.023766,2.863192,0.23129316,0.11680718,544.2643,233.32837,-19.771015,0.038971055,232.32858,g
263.24295,95.3926,3.5449824,0.1078784,0.05663141,-427.75577,236.95755,-91.27117,89.53915,43.309742,h
192.9218,31.979597,3.1437662,0.18839374,0.10386023,426.93268,203.43512,22.950743,2.417264,263.54053,g
109.826126,40.554073,3.4001005,0.17021792,0.09073959,84.83226,-76.691475,-29.436882,4.885051,323.37323,g
54.3212,16.533014,2.6904497,0.5063057,0.23335437,-15.693802,53.55642,54.091362,2.1293533,262.72348,g
213.75665,59.994225,3.5016139,0.20673272,0.110313,-194.2095,-168.00142,57.410133,78.68569,328.64645,h
68.09429,13.212262,2.738831,0.339196,0.18331875,-66.5658,-46.35889,-13.1291895,70.34595,57.5212,h
64.3401,22.374018,2.944001,0.22570297,0.106533304,-82.14403,64.264565,13.564496,11.514966,178.86778,g
151.54538,9.374058,3.1960716,0.20435101,0.11576676,232.91957,93.43724,-4.388014,68.833176,184.58261,h
36.57177,14.940952,2.5088558,0.55120033,0.29085988,41.84117,-21.293455,9.121654,49.189766,186.1644,g
120.61868,15.480787,2.5104861,0.23853035,0.18539722,-2.5618782,34.744553,35.897396,8.556091,233.74438,g
24.428013,12.476399,2.6950371,0.63944554,0.23069115,-0.9744011,-4.222052,11.836572,35.98833,99.94225,h
140.63803,21.939947,2.9964035,0.21904601,0.1180891,-208.43092,120.19667,14.574492,2.2062206,247.80911,g
96.68934,24.53214,2.655444,0.14607745,0.10474863,36.06337,-8.292473,10.472303,1.7903534,196.2771,g
61.442398,28.509405,3.0744681,0.12812601,0.21225323,-44.417755,10.622477,-3.4683802,5.9256167,263.9998,g
77.65751,24.699291,3.465672,0.18568356,0.09657934,24.960293,62.18462,12.015675,2.8446417,248.83879,g
12.390814,11.541331,2.1455138,0.76882833,0.43827224,-5.524991,0.64864504,11.421894,84.58195,193.65941,g
75.03099,17.459942,3.1663344,0.2512202,0.1758802,0.8393087,11.44908,39.542908,56.62325,162.03392,h
21.926682,12.457438,2.556088,0.44384855,0.26793435,-4.7878304,5.3840885,9.637784,25.84517,194.2385,g
33.981434,24.290106,3.4181633,0.31475183,0.173487,3.5045002,21.708506,-11.761827,20.38561,199.58723,g
45.89203,15.310091,3.008702,0.23787981,0.13775323,11.410102,-28.828281,11.6328535,13.738708,291.71722,g
21.396025,6.7492127,2.0793302,0.6270227,0.32088834,8.988986,-6.118037,-3.3424947,66.64082,219.90239,g
56.520397,16.13939,2.4423416,0.48780513,0.2808252,-42.518467,-68.799194,13.03385,19.046427,1.5897561,h
97.57354,37.447075,3.882778,0.14670394,0.07722356,-93.05571,71.392654,-30.651073,0.0008619099,333.54123,g
304.619,254.33395,5.3233,0.0131,0.0003,-449.86536,-324.6076,-203.65822,89.6717,129.43895,h
26.927677,14.9019575,2.7338946,0.7773939,0.18245083,2.3689234,-3.4461823,-7.4367847,52.40735,310.3349,h
19.344587,14.502265,2.2945502,0.41684002,0.21706238,-6.7591,-13.459189,-13.091322,16.842758,218.00317,g
