Length,Width,Size,Conc,Conc1,Asym,M3Long,M3Trans,Alpha,Dist,class
19.958988,11.695683,2.4053426,0.4626464,0.26265904,16.455843,15.108219,-5.0360765,18.28806,197.95535,g
49.28758,40.047554,3.4640298,0.1961971,0.09940016,-28.85561,20.963528,-26.833984,89.99975,1.3622887,g
65.402596,0.0,2.4637382,0.41377908,0.20090432,120.43699,71.771904,-4.1591086,0.0,188.70047,g
6.1200275,14.260086,1.9533314,0.81245375,0.43760985,-25.101686,3.639982,-28.56027,74.54619,205.43431,h
180.66066,70.13064,3.546208,0.09333532,0.052132465,261.05862,170.25273,36.17168,5.462357,139.60788,g
35.080883,19.308928,2.3904028,0.3669,0.18650965,-82.81152,27.303257,16.613605,0.5735381,105.22806,g
14.585603,17.045092,2.1824598,0.5651021,0.29267684,20.817316,7.2845254,-20.121937,66.89676,51.390965,g
94.59553,18.652452,3.0684514,0.2117021,0.112038046,-151.79758,84.065186,14.485413,0.0,262.11285,g
34.020214,29.763922,3.4647934,0.3167871,0.14923614,1.8537409,7.2722406,-19.196682,90.0,1.2826,g
23.424181,8.507183,2.0517576,0.6214176,0.31705907,-66.66912,13.349049,-6.4823256,8.981569,80.33645,g
165.55038,237.44487,5.0798235,0.015935047,0.0029244076,23.445814,-127.95963,153.85825,77.7273,29.552244,g
21.471104,0.0,2.5574977,0.5993352,0.32394964,15.795677,19.049824,5.265262,0.0,178.69864,h
43.738888,26.645374,2.9723141,0.19015813,0.09952518,47.916874,21.932894,19.565998,23.260258,145.1456,g
64.19236,10.728011,2.761496,0.3297153,0.17169793,-103.31122,61.30675,-6.687691,0.0,244.7884,g
310.2606,118.295166,3.3434463,0.093411006,0.056350067,575.2407,-328.93674,76.061325,23.241686,182.98715,g
26.587389,18.975195,2.4569514,0.3742594,0.19720574,-39.933174,18.88991,-16.688335,44.918674,19.73674,g
136.51282,19.092863,2.883028,0.19804816,0.10815612,553.0172,-152.22835,13.474915,0.0,227.26744,g
28.835888,21.03521,2.615522,0.34905556,0.19136323,28.877377,22.163338,-19.170094,52.004833,51.797344,g
139.2083,75.386215,4.2112565,0.05658384,0.02742185,-147.368,-91.68057,50.988228,0.08104709,283.03262,g
10.904849,12.517906,1.9442778,0.8273217,0.48346514,15.3866825,-5.960349,-20.170023,51.977226,192.70836,g
310.53268,238.13431,5.3164673,0.013781344,0.0003291346,-449.93018,238.321,-201.3632,85.461716,1.2826,h
11.936325,13.075166,1.9422777,0.7446763,0.36779577,29.180458,-9.642212,14.7392645,13.985634,197.73682,g
310.61,213.09845,5.0755463,0.03254795,0.003233725,-449.9526,238.321,-203.94618,87.867676,1.2826,h
76.49592,19.119492,2.6100798,0.30188107,0.16063496,175.5035,-84.77269,12.230279,0.0,199.9511,g
310.30362,28.153376,2.3914316,0.558865,0.28795707,-449.04276,238.29816,-27.856771,28.019022,196.95569,g
29.707884,13.952678,2.343276,0.39100713,0.20444098,52.52995,17.918505,9.636431,3.400046e-05,73.34619,g
309.58743,5.2609725,2.0745063,0.7332137,0.3826743,-449.80603,237.55962,4.1465807,15.382449,189.5424,g
64.73748,18.169165,2.4868853,0.33829963,0.18576017,91.696434,-55.699883,-17.651278,27.605646,3.6004257,g
310.5676,15.397865,2.2124903,0.7241722,0.3890103,-449.63168,238.3167,12.918148,12.280539,200.7885,g
183.79068,10.888239,2.2710314,0.36517242,0.19461958,542.2093,-157.19218,-10.258049,22.895054,38.932682,g
27.382845,17.745453,2.4647007,0.4609939,0.2626587,-35.596127,18.412569,12.189706,0.0,217.44873,g
200.83662,19.594908,2.453212,0.32046717,0.17127554,505.85373,-169.16438,-20.181362,77.122856,32.640705,g
