Length,Width,Size,Conc,Conc1,Asym,M3Long,M3Trans,Alpha,Dist,class
35.238354,29.142128,3.5690432,0.3064101,0.1415257,1.3126245,5.5851345,-19.058002,90.0,1.2826,g
13.163936,0.0,1.9536062,0.7469152,0.34405103,15.791113,-4.781593,6.1176825,0.0,108.80875,g
287.2216,63.56917,2.9632504,0.18165804,0.09559189,549.92035,238.23984,-42.971703,40.33864,114.25812,g
20.801914,0.0,2.1335678,0.59207475,0.25049415,-14.495563,-18.252354,5.572931,0.0,149.0224,g
28.710928,24.160242,2.7057574,0.34587282,0.1768838,21.202429,18.536207,-20.524118,90.0,127.033424,g
223.87497,6.9937115,2.4566197,0.39346075,0.21121402,-279.108,-189.59956,9.889341,0.0,173.7023,g
198.79402,32.189083,3.1591942,0.163479,0.08387998,474.0617,188.03957,-27.007267,7.4986343,228.20264,g
36.884087,0.0,2.70513,0.4803886,0.2727881,-169.31264,-75.90091,5.136686,81.48762,221.22488,h
309.65475,22.089163,2.3946598,0.43447876,0.19390877,572.635,238.321,-25.07024,32.472603,49.414112,g
209.58366,219.94673,5.315625,0.013457586,0.00037881543,-241.15616,-112.392586,112.66543,7.786049,237.82074,g
18.430717,9.626255,2.1872785,0.77227354,0.42323306,-13.498593,-6.5374403,7.438377,88.566925,1.6406194,g
59.373478,17.874271,2.955953,0.24491307,0.1314505,69.67957,52.396137,-15.054209,0.0,207.92735,g
28.122599,20.359617,2.697168,0.36603525,0.19297893,-17.211641,-16.302967,15.688859,89.99988,1.7415438,g
115.039925,62.529545,4.1112137,0.05610969,0.024429409,-180.84685,94.90953,-33.610058,5.45091,228.83649,g
176.7588,27.675259,2.6194594,0.35406,0.18225862,178.9117,206.49107,17.658985,78.25955,1.3010296,g
194.89536,5.5609547e-05,2.2381039,0.6152446,0.31477883,-239.47499,-155.43967,-7.234229,0.0,248.70042,g
230.3181,251.15623,5.2785015,0.014124098,0.00090866274,513.25543,228.40186,110.75433,27.189268,16.615862,g
138.06224,0.0,2.128836,0.71199626,0.34600362,-208.0423,-137.60262,-2.2903895,0.014032668,217.86147,g
26.918129,15.177388,2.48765,0.39868516,0.20588136,28.518372,-7.725773,11.065222,88.56375,1.3126813,g
86.83428,19.013441,3.090662,0.24374151,0.13449939,-90.46397,-66.9824,14.070161,0.0,293.70795,g
57.226536,19.291662,2.6096785,0.3672409,0.20226243,61.11326,34.08052,-18.612911,85.07265,1.2845302,g
51.085175,12.716108,2.3085012,0.40076563,0.21069668,-82.19685,-31.581696,-10.750196,0.017683998,107.95537,g
13.100276,10.498864,2.1408641,0.76889837,0.45119563,0.95239043,-3.567286,9.028317,52.25754,127.7427,g
124.29041,50.142494,3.301273,0.121939234,0.060814973,-230.232,102.89041,-28.717598,7.582122,130.13968,g
44.68654,4.4193153,2.100931,0.42929676,0.21380666,98.43315,6.9442167,-0.31439295,15.051943,189.52492,g
107.9276,18.699457,3.0102181,0.19085908,0.09988536,-208.07274,94.50323,15.798676,0.00018902961,235.1117,g
31.111008,20.89962,2.5069456,0.35317755,0.19234608,42.209126,20.984667,-20.260027,76.04534,19.266155,g
26.382755,10.878116,2.1528726,0.45890307,0.23089057,-67.71663,17.044859,8.339944,0.005926496,65.94177,g
195.52605,20.911488,2.8731494,0.23265053,0.1230162,401.33832,214.09789,15.987894,3.3063018,243.31383,g
12.953421,12.289795,2.0191894,0.7218145,0.38120955,-22.432539,-8.551716,-13.04793,19.272694,1.600491,g
46.759335,20.478209,2.5612996,0.31609178,0.17012343,70.68964,25.336597,18.251465,6.154693,174.89375,g
