 timedelta, n_tokens_title, n_tokens_content, n_unique_tokens, n_non_stop_words, n_non_stop_unique_tokens, num_hrefs, num_self_hrefs, num_imgs, num_videos, average_token_length, num_keywords, kw_min_min, kw_max_min, kw_avg_min, kw_min_max, kw_max_max, kw_avg_max, kw_min_avg, kw_max_avg, kw_avg_avg, self_reference_min_shares, self_reference_max_shares, self_reference_avg_sharess, LDA_00, LDA_01, LDA_02, LDA_03, LDA_04, global_subjectivity, global_sentiment_polarity, global_rate_positive_words, global_rate_negative_words, rate_positive_words, rate_negative_words, avg_positive_polarity, min_positive_polarity, max_positive_polarity, avg_negative_polarity, min_negative_polarity, max_negative_polarity, title_subjectivity, title_sentiment_polarity, abs_title_subjectivity, abs_title_sentiment_polarity, shares,data_channel,weekday
119.56128,9.0,924.0453,0.46698734,1.0,0.62717897,30.0,0.0,1.0,0.0,4.9527025,7.0,-1.0,1600.0,405.39017,1110.3406,843300.0,308238.44,1100.0256,4350.062,2758.2993,0.0,0.0,0.0,0.0403797,0.028572978,0.88570964,0.025564678,0.025007555,0.40887564,0.09459001,0.051485457,0.012553644,0.8055064,0.19657108,0.24283834,0.1,0.7,-0.22210199,-0.6666667,-0.05,0.45454547,0.25,0.1,0.225,1400.0,2,1
247.0,14.0,241.0,0.6327735,1.0,0.793861,4.0,1.0,1.0,0.0,4.8437896,8.0,-1.0,0.0,-1.0,0.0,843300.0,209416.58,0.0,3582.2214,1851.3286,936.0762,832.23193,995.1373,0.7998195,0.025016932,0.14639796,0.025000142,0.028571483,0.5866863,0.09583941,0.04097971,0.01291446,0.7647059,0.23076923,0.3303816,0.05,0.7,-0.44760492,-0.6,-0.3,0.0,0.0,0.5,0.0,1300.0,2,2
678.3922,12.0,342.16025,0.59426033,1.0,0.6,12.0,2.0,0.0,1.0,4.671472,7.0,4.0,971.7131,973.90247,0.0,690400.0,231327.89,0.0,3548.9329,1932.1843,1600.0,2200.0,2700.0,0.02969096,0.05007715,0.040095385,0.03333383,0.050003573,0.5850845,0.13996181,0.04802232,0.007580705,0.8333333,0.0,0.0,0.05,0.5,-0.6,-0.7,-0.7296424,0.5743878,0.2,0.5,0.0,1600.0,4,2
19.284712,11.0,202.87704,0.562669,1.0,0.87061596,10.0,5.0,1.0,0.0,5.401382,8.0,-1.0,981.43994,409.8057,7300.0,843300.0,150657.44,0.0,8494.231,2772.2126,22025.23,2000.0,4630.2354,0.050001666,0.029451018,0.4473489,0.79879093,0.025001695,0.0,0.02250056,0.057295274,0.0097426735,0.75,0.9946885,0.30126855,0.1,1.0,-0.3,-0.5,-0.05,0.5833333,0.1,0.0,0.16666667,7390.1094,5,4
192.0,10.0,207.16423,0.6505472,1.0,0.81240135,6.0,2.0,1.0,0.0,4.7349033,10.0,-1.0,1300.0,334.2386,363.20084,843300.0,172691.62,1023.0045,3557.1694,2256.246,1900.0,5511.0894,4043.1985,0.02000743,0.21632907,0.020107958,0.020000134,0.7406383,0.29805046,-0.1889979,0.0,0.022976847,0.0,0.77302974,0.2158608,0.25,0.0,-0.3125,-0.6,-0.1,0.2836051,-0.22689177,0.2,0.25,1578.824,4,0
498.38858,8.0,465.22244,0.69734144,1.0,0.73296523,4.0,3.0,23.0,0.0,4.9035025,9.0,-1.0,459.43997,664.37915,2200.0,843300.0,258275.83,810.3552,3806.7705,3261.018,5647.428,1300.0,4300.0,0.020741532,0.50106543,0.025008403,0.028910005,0.62403077,0.55566436,0.2535111,0.06605099,0.0,1.0,0.0,0.30268914,0.1,0.75,0.0,0.0,0.0,0.0,0.25,0.5,0.125,575.1947,0,1
469.0,10.0,1295.4227,0.42128313,1.0,0.59871215,28.0,2.0,1.0,0.0,4.809443,9.0,4.0,498.0,183.26463,6300.0,843300.0,118618.984,1523.9756,5563.601,3104.566,2700.0,5800.0,4700.0,0.025002858,0.025011832,0.7998138,0.025001477,0.12751223,0.3895903,0.07982951,0.03537332,0.018857267,0.64015085,0.35427642,0.35655388,0.1,1.0,-0.3155447,-1.0,-0.1,0.06666667,0.13636364,0.5,0.13636364,1900.0,5,3
142.0,10.0,799.9486,0.48451003,1.0,0.6225425,3.0,3.0,6.0,0.0,4.2714453,8.0,-1.0,1300.0,226.24898,1757.3082,843300.0,261513.67,2138.5256,3803.403,2950.9128,1000.0,962.08344,1020.0007,0.1835472,0.02862548,0.120261736,0.025549294,0.43779957,0.38405225,0.10676551,0.040445916,0.02418805,0.6587259,0.39558613,0.54916036,0.13636364,1.0,-0.2415814,-0.6,-0.1,0.3,0.35879427,0.16666667,0.4,2000.0,2,3
170.56204,13.0,361.0,0.61921215,1.0,0.77353615,22.0,12.0,2.0,0.0,4.745448,4.0,-1.0,557.85565,139.20668,18195.307,843300.0,315943.56,2169.1785,3582.591,3041.853,1100.0,44830.316,9588.789,0.12436404,0.050000045,0.7000965,0.040370487,0.040031645,0.4396629,0.22197874,0.035837237,0.006059167,0.85648704,0.14814815,0.35618222,0.033333335,0.8,-0.125,-0.14843063,-0.1,0.0,0.0,0.5,0.0,1500.0,5,0
211.92438,8.0,381.0,0.6095483,1.0,0.7526219,19.544641,5.0,0.0,0.0,7.9220266,8.0,-1.0,744.3147,30.03743,5500.0,843300.0,205021.42,1348.2164,3833.241,3627.404,3000.0,4496.8735,2595.1501,0.040004026,0.5423026,0.04000096,0.18132135,0.21988909,0.4762664,0.1690837,0.09219316,0.02942803,0.85714287,0.151506,0.35001203,0.033333335,0.5,-0.27834192,-1.0,-0.5,0.33333334,0.4,0.25,0.1,26857.52,4,2
