 timedelta, n_tokens_title, n_tokens_content, n_unique_tokens, n_non_stop_words, n_non_stop_unique_tokens, num_hrefs, num_self_hrefs, num_imgs, num_videos, average_token_length, num_keywords, kw_min_min, kw_max_min, kw_avg_min, kw_min_max, kw_max_max, kw_avg_max, kw_min_avg, kw_max_avg, kw_avg_avg, self_reference_min_shares, self_reference_max_shares, self_reference_avg_sharess, LDA_00, LDA_01, LDA_02, LDA_03, LDA_04, global_subjectivity, global_sentiment_polarity, global_rate_positive_words, global_rate_negative_words, rate_positive_words, rate_negative_words, avg_positive_polarity, min_positive_polarity, max_positive_polarity, avg_negative_polarity, min_negative_polarity, max_negative_polarity, title_subjectivity, title_sentiment_polarity, abs_title_subjectivity, abs_title_sentiment_polarity, shares,data_channel,weekday
731.0,2.0,8474.0,701.0,0.0,650.0,304.0,116.0,128.0,0.0,7.974684,2.7195103,-1.0,298400.0,42827.855,0.0,0.0,0.0,-1.0,298400.0,2559.8674,0.0,843300.0,2400.0,0.91061413,0.925947,6.934201e-05,0.0,0.0,1.0,-0.39375,0.1554878,0.1849315,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,-1.0,1.0,1.0,0.0,0.0,843300.0,2,0
731.0,2.0,325.0,701.0,1.0,650.0,304.0,115.6543,128.0,0.0,7.974684,4.0,-1.0,743.62585,42827.855,9020.507,0.0,0.0,-1.0,298400.0,0.0,843300.0,0.0,1300.0,0.9197066,0.9253632,0.0,0.0,0.020005519,0.98940194,-0.39375,0.010739221,0.040063247,0.89664054,0.99951035,1.0,1.0,1.0,-1.0,-0.8,-1.0,1.0,1.0,0.5,0.0,828772.8,2,2
10.0,8.0,0.0,0.5976795,1.0,0.0,0.0,4.452941,127.97795,0.0,0.0,10.0,4.0,0.0,182.64891,0.0,843300.0,0.0,0.0,9152.84,0.0,330.6882,511.87988,1014.3518,0.023182385,0.04000724,0.0031663752,0.06666715,0.9266451,0.85132253,0.3921276,0.029725255,0.0,0.68896806,0.0,0.9015212,0.0,0.0,-0.33319825,0.0,-1.0,1.0,1.0,0.0,1.0,1700.0,0,3
572.9092,13.0,8389.013,0.541674,1.0,0.0,3.0,1.0,0.0,0.0,5.4917994,9.0,296.52167,1000.0,369.53885,33036.438,0.0,18164.79,0.0,4769.3325,2230.952,2540.0957,1200.0,0.0,0.040000293,0.028572539,0.12035047,0.022224056,0.88548535,0.66628486,0.10209269,0.019960044,0.012192871,0.37643725,0.29347998,0.36666667,0.05,0.0,0.0,-1.0,-0.1,0.0,-0.15555556,0.5,0.0,1100.0,5,6
126.0,12.0,151.0,0.70062006,1.0,0.90551347,5.0,3.0,0.0,1.0,4.7226605,10.0,-1.0,2200.0,214.1183,44800.0,843300.0,373446.78,2428.3474,5418.0728,4788.6123,2300.0,5200.0,8270.651,0.020001588,0.40069342,0.020000236,0.7359784,0.020006934,0.5130527,0.1284934,0.04710874,0.031475373,0.5833333,0.5,0.35748148,0.16666667,0.8,-0.275,-0.16666667,-0.0125,0.0,0.13636364,0.43333334,0.054453243,3300.0,1,3
321.86804,12.0,222.60355,0.6013404,1.0,0.83877546,10.0,5.0,34.032825,0.0,4.43657,5.0,-1.0,896.12756,216.25024,6000.0,843300.0,222863.3,2429.3337,3824.1921,3700.7332,10100.0,6399.7983,10485.17,0.37822995,0.1649055,0.050262365,0.04000022,0.028693845,0.5216613,0.10470337,0.05608335,0.056659915,0.6666667,0.5961273,0.29663292,0.13636364,1.0,-0.5702791,-0.15555556,-0.16666667,0.0,-0.34348512,0.5,0.13636364,2700.0,0,3
547.05066,11.0,1032.8867,0.41467252,0.0,0.0,48.249405,0.0,1.0,0.0,4.6377897,7.0,369.90625,1100.0,309.99042,0.0,32259.535,123621.39,2423.1382,7427.574,4433.6855,918.87616,2000.0,3831.2358,0.8656607,0.028908161,0.04008547,0.35377464,0.56982785,0.42311212,0.09212553,0.056905974,0.012269281,0.5,0.25,0.27528954,0.0,1.0,-0.10694185,-1.0,-0.1,0.0,0.0,0.25,0.0,1600.0,0,3
66.18897,10.0,449.16116,0.57348526,1.0,0.8030178,3.0,4.0,1.0,0.0,5.373246,10.0,-1.0,66.00622,252.21794,0.0,843300.0,228740.39,1781.8256,7403.5703,2772.365,851.72626,3100.0,0.0,0.15150078,0.025023108,0.04000029,0.066666916,0.050000023,0.0,0.17683402,0.03087687,0.0,1.0,0.25,0.998962,0.13636364,1.0,-0.24979366,-1.0,-0.05,0.0,0.285719,0.5,0.0,2000.0,0,5
586.8131,9.0,584.05743,0.4955956,1.0,0.56261075,4.0,0.0,1.0,0.0,4.623651,4.0,4.0,933.90967,504.61603,2500.0,690400.0,166991.05,1137.9397,2130.1902,2150.3257,2000.0,2700.0,992.8463,0.83954537,0.028616447,0.03333369,0.040000033,0.032454733,0.450445,0.13829607,0.03125,0.0,0.875,0.11111111,0.31771252,0.1,1.0,-0.316585,-1.0,-0.16666667,0.0,0.0,0.5,0.0,1000.0,4,3
154.25768,13.0,181.02405,0.4516544,1.0,0.6167085,18.0,6.0,0.0,0.0,4.5684714,10.0,217.0,1200.0,101.38682,210122.36,843300.0,316020.1,2395.2979,7109.585,2203.8438,1400.0,6084.338,1004.9354,0.020004256,0.040003654,0.9199988,0.020001937,0.04000025,0.3955829,0.1285951,0.03713278,0.011902138,0.76588964,0.0,0.5671628,0.1,0.0,-0.1693664,-0.1,-0.05,0.0,0.35,0.5,0.0,880.0893,4,1
