Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
7.0,305.05017,4.0,0.0,15.0,4884.0005,0.0118648615,0.021429297,4.3857164,0.0,Jul,2,2,2,2,Returning_Visitor,True,True
8.0,3175.003,0.0,0.0,18.18801,909.837,0.023064125,0.042870224,0.0,0.0,Nov,1,1,6,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.027366826,0.0,0.0,Mar,4,1,7,4,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,2.0,58.5709,0.0,0.13003616,0.0,0.0,Mar,2,2,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,15.0,278.37057,0.025,0.037613016,0.0,0.0,May,3,2,1,3,New_Visitor,False,False
0.0,4.243246,0.0,0.0,37.0,1798.1267,0.012529132,0.032242507,0.0,0.0,Feb,2,2,2,9,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,9.0,0.0,0.2,0.2,0.0,0.0,Jul,3,2,2,13,Returning_Visitor,False,False
0.0,66.68167,0.0,0.0,20.0,1187.9886,0.01679332,0.03234499,24.898203,0.0,Mar,2,2,3,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,3.0,36.983307,0.1,0.12950146,0.0,0.0,May,3,2,1,3,Returning_Visitor,False,False
25.824368,3398.75,21.109018,2406.677,203.95943,44621.84,0.0029473512,0.012533653,13.184557,0.0,May,2,2,3,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,3.0,49.73345,0.06666667,0.12940052,0.0,0.0,Mar,2,2,1,13,Returning_Visitor,True,False
1.0,93.55033,0.0,0.0,21.300377,24.926695,0.0,0.021207208,0.0,0.0,May,3,2,3,4,Returning_Visitor,False,False
11.0,3396.0762,8.105631,2463.823,39.0,2562.0378,0.0,0.006027618,0.0,0.0,May,2,2,6,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,3.0,58.5682,0.06666667,0.1,0.0,0.0,Mar,3,2,3,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,149.03026,0.0,0.0,0.067615785,0.0,0.0,Nov,4,2,1,2,Returning_Visitor,False,True
4.0,81.20378,0.0,0.0,21.835463,672.83685,0.0,0.027428215,0.0,0.0,Nov,1,1,1,3,Returning_Visitor,False,False
5.6202817,140.07228,0.0,0.0,37.0,2649.272,0.0,0.01,0.0,0.0,June,2,2,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,67.99582,2391.7075,0.0,0.021539666,6.050969,0.0,May,2,2,1,4,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,17.0,481.40222,0.022222223,0.05,85.91101,0.0,Nov,2,4,1,11,Returning_Visitor,False,True
0.0,3398.0427,0.0,0.0,4.0,0.0,0.2,0.009068358,0.0,0.0,Mar,3,2,1,1,Returning_Visitor,False,False
0.0,0.0,2.0,101.87162,11.0,468.84488,0.026757654,0.06666667,0.0,0.0,Mar,2,2,4,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,20.0,588.0012,0.1,0.07988476,0.0,0.0,Mar,3,2,7,1,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,10.0,306.52148,0.02,0.14024311,0.0,0.0,May,1,1,3,4,Returning_Visitor,False,False
12.0,148.16252,0.0,0.0,165.19395,3658.5989,0.0,0.03218021,0.0,0.0,May,2,2,7,1,Returning_Visitor,False,False
1.0,397.67465,0.0,0.0,15.806282,6363.0728,0.0,0.03333333,4.429399,0.0,Nov,3,10,7,6,New_Visitor,False,True
0.0,40.61265,0.0,0.0,17.0,889.6387,0.05,0.039236158,0.60596365,0.0,Oct,2,2,6,2,New_Visitor,True,True
0.0,0.0,0.0,0.0,3.0,124.22858,0.0,0.04,0.0,0.0,Mar,3,2,5,3,Returning_Visitor,False,False
2.0,0.0,0.0,0.0,103.296425,33.20634,0.0,0.0032665725,0.0,0.0,Sep,2,2,4,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,30.386189,26341.602,0.009882324,0.2,0.0,0.0,Nov,3,2,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,28.0,608.7101,0.0,0.022222223,0.0,1.0,Nov,4,5,4,4,Returning_Visitor,True,False
15.019273,3398.75,0.0,0.0,54.0,4710.255,0.0046037575,0.013008692,28.15267,0.0,Dec,3,2,1,10,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,6.0,137.67546,0.068251036,0.1,0.0,0.0,May,1,1,1,13,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,6.0,310.39673,0.0,0.033255596,0.0,0.0,Sep,2,2,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,7.0,630.4223,0.2,0.05336894,0.0,0.0,Nov,6,2,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.029589588,0.0,0.0,Mar,4,10,3,3,Other,False,False
10.0,303.30746,2.0,385.4535,150.4597,4470.982,0.0058378545,0.020758193,30.750998,0.0,Oct,2,2,1,2,Returning_Visitor,False,False
0.0,0.0,3.0,344.77246,12.0,486.14404,0.0378926,0.07228297,0.0,0.0,May,2,2,6,4,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,83.643936,2522.267,0.005730599,0.016001519,0.0,0.0,Dec,3,2,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.2,0.0,0.0,Jul,3,2,9,20,Returning_Visitor,False,False
0.0,105.43698,0.0,0.0,5.0,64.98262,0.0,0.023079,0.0,0.0,Aug,2,10,4,6,Returning_Visitor,False,False
