Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
7.0,304.3902,4.0,0.0,15.0,4866.0557,0.0122008035,0.021608474,4.1903048,0.0,Jul,2,2,2,2,Returning_Visitor,True,True
8.0,3173.4917,0.0,0.0,18.0,899.536,0.023790967,0.04319277,0.0,0.0,Nov,1,1,6,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.027704785,0.0,0.0,Mar,4,1,7,4,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,2.0,56.967636,0.0,0.13333334,0.0,0.0,Mar,2,2,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,15.0,274.3175,0.02502793,0.038111422,0.0,0.0,May,3,2,1,3,New_Visitor,False,False
0.0,3.1938927,0.0,0.0,37.0,1789.7443,0.0128049925,0.032653674,0.0,0.0,Feb,2,2,2,9,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,9.0,0.0,0.2,0.2,0.0,0.0,Jul,3,2,2,13,Returning_Visitor,False,False
0.0,64.505135,0.0,0.0,20.0,1172.8248,0.017177947,0.032801934,24.579842,0.0,Mar,2,2,3,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,3.0,35.475494,0.1,0.13333334,0.0,0.0,May,3,2,1,3,Returning_Visitor,False,False
25.824368,3398.75,20.947256,2411.5603,202.8207,44472.805,0.002991137,0.012827264,13.112174,0.0,May,2,2,3,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,3.0,48.021297,0.06666667,0.13333334,0.0,0.0,Mar,2,2,1,13,Returning_Visitor,True,False
1.0,91.26689,0.0,0.0,21.0,23.15837,0.0,0.021397538,0.0,0.0,May,3,2,3,4,Returning_Visitor,False,False
11.0,3396.058,7.598341,2466.7507,39.0,2543.5212,0.0,0.0061669443,0.0,0.0,May,2,2,6,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,3.0,56.964916,0.06666667,0.1,0.0,0.0,Mar,3,2,3,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,148.53531,0.0,0.0,0.06912304,0.0,0.0,Nov,4,2,1,2,Returning_Visitor,False,True
3.5450828,78.879265,0.0,0.0,21.0,665.71625,0.0,0.027780982,0.0,0.0,Nov,1,1,1,3,Returning_Visitor,False,False
5.6202817,138.23611,0.0,0.0,37.0,2632.2195,0.0,0.010042345,0.0,0.0,June,2,2,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,66.99582,2370.5942,0.0,0.02187536,5.9514937,0.0,May,2,2,1,4,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,17.0,474.5715,0.022797586,0.05,85.7408,0.0,Nov,2,4,1,11,Returning_Visitor,False,True
0.0,3398.038,0.0,0.0,4.0,0.0,0.2,0.009115745,0.0,0.0,Mar,3,2,1,1,Returning_Visitor,False,False
0.0,0.0,2.0,100.26453,11.0,463.17184,0.027384913,0.06666667,0.0,0.0,Mar,2,2,4,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,20.0,581.8845,0.1,0.07996681,0.0,0.0,Mar,3,2,7,1,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,10.0,300.6842,0.02,0.15,0.0,0.0,May,1,1,3,4,Returning_Visitor,False,False
12.0,146.49286,0.0,0.0,163.5293,3674.664,0.0,0.03259076,0.0,0.0,May,2,2,7,1,Returning_Visitor,False,False
1.0,396.28992,0.0,0.0,15.0,6341.703,0.0,0.03333333,4.229033,0.0,Nov,3,10,7,6,New_Visitor,False,True
0.0,38.149845,0.0,0.0,17.0,879.9114,0.05,0.039853472,0.1694437,0.0,Oct,2,2,6,2,New_Visitor,True,True
0.0,0.0,0.0,0.0,3.0,121.24603,0.0,0.04,0.0,0.0,Mar,3,2,5,3,Returning_Visitor,False,False
2.0,0.0,0.0,0.0,102.96876,31.95034,0.0,0.0032859568,0.0,0.0,Sep,2,2,4,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,30.0,26051.781,0.01,0.2,0.0,0.0,Nov,3,2,1,2,Returning_Visitor,False,False
