Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.0,0.0,0.0,0.0,14.121489,1424.039,0.0,0.002341825,0.0,0.0,Mar,3,2,7,1,Returning_Visitor,False,False
0.0,0.0,2.0,180.84569,4.0,132.79419,0.0,0.058390886,0.0,0.0,Mar,3,2,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,2.0,38.19578,0.0,0.1,0.0,0.0,Mar,2,2,9,20,Returning_Visitor,True,False
13.68984,1582.5087,5.0,1022.57324,24.0,699.006,0.006198697,0.0125,0.0,0.0,Oct,3,2,1,1,Returning_Visitor,False,False
9.0,359.3374,0.0,0.0,20.0,618.71857,0.0125,0.021728285,0.0,0.0,Oct,3,5,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,8.0,108.037865,0.05,0.2,0.0,0.0,May,2,2,9,1,Returning_Visitor,False,False
26.89772,3398.75,0.0,0.0,701.39984,63504.688,0.0,0.008607438,10.930357,0.0,Nov,2,2,4,2,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,5.0,11.622779,0.1,0.2,0.0,0.0,Feb,1,2,1,2,Returning_Visitor,False,False
2.0,54.184055,1.0,0.0,29.0,1115.1287,0.011844799,0.022222223,0.0,0.0,June,2,2,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Nov,2,2,2,20,Returning_Visitor,False,False
17.42799,3398.75,0.0,0.0,118.58615,8219.497,0.0029782832,0.0059228134,0.0,0.0,May,1,1,1,3,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.1,0.0,0.0,Mar,2,2,7,4,Returning_Visitor,False,False
5.0,0.0,0.0,0.0,8.0,0.0,0.0,0.026244808,0.0,0.0,Mar,3,2,3,6,Returning_Visitor,True,False
0.0,0.0,11.289361,2545.4214,64.32598,2922.2524,0.0058737476,0.013521798,17.45236,0.0,Mar,3,2,1,2,Returning_Visitor,False,False
25.504969,3397.7808,23.574444,2547.1943,696.4909,63653.38,0.0010226495,0.011907064,0.0,0.0,Dec,2,2,3,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,25.0,878.14734,0.00506942,0.0024182189,129.4183,0.0,Nov,3,2,1,2,Returning_Visitor,True,True
0.0,0.0,0.0,0.0,4.0,220.93692,0.0,0.022222223,0.0,0.0,Dec,4,2,4,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,5.0,583.0904,0.009855119,0.040633656,0.0,0.0,Mar,3,4,3,6,Returning_Visitor,False,False
1.0,6.0,0.0,0.0,6.0,128.78436,0.0,0.029392341,0.0,0.0,Aug,2,2,6,16,Returning_Visitor,True,False
0.0,0.0,1.0,0.0,5.734695,64.58095,0.06587013,0.111989126,0.0,0.8,May,2,2,1,2,Returning_Visitor,False,False
3.0,201.34782,0.0,0.0,38.0,1124.2833,0.028571429,0.013235169,0.0,0.0,May,1,1,1,6,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,61.62798,2540.6555,0.007627298,0.021868594,21.267021,0.0,Dec,2,2,4,1,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,2.0,47.280827,0.0,0.05,0.0,0.0,May,2,2,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,6.0,411.71866,0.019142386,0.042164326,0.0,0.0,Oct,3,8,2,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,31.0,1309.0952,0.00647499,0.02033804,0.0,0.40970096,May,2,2,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,6.0,597.6892,0.0,0.014285714,0.0,0.0,May,2,2,2,1,Returning_Visitor,False,False
16.928413,3398.75,0.0,0.0,50.0,2447.943,0.0053775227,0.022222223,27.422651,0.0,Dec,4,1,1,10,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,40.0,1346.8491,0.011170595,0.033247963,0.0,0.0,Dec,2,2,3,1,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,6.0,106.86771,0.039823975,0.09028829,0.0,0.0,Dec,1,1,6,2,Returning_Visitor,True,False
12.894574,3398.5662,18.12358,2542.2708,33.483047,2867.1492,0.0,0.0026723966,0.0,0.0,May,2,2,1,2,New_Visitor,False,False
0.0,0.0,0.0,0.0,33.80664,976.6471,0.0,0.0055054342,0.0,0.0,Dec,2,2,3,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,85.03746,945.83154,0.0,0.016164582,0.0,0.0,May,4,10,5,2,Returning_Visitor,True,False
5.0,251.37251,0.0,286.86148,6.0,268.787,0.0,0.007142857,0.0,0.0,Nov,2,2,3,2,Returning_Visitor,False,False
3.0,194.99821,0.0,0.0,6.0,290.8495,0.0,0.022719868,0.0,0.0,Nov,3,2,1,2,New_Visitor,False,False
14.895223,3398.75,0.0,0.0,51.14355,4082.626,0.0038685545,0.005567364,0.0,0.0,May,2,2,2,3,New_Visitor,False,False
4.428096,156.89857,0.0,0.0,11.0,389.021,0.023815528,0.051964812,0.0,0.0,Mar,2,2,3,1,Returning_Visitor,True,False
8.0,3398.75,0.0,0.0,11.0,917.41705,0.0,0.0234478,0.0,0.0,Dec,1,1,1,2,Returning_Visitor,True,False
0.0,1317.2643,0.0,0.0,163.11807,48350.875,0.0,0.025,0.0,0.0,Jul,2,2,2,13,New_Visitor,False,True
0.0,0.0,0.0,0.0,16.0,502.10272,0.03333333,0.059956968,0.0,0.0,Nov,3,2,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,20.0,599.3267,0.011230032,0.02852223,0.0,0.0,Nov,2,2,1,3,Returning_Visitor,False,False
7.0,161.89359,0.0,0.0,23.0,934.1223,0.013104617,0.026050057,0.0,0.0,Mar,3,2,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,10.0,319.4,0.0,0.0,309.82498,0.0,Nov,2,2,1,3,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Nov,2,2,6,8,New_Visitor,False,False
0.0,0.0,0.0,0.0,2.0,39.321384,0.0,0.1,0.0,0.0,Mar,2,2,1,10,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,14.772806,361.4875,0.0,0.019982217,0.0,0.0,May,3,2,2,3,Returning_Visitor,False,False
11.0,1237.2672,0.0,0.0,37.0,1559.1877,0.020118812,0.044285778,0.0,0.0,May,3,2,3,2,Returning_Visitor,False,False
21.53722,3398.75,0.0,0.0,182.0121,38109.875,0.0019567169,0.007739762,0.0,0.0,Nov,2,2,3,2,New_Visitor,False,False
0.0,0.0,0.0,0.0,18.0,525.1468,0.040958103,0.06666667,0.0,0.0,June,1,1,3,3,Returning_Visitor,True,False
13.0,3398.5977,0.0,0.0,25.0,1707.2522,0.008160666,0.01703233,0.0,0.0,May,1,2,3,4,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,4.0,33.148922,0.11261923,0.13454038,0.0,0.6,May,1,1,1,3,Returning_Visitor,False,False
8.0,401.48785,0.0,0.0,63.0,2594.652,0.007441662,0.025692698,0.0,0.0,Mar,2,2,1,16,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,6.0,182.66675,0.0,0.025256542,0.0,0.0,Mar,2,2,6,10,Returning_Visitor,True,False
12.0,469.98196,0.0,0.0,135.49846,3306.2656,0.002991611,0.011186337,9.082231,0.0,Dec,2,2,1,18,Returning_Visitor,False,False
4.0,68.97723,0.0,0.0,26.0,3008.9414,0.0048274314,0.0073319,0.0,0.0,Mar,2,2,6,4,Returning_Visitor,False,False
