Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.0,0.0,0.0,0.0,228.00633,0.0,0.0,0.2,96.17299,0.0,Mar,3,10,9,10,Returning_Visitor,True,False
0.0,0.0,0.0,685.6915,13.0,0.0,0.0,0.2,0.0,0.0,Oct,4,8,9,10,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,61.20928,49336.848,0.0,0.2,0.0,0.0,Mar,3,10,9,9,Returning_Visitor,False,False
27.0,0.0,0.0,0.0,215.57874,7527.835,0.0,0.2,0.0,0.0,Mar,4,3,9,9,Returning_Visitor,False,False
0.0,3398.75,0.0,0.0,0.0,63973.523,0.0,0.2,0.0,0.0,Mar,4,9,1,12,Returning_Visitor,True,False
4.0,3398.75,24.0,0.0,0.0,63973.523,0.0,0.2,0.0,0.0,Mar,4,5,1,4,Returning_Visitor,False,False
17.446829,202.55655,0.0,0.0,0.0,4938.223,0.0,0.052279573,0.0,0.0,Mar,2,2,1,4,Other,False,False
0.0,150.23834,0.0,2549.375,681.9486,0.0,0.027182814,0.04180929,0.0,0.2,May,2,2,1,20,Other,False,False
0.0,0.0,0.0,398.4143,704.662,0.0,0.2,0.026726827,0.0,1.0,May,7,5,8,6,Returning_Visitor,True,False
26.973124,0.0,0.0,0.0,705.0,0.0,0.2,0.0,0.0,1.0,Nov,7,5,9,11,Returning_Visitor,False,False
7.0,736.0336,18.648071,0.0,705.0,0.0,0.2,0.0035450235,0.0,0.0,May,7,12,9,13,Returning_Visitor,False,True
4.0,0.0,24.0,0.0,1.0,63973.523,0.2,0.00081750186,0.0,0.0,Aug,5,6,1,4,Returning_Visitor,True,True
27.0,0.0,0.0,47.322678,1.0,63973.523,0.2,0.011111111,0.0,0.0,Mar,8,10,2,1,Other,True,False
0.0,3398.6328,3.0,0.0,0.0,52641.25,0.0,0.0,0.0,0.0,Mar,4,3,9,8,Returning_Visitor,True,False
0.0,2527.6968,0.0,0.0,141.05872,149.72838,0.0,0.06,0.0,0.0,Mar,2,5,5,12,Returning_Visitor,False,False
0.0,0.0,0.0,1246.1173,705.0,0.0,0.0,0.2,0.0,0.0,Nov,4,5,8,14,Other,True,False
22.259033,3393.194,0.0,0.0,704.9785,0.0,0.0,0.16494146,0.0,0.0,Nov,4,4,2,5,Returning_Visitor,False,True
1.0,3289.9514,0.0,0.0,0.0,0.0,0.0,0.015606405,0.0,0.0,May,2,10,2,1,Other,True,True
23.286892,0.0,24.0,2549.375,2.0,5.9135876,0.0,0.023895469,0.0,0.0,Oct,7,10,7,6,Returning_Visitor,False,False
11.0,0.0,0.0,884.9338,72.79235,63947.133,0.2,0.015384615,0.0,0.6,June,2,9,5,4,Other,False,False
13.902662,3009.5017,0.0,0.0,206.08684,63973.523,0.2,0.2,0.0,0.0,Mar,8,5,1,2,Returning_Visitor,False,False
0.0,3398.2927,0.0,0.0,598.79816,0.0,0.2,0.04054262,0.0,0.0,Nov,2,5,1,6,Returning_Visitor,False,False
13.419897,0.0,24.0,2501.8452,705.0,0.0,0.0,0.00625,0.0,0.0,May,3,5,6,4,Returning_Visitor,True,True
26.999474,0.0,0.0,262.59174,131.65527,0.0,0.0,0.0017204875,0.0,1.0,Feb,4,2,9,15,Other,False,True
0.0,3398.75,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,Mar,7,10,8,20,Returning_Visitor,False,False
0.0,145.07559,0.0,0.0,1.0,63973.523,0.0,0.2,0.0,0.0,Mar,8,2,2,1,Returning_Visitor,False,False
2.0,0.0,0.0,0.0,234.28004,0.0,0.0,0.2,0.0,0.0,Jul,4,5,1,20,Returning_Visitor,True,False
4.0,0.0,1.6055062,0.0,701.64075,0.0,0.0,0.018294988,0.0,0.0,Feb,2,10,2,4,Other,False,False
