Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.0,0.0,0.0,0.0,35.0,1377.4407,0.003476562,0.0111210905,0.0,0.0,Dec,2,2,1,2,Returning_Visitor,False,False
4.0,77.881165,0.0,0.0,10.0,198.0548,0.0,0.0,0.0,0.0,Mar,2,2,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,11.0,255.07394,0.022819428,0.040628556,0.0,0.0,Dec,1,1,3,2,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,16.0,574.05896,0.2,0.025,0.0,0.0,Feb,2,2,1,10,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,7.0,218.13478,0.06666667,0.101313494,0.0,0.0,Dec,2,2,2,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,56.345287,836.6498,0.0053657135,0.021491393,0.0,0.0,Dec,2,2,1,3,Returning_Visitor,False,False
5.0,47.998844,2.0,89.512505,6.0,220.74977,0.0,0.022397775,0.0,0.0,Mar,2,2,2,2,New_Visitor,False,False
0.0,0.0,0.0,0.0,54.5014,1474.5417,0.0052194917,0.011702125,0.0,0.0,Nov,1,1,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,19.0,616.1054,0.0,0.012505343,0.0,0.0,Feb,2,2,3,2,Returning_Visitor,False,False
5.0,245.19019,0.0,0.0,22.0,368.664,0.0,0.0,0.0,0.0,May,4,7,1,2,Other,False,False
0.0,0.0,0.0,0.0,8.516092,260.60193,0.0,0.009432452,0.0,0.0,Nov,3,2,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,6.0,4589.53,0.0,0.02238356,0.0,0.0,May,2,2,1,14,New_Visitor,False,False
0.0,0.0,1.0,0.0,35.0,1030.5326,0.012449021,0.028330129,0.0,0.0,May,3,2,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,2.0,32.283012,0.0,0.10303853,0.0,0.6,May,1,1,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,39.636513,1052.1592,0.016666668,0.018455343,0.0,0.0,Mar,2,2,1,1,Returning_Visitor,False,False
26.85136,3398.75,21.811459,2339.308,504.0506,60212.223,0.00453874,0.011781628,9.311822,0.0,Nov,3,2,4,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,5.0,192.8323,0.0,0.07451321,0.0,0.4,May,2,5,1,1,Returning_Visitor,False,False
6.0,624.28644,0.0,0.0,5.0,200.5097,0.0,0.02125489,0.0,0.0,Mar,3,2,1,2,New_Visitor,False,False
0.0,0.0,0.0,0.0,13.0,273.3337,0.0,0.02,0.0,0.0,Mar,1,1,1,11,Returning_Visitor,False,False
0.0,0.0,3.0,655.42566,6.0,156.61945,0.056415927,0.1,0.0,0.0,Mar,2,2,3,1,Returning_Visitor,True,False
15.486764,3398.588,5.0,435.69086,14.0,978.8757,0.0,0.022222223,0.0,0.0,Mar,3,2,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.025618989,0.0,0.0,Mar,3,5,4,1,New_Visitor,False,True
9.0,84.60378,0.0,0.0,58.74822,2246.2375,0.0,0.016629903,23.669079,0.0,May,2,2,1,2,Returning_Visitor,True,False
10.146565,3398.75,0.0,0.0,10.0,1204.6268,0.0,0.010553274,0.0,0.0,May,3,2,3,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,76.297615,873.9857,0.0,0.02,0.0,0.0,May,3,2,1,6,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,12.0,326.7619,0.04,0.094194725,0.0,0.0,Mar,2,2,1,1,Returning_Visitor,True,False
2.0,15.37656,0.0,0.0,4.0,243.61041,0.0,0.021569408,0.0,0.0,Aug,1,1,1,20,New_Visitor,True,False
0.0,0.0,0.0,0.0,107.51898,0.0,0.0,0.027772442,0.0,0.0,Feb,8,2,9,1,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,70.120705,478.76587,0.035366397,0.0784971,0.0,0.0,Oct,2,2,4,7,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,6.0,304.189,0.045656487,0.1,0.0,0.0,Nov,2,2,9,13,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,3.0,514.7397,0.015505181,0.05,0.0,0.0,Nov,2,2,5,11,Returning_Visitor,False,False
25.162115,3398.75,12.251593,1263.2467,326.34946,58213.145,0.0,0.0,50.428757,0.0,Nov,2,2,9,2,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,122.6429,3917.282,0.005310246,0.012836901,0.0,0.0,May,3,2,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,4.0,135.16054,0.0,0.03328512,0.0,0.0,Mar,2,2,6,2,Returning_Visitor,True,False
0.0,188.48038,0.0,0.0,6.0,0.0,0.018181818,0.096010454,0.0,0.0,May,1,1,1,4,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,5.58976,88.96623,0.06100007,0.0359021,0.0,0.8,May,3,2,1,13,Returning_Visitor,False,False
13.770052,3398.434,8.759254,2378.4395,63.10235,4669.4814,0.0,0.0065246136,0.0,0.0,Mar,2,2,6,1,Returning_Visitor,False,False
7.0,192.84587,0.0,0.0,27.0,587.97845,0.0,0.007182045,0.0,0.0,May,2,2,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,61.90862,1691.2523,0.004248492,0.00811325,0.0,0.0,Nov,1,1,1,3,Returning_Visitor,False,False
11.218752,233.55244,0.0,0.0,31.062893,1304.416,0.025041915,0.028455155,0.0,0.0,Nov,2,2,1,11,Returning_Visitor,False,False
3.0,110.941635,0.0,0.0,13.0,266.4628,0.044182625,0.070736304,0.0,0.0,Nov,1,1,6,3,Returning_Visitor,False,False
6.0,185.24748,0.0,0.0,17.0,327.9756,0.0,0.0,0.0,0.0,Nov,1,1,1,2,New_Visitor,False,False
0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.0,Mar,1,1,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,2.0,278.59402,0.0,0.04382659,0.0,0.0,Mar,2,2,1,3,New_Visitor,False,False
5.0,225.57559,3.0,333.40482,8.0,312.64246,0.0,0.004030581,0.0,0.0,Mar,1,1,1,2,New_Visitor,True,False
