age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
57.0, Local-gov,320115.16, Bachelors,2.0, Divorced, Priv-house-serv, Husband, White, Female,0.0,3818.5789,50.0, United-States, <=50K
46.0, Private,146477.42, Bachelors,3.0, Widowed, Other-service, Husband, White, Male,0.0,0.0,55.0, United-States, <=50K
67.0, Private,271054.88, Masters,1.0, Divorced, Protective-serv, Unmarried, White, Male,0.0,0.0,1.9809977, Dominican-Republic, <=50K
90.0, Self-emp-not-inc,368884.38, 12th,16.0, Never-married, Other-service, Other-relative, White, Male,0.0,0.0,5.0, Germany, <=50K
23.0, Private,156303.22, Some-college,14.0, Married-spouse-absent, Protective-serv, Husband, White, Male,0.0,0.0,10.0, United-States, <=50K
79.888, Private,332637.38, Doctorate,16.0, Married-spouse-absent, Adm-clerical, Wife, White, Female,0.0,0.0,55.0, United-States, <=50K
29.0, Private,183602.2, Some-college,14.0, Married-civ-spouse, ?, Unmarried, White, Female,0.0,0.0,10.0, United-States, <=50K
38.0, Federal-gov,153824.23, 7th-8th,9.0, Married-civ-spouse, Farming-fishing, Own-child, White, Female,0.0,0.0,99.0, United-States, <=50K
66.0, Local-gov,47654.06, Some-college,16.0, Married-spouse-absent, Tech-support, Husband, White, Female,0.0,0.0,8.0, Puerto-Rico, >50K
47.0, Private,168311.52, Masters,14.0, Married-civ-spouse, Protective-serv, Unmarried, White, Female,0.0,0.0,99.0, United-States, <=50K
41.0, Private,583262.9, HS-grad,10.0, Never-married, Machine-op-inspct, Husband, White, Female,0.0,0.0,5.2503076, United-States, <=50K
90.0, Private,116698.53, HS-grad,16.0, Never-married, Adm-clerical, Other-relative, White, Male,0.0,0.0,6.0, United-States, <=50K
24.0, Private,84054.83, 5th-6th,16.0, Married-spouse-absent, Exec-managerial, Husband, White, Male,0.0,0.0,92.767525, United-States, <=50K
62.0, Self-emp-inc,27688.947, HS-grad,11.0, Married-civ-spouse, Adm-clerical, Own-child, White, Male,0.0,0.0,8.00147, United-States, <=50K
41.378345, Private,124505.62, 5th-6th,16.0, Married-spouse-absent, ?, Husband, White, Male,0.0,0.0,15.0, United-States, <=50K
44.0, Self-emp-not-inc,12304.519, HS-grad,1.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
90.0, Private,208531.47, 10th,9.0, Married-spouse-absent, ?, Unmarried, White, Female,0.0,0.0,45.0, United-States, >50K
17.0, Federal-gov,388473.53, HS-grad,7.0, Divorced, Machine-op-inspct, Husband, White, Male,0.0,0.0,99.0, United-States, <=50K
27.0, Private,1483578.0, Some-college,15.0, Never-married, Prof-specialty, Husband, White, Male,0.0,0.0,84.0, United-States, <=50K
18.0, Self-emp-not-inc,12489.926, HS-grad,16.0, Married-civ-spouse, Farming-fishing, Husband, White, Female,0.0,0.0,99.0, United-States, <=50K
66.0, Private,155520.61, Masters,8.0, Married-spouse-absent, Adm-clerical, Husband, White, Male,0.0,0.0,94.23871, United-States, <=50K
90.0, Private,13826.083, HS-grad,1.8259695, Divorced, ?, Wife, White, Male,0.0,0.0,1.0024563, United-States, <=50K
61.0, Private,65616.21, Some-college,6.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,80.0, United-States, <=50K
63.0, Private,539474.25, HS-grad,4.0, Married-civ-spouse, Tech-support, Husband, Black, Female,0.0,0.0,20.0, United-States, <=50K
17.0, Self-emp-not-inc,520672.28, Assoc-voc,9.0, Married-spouse-absent, Craft-repair, Husband, White, Male,0.0,0.0,1.1999384, United-States, >50K
30.0, Federal-gov,257496.97, 9th,10.0, Divorced, Farming-fishing, Wife, White, Male,0.0,0.0,40.0, Columbia, >50K
18.0, Private,216277.17, Bachelors,9.0, Married-civ-spouse, Adm-clerical, Not-in-family, White, Male,0.0,0.0,60.0, Germany, <=50K
17.0, Private,426081.56, 9th,16.0, Married-civ-spouse, ?, Husband, Black, Male,0.0,0.0,5.0, United-States, >50K
17.0, Self-emp-not-inc,301931.5, HS-grad,13.0, Divorced, Prof-specialty, Own-child, White, Male,5052.423,0.0,25.0, United-States, >50K
43.0, Self-emp-not-inc,155602.95, 9th,9.0, Never-married, Handlers-cleaners, Unmarried, White, Male,0.0,0.0,4.3882966, Mexico, <=50K
28.0, Private,26132.402, HS-grad,6.0, Never-married, Adm-clerical, Wife, White, Male,0.0,0.0,78.365326, United-States, <=50K
69.0, Private,26103.383, HS-grad,2.0, Married-spouse-absent, Prof-specialty, Husband, Black, Male,0.0,0.0,99.0, United-States, <=50K
17.0, State-gov,22273.299, 12th,16.0, Married-civ-spouse, Other-service, Other-relative, White, Male,5178.0,0.0,1.0299885, United-States, <=50K
28.0, Self-emp-inc,64780.49, HS-grad,16.0, Never-married, Exec-managerial, Other-relative, White, Male,0.0,0.0,98.785805, United-States, >50K
64.0, Self-emp-not-inc,310585.84, HS-grad,9.0, Divorced, Prof-specialty, Other-relative, White, Male,0.0,0.0,40.0, United-States, <=50K
51.0, Private,432512.5, 5th-6th,9.0, Married-civ-spouse, Other-service, Husband, White, Male,0.0,0.0,50.0, Columbia, <=50K
90.0, Self-emp-not-inc,102652.945, Some-college,9.0, Widowed, Prof-specialty, Other-relative, White, Male,0.0,0.0,50.0, United-States, <=50K
17.0, Private,317315.66, Bachelors,4.0, Never-married, Sales, Not-in-family, White, Female,0.0,0.0,20.0, Mexico, <=50K
44.0, Self-emp-not-inc,142224.53, Some-college,16.0, Never-married, Other-service, Unmarried, White, Male,0.0,0.0,81.4174, Philippines, >50K
39.0, Private,182981.89, HS-grad,11.0, Widowed, Adm-clerical, Own-child, White, Male,0.0,0.0,40.0, United-States, <=50K
17.0, Federal-gov,163653.83, Bachelors,16.0, Married-civ-spouse, Farming-fishing, Husband, Black, Female,0.0,0.0,20.0, United-States, <=50K
18.0, Private,12866.489, 7th-8th,10.0, Married-AF-spouse, Priv-house-serv, Other-relative, White, Male,0.0,0.0,60.0, Dominican-Republic, <=50K
28.0, Self-emp-not-inc,380969.1, Bachelors,14.0, Divorced, Exec-managerial, Own-child, White, Male,0.0,0.0,50.0, United-States, >50K
17.0, Private,172660.33, HS-grad,16.0, Married-spouse-absent, Tech-support, Other-relative, White, Male,0.0,0.0,15.0, United-States, <=50K
18.0, Self-emp-not-inc,397188.8, 10th,9.0, Married-civ-spouse, Other-service, Wife, White, Male,0.0,0.0,99.0, United-States, <=50K
64.0, ?,34333.55, Some-college,8.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,35.0, Philippines, <=50K
33.0, Private,23083.861, Masters,16.0, Divorced, Other-service, Unmarried, White, Male,0.0,0.0,40.0, United-States, >50K
63.0, Local-gov,45762.355, Assoc-acdm,1.0, Married-civ-spouse, Tech-support, Husband, White, Female,0.0,0.0,40.0, United-States, <=50K
39.0, Private,160111.31, 9th,6.0, Married-civ-spouse, Sales, Husband, White, Male,0.0,0.0,7.1545014, United-States, >50K
51.0, Self-emp-inc,13161.81, HS-grad,9.0, Married-civ-spouse, Transport-moving, Not-in-family, White, Female,0.0,0.0,72.63551, United-States, >50K
17.0, Federal-gov,174745.19, Bachelors,16.0, Married-spouse-absent, Farming-fishing, Unmarried, White, Male,0.0,4356.0,50.0, United-States, <=50K
20.0, Private,492119.94, 7th-8th,12.0, Never-married, Exec-managerial, Husband, White, Female,0.0,1740.8857,99.0, Poland, <=50K
47.0, Private,319025.06, Doctorate,4.0, Married-civ-spouse, Craft-repair, Own-child, White, Female,0.0,0.0,1.0021238, United-States, <=50K
90.0, Private,705447.5, Prof-school,9.0, Separated, Other-service, Husband, White, Male,0.0,0.0,20.0, Dominican-Republic, <=50K
50.0, Private,218923.2, 1st-4th,10.0, Separated, Other-service, Other-relative, Black, Female,0.0,0.0,30.0, United-States, >50K
17.0, Local-gov,28434.117, Masters,9.0, Married-spouse-absent, Other-service, Wife, White, Male,0.0,0.0,12.0, United-States, <=50K
29.0, Self-emp-not-inc,408987.97, HS-grad,3.0, Married-civ-spouse, Protective-serv, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
24.0, Self-emp-not-inc,12429.052, HS-grad,10.0, Widowed, Other-service, Husband, Black, Female,0.0,0.0,99.0, United-States, <=50K
20.0, Self-emp-not-inc,226905.77, HS-grad,16.0, Separated, Prof-specialty, Unmarried, White, Male,0.0,0.0,40.0, United-States, <=50K
90.0, Local-gov,32286.91, HS-grad,6.0, Married-civ-spouse, Machine-op-inspct, Own-child, White, Female,0.0,0.0,40.0, United-States, <=50K
50.0, Private,522310.47, HS-grad,9.0, Divorced, Other-service, Other-relative, White, Male,0.0,0.0,1.4999783, United-States, <=50K
18.0, Private,342999.4, Bachelors,16.0, Widowed, Adm-clerical, Wife, Asian-Pac-Islander, Male,0.0,0.0,10.0, United-States, <=50K
17.0, Private,847189.0, Bachelors,16.0, Married-civ-spouse, Craft-repair, Unmarried, Black, Male,99999.0,0.0,1.5984297, United-States, <=50K
19.0, Private,1392779.1, HS-grad,3.0, Divorced, Craft-repair, Husband, White, Female,0.0,0.0,25.0, United-States, <=50K
53.0, Self-emp-not-inc,37516.25, HS-grad,15.0, Married-spouse-absent, Sales, Husband, White, Male,0.0,0.0,5.408343, United-States, <=50K
17.0, Private,136860.55, HS-grad,13.0, Separated, Adm-clerical, Other-relative, White, Female,0.0,0.0,1.5312259, Japan, <=50K
25.0, Private,199814.88, Some-college,3.0, Married-spouse-absent, Farming-fishing, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
90.0, Private,101357.984, HS-grad,11.0, Never-married, Tech-support, Husband, White, Male,0.0,0.0,1.1272805, United-States, <=50K
70.0, Federal-gov,34247.926, 7th-8th,10.0, Divorced, Exec-managerial, Unmarried, White, Female,0.0,0.0,1.3179126, United-States, <=50K
